IUPAC,CAA 0.1ug/ml,CAA 1ug/ml,CAA 10ug/ml,CAA 100ug/ml
Gal(a1-Sp8,6.90352243007148,12.790354404003036,3.0749840286848085,64.53690956966665
Glc(a1-Sp8,7.967395502713946,4.928001011228251,3.673862347720719,20.19648653460546
Man(a1-Sp8,21.21834535606313,11.369636173891704,2.1587737620772973,6.294032461718532
GalNAc(a1-Sp8,0.9231553173762173,2.431134144626056,5.8178168186900905,4.5280666237552945
GalNAc(a1-Sp15,16.83265743586951,8.51355964148761,10.385743741422653,14.281042812180488
Fuc(a1-Sp8,15.543204974387775,4.698130055227641,14.628603654342177,9.330039352319654
Fuc(a1-Sp9,5.21933487876249,5.240397608563047,13.712469802458394,6.91600890350304
Rha(a1-Sp8,6.803607747364628,9.063829182111721,3.4384466322018183,6.653298714860673
Neu5Ac(a1-Sp8,15.201760338279907,3.6303066711597127,0.9174557950295781,3.0711000748917283
Neu5Ac(a1-Sp11,7.6763988914073495,1.6854191407480954,7.341120221510247,2.6933730294620086
Neu5Ac(b1-Sp8,17.891074055424017,6.724644669670906,5.6155868167687215,10.78270480198112
Gal(b1-Sp8,3.9409025593764713,4.834840352758991,4.209868780516405,11.364335833174186
Glc(b1-Sp8,5.381622359165228,12.965559355718774,8.804802551401524,7.540496472326387
Man(b1-Sp8,9.937851297270786,4.242736904797816,1.4063579499307226,8.090311789829709
GalNAc(b1-Sp8,5.519270289555192,6.811280201437899,2.95510282322516,3.820768956636872
GlcNAc(b1-Sp0,6.531517553881844,3.2814807689009333,2.7992069309895595,15.31341517197149
GlcNAc(b1-Sp8,27.6726912331002,5.121824103123159,8.107362920364423,6.938616950265023
GlcN[Gc](b1-Sp8,10.141882258363099,5.6706233898928575,3.5175382702253724,24.165528568931432
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,5.523530811220293,3.2267192310198287,1.9868434284479104,11.793048888328233
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,4.204352767866497,3.8800397957581145,1.8232243133160002,9.265513109510009
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,2.2442555445329004,3.6107546071885497,10.72812192553602,8.287641190954167
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,7.323481694977237,4.244899883683943,3.1542582026788266,5.6661768783428075
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,11.741889016217394,6.8067250316017125,10.097082493638114,13.576944075036428
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,15.928836469434929,4.11057427374813,8.471958325951974,16.864955258439554
(3S)Gal(b1-4)Glc(b1-Sp8,7.466697611394213,4.948982736802245,11.380887207470545,6.650213315375695
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,2.1373709005847963,5.1520569693893465,1.1172177775617451,11.625316760272248
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,4.535018761721572,7.42669600355142,8.870289903755499,13.222510257480144
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,4.569539754358929,7.0084438702539416,3.723297374975575,12.262340415645244
(3S)Gal(b1-3)GalNAc(a1-Sp8,10.135586090766148,3.888741713802378,5.855444328144528,7.146807912161383
(3S)Gal(b1-3)GlcNAc(b1-Sp0,3.2266300173968925,8.25728040963448,4.097402438944297,2.519555599042559
(3S)Gal(b1-3)GlcNAc(b1-Sp8,22.237326217027526,6.5109015550843665,8.118870056181866,164.72813825181763
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,7.6285037660845925,9.71401575469692,10.958817654747245,29.269375672193675
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,16.35752202861617,4.896795350277568,4.729012071158909,6.403479188951367
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,14.12792613546541,8.626594596749444,8.978500899881155,22.760616558780647
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,7.410397385880648,4.679399022221409,1.6823492490661112,6.684767315072877
(3S)Gal(b1-4)GlcNAc(b1-Sp0,18.798181072114392,1.706151332434097,19.56411886634985,170.4201961352854
(3S)Gal(b1-4)GlcNAc(b1-Sp8,13.651421716436715,1.239953107648302,6.865228975545293,11.940620929415704
(3S)Gal(b1-Sp8,4.628787768591968,5.295522530402456,7.39498204973029,3.3594471781083235
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,3.6206976716051096,3.284360218774223,2.5004196186173786,2.336670495063433
(4S)Gal(b1-4)GlcNAc(b1-Sp8,2.1610005219419386,4.939755266879797,3.1888058280752496,6.796756014146258
(6P)Man(a1-Sp8,9.680098430801195,5.503656372812531,28.812600637510428,4.1531846586886445
(6S)Gal(b1-4)Glc(b1-Sp0,3.7709102190320034,7.9638474196416675,5.365269497658054,10.248510578737827
(6S)Gal(b1-4)Glc(b1-Sp8,27.94176637395472,6.986428005962693,4.894993206243155,21.43170968277301
(6S)Gal(b1-4)GlcNAc(b1-Sp8,9.782102603351698,6.2097009359012905,5.264185987089237,5.402083807430238
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,0.8302372607674643,3.120950413469166,7.430675323279845,5.63025946945018
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,8.56057590624992,0.8732674442384,9.260213953746783,24.51170609361984
(6S)GlcNAc(b1-Sp8,3.686418961087664,7.088723437204091,2.8232701990186166,12.816350911075805
"Neu5,9Ac2(a1-Sp8",13.003483328548286,3.469171181036378,3.611582436642786,11.261659001045675
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",6.125821872206209,8.320703867011495,4.39564640866392,16.897393542669032
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,4.4573454301112125,2.7825686855853,23.504584864305354,175.76593174244442
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,11.745642785023325,84.74824830884194,58.216959680643214,226.04211080087086
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,24.804493431160644,725.2323866071449,1562.277149235003,734.2494501397148
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,176.21001543085185,184.6359215989268,1182.9027804655527,899.8728528997542
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,59.760604027034034,338.44821332537657,1695.4529515966901,1049.9368014318266
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,41.16494881935361,78.5890186453327,422.8074978584697,763.1657996940922
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,24.616440034710998,123.807614499398,473.5546080888186,741.9300744446142
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,32.42965353402075,232.39144231312287,640.4337733007893,1067.1156180377357
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,24.94097552776709,36.834574088371404,1103.0121464530466,1260.3646684042533
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,5.522801670876234,2.3674297659416697,11.893664803443336,5.4597121214553805
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,1.3764639149526134,3.3885691975621017,154.54443845899684,11.912681270254273
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,5.172001024426296,5.2379285475430795,4.0736449807471855,5.204923200522109
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,9.113439784324033,5.359733330120073,6.307488746455793,18.85691877393193
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,4.096005386857622,3.5054901131415717,19.73242173638345,13.394415845760744
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,9.541392714684447,2.206426638065885,4.471215924481094,15.832491116345755
