IUPAC,DSL (0.1ug/ml),DSL (1ug/ml),DSL (10ug/ml),DSL (100ug/ml)
Gal(a1-Sp8,9.250113763039195,11.473048926070176,13.96780361220642,2.2684159912076485
Glc(a1-Sp8,16.071365520598007,14.108168687767375,15.32321380411651,6.2864596623748925
Man(a1-Sp8,12.539457847497484,20.872125374507625,11.776733769704578,18.552154625182126
GalNAc(a1-Sp8,3.7452727528623777,4.4665580995512215,5.910697636982745,14.116466791894732
GalNAc(a1-Sp15,8.131054051802469,6.9584328500868,5.815065108477582,13.429776601021082
Fuc(a1-Sp8,2.746268641114096,8.179370989823529,12.486435858963116,17.054454699847984
Fuc(a1-Sp9,9.955234692863849,10.054979325024325,8.669966433037668,1.552427983031769
Rha(a1-Sp8,6.121287240646367,9.473731354074099,11.074221493593447,5.45676488429732
Neu5Ac(a1-Sp8,4.518909331907455,5.385883252850354,10.504145806775533,25.291000391773075
Neu5Ac(a1-Sp11,29.188939921640987,6.250468140000909,18.99929798657045,31.81386529186869
Neu5Ac(b1-Sp8,8.219623022732446,5.4613993337330635,4.648788850514363,6.659700660127302
Gal(b1-Sp8,9.705688782830752,5.810557511045428,16.899705699409875,4.8828677655485775
Glc(b1-Sp8,1.513299520914492,5.3408821277481815,11.95919204667132,2.5744651138634573
Man(b1-Sp8,11.966790091192653,6.6446124634298,10.897465211193225,1.8377797356230583
GalNAc(b1-Sp8,6.213568191466156,3.520639473518945,2.855359314663093,12.286962571326024
GlcNAc(b1-Sp0,18.267807300891366,32.08594662022352,10.730952665537199,16.17138344823966
GlcNAc(b1-Sp8,10.003341235932123,13.393492343018682,12.252475983381185,3.2531468123188065
GlcN[Gc](b1-Sp8,14.875673692839374,11.425019114498966,2.1319663198950125,9.464989471159843
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,3.3151419305966368,6.005443111808372,14.556540223183761,16.309243104116714
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,4.975438903503892,5.334631202810557,8.667420825135927,5.941247408302959
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,10.418776245917746,11.010859601623599,10.238676766229775,8.66040417301641
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,1.2633950569794064,4.354387615191514,6.634746530388325,3.878861772371733
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,21.367413565754767,2.195433720247552,6.749604335255513,6.678652707944419
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,16.964491929124613,14.205947094409686,18.435779873025893,16.67140142749453
(3S)Gal(b1-4)Glc(b1-Sp8,2.5019074474954723,3.808367251526565,7.64917363859217,9.730092828779524
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,1.2695526272405333,2.677516614327529,4.209574379910636,9.164762646499183
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,9.115293723919887,8.089445586019279,8.885098945050268,13.252294556635599
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,8.543507998864786,4.385849524227502,4.348386821186298,6.256766287987747
(3S)Gal(b1-3)GalNAc(a1-Sp8,2.7519151155755783,3.509383943443636,1.8586219130940267,7.398071284237982
(3S)Gal(b1-3)GlcNAc(b1-Sp0,3.8027621262927633,5.693484616866898,3.4045278648441144,6.459623851020018
(3S)Gal(b1-3)GlcNAc(b1-Sp8,4.125830541438506,5.580602787035349,7.1322151862166905,8.206611881231298
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,3.4802706344717897,16.909885969357287,8.131206059527702,22.683199743128533
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,7.137846458316402,2.7378029249442517,5.657944002609668,16.218936898653368
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,3.240665314921222,6.691613421975784,35.3836155845584,31.389762478267716
