IUPAC,BPL (1ug/ml),BPL (10ug/ml),BPL (100ug/ml)
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,1.9800749999999976,9.278874999999998,12.575249999999995
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,6.060525,19.209850000000007,22.301700000000004
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,8.746199999999998,7.425650000000001,21.791625000000003
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,9.73125,34.908125,19.138525
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,8.418725,9.891624999999996,-0.6368000000000009
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,6.65125,-2.1606500000000013,-5.25315
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,11.63125,-2.342150000000001,1.7232749999999992
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,0.8226000000000004,11.51045,1.923049999999998
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,-2.67045,-0.1842999999999977,2.5083
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,1.7414750000000012,4.792925000000002,8.759299999999998
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,5.333224999999997,5.204349999999998,17.709925
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,6.969050000000001,3.8305500000000015,-6.618025000000002
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,3.123125,4.618099999999998,14.03385
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,2.729225,8.911050000000003,6.881800000000003
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,19.2417,21.045875,27.5757
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-0.006650000000000489,-1.1080750000000013,-3.0977500000000013
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,5.2143000000000015,9.433025000000002,-1.239200000000002
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,2.3366249999999997,44.63497500000002,1.3400250000000025
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,7.82005,-0.5039249999999997,10.1331
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,7.576325,8.199449999999999,-0.09742499999999944
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,1.1536500000000012,1.151625000000001,-2.3714000000000013
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,8.454325,12.103574999999996,0.050949999999998496
Fuc(a1-2)Gal(b1-Sp8,7.533025,2.8922500000000007,10.190199999999997
Fuc(a1-3)GlcNAc(b1-Sp8,-1.8712749999999967,3.6494000000000018,0.27865000000000073
Fuc(a1-4)GlcNAc(b1-Sp8,0.7801749999999981,1.5035500000000006,-6.909975000000001
Fuc(b1-3)GlcNAc(b1-Sp8,3.910400000000001,6.154325,0.7142
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,9.813724999999998,-4.7958500000000015,-5.7364000000000015
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,25.758525,27.399300000000004,23.87370000000001
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,4.6384750000000015,7.4217,1.0222250000000006
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,2.0083750000000005,12.777575000000004,0.3922499999999989
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,5.285299999999999,0.8993750000000009,0.1806499999999982
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,8.714225,5.168075,4.022424999999998
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,5.7251499999999975,3.4909000000000017,17.313424999999995
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,2.5235749999999992,2.5978499999999976,-0.8792750000000016
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,2.29045,17.832099999999997,269.64020000000005
GalNAc(a1-3)GalNAc(b1-Sp8,-3.91445,-3.0166249999999977,154.34
GalNAc(a1-3)Gal(b1-Sp8,1531.972425,3930.098225000001,11493.074949999998
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,-4.264800000000001,-1.7484250000000008,-0.2935749999999988
GalNAc(b1-3)GalNAc(a1-Sp8,0.23572499999999866,-0.775974999999999,1.2970499999999952
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,3094.235,12749.118975,28306.949575
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,885.0888249999997,3411.3686249999987,10542.812025
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,3124.182525,11493.54345,20045.3354
GalNAc(b1-4)GlcNAc(b1-Sp0,4467.386,12038.238724999996,29148.732525
GalNAc(b1-4)GlcNAc(b1-Sp8,1894.4932,5090.378575000002,16852.59545
Gal(a1-2)Gal(b1-Sp8,5.9579999999999975,31.52555000000001,72.60560000000002
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,9.6406,1.44975,5.38205
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,14.034850000000002,8.516199999999998,11.8556
