IUPAC,VGA(EY Lab) (1ug/ml),VGA(EY Lab) (10ug/ml),VGA(EY Lab) (100ug/ml)
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,13.062350000000004,27.718850000000003,121.2158
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,18.032225000000004,14.690375,85.9839
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,9.376350000000002,8.0974,30.04237500000001
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,7.0763750000000005,7.27925,5.91335
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,0.930975000000001,3.4290749999999988,9.9212
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,6.8064500000000026,9.365850000000002,33.8025
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,6.236575000000002,3.448125,48.2068
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,4.780524999999998,5.293275000000002,1.0866749999999996
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,8.836075000000003,6.8317250000000005,25.425124999999994
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,3.874249999999999,9.12095,15.00535
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,5.0200749999999985,10.04245,12.8
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,12.506724999999998,16.21895,15.549450000000006
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,3.3143999999999987,8.231324999999998,56.02802500000001
