IUPAC,DBA (0.1ug/ml),DBA (10ug/ml),DBA (100 ug/ml)
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,10.16626168,16.02634988,29.79387584
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,10.961933300000002,8.087760749,18.96282196
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,11.96948951,8.301143476,14.8788899
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,3.05813889,10.67156284,8.050323169
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,4.938921023,18.20511883,17.64031447
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,8.466145869,3.907665135,11.401929800000001
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,10.37129452,7.001310094,0.43900768799999995
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,5.646595735,7.439296781,15.15461527
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,11.41664165,2.429653568,5.741468527
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,2.3938306430000003,9.444891859,1.772119604
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,4.846691435,14.88307484,6.440825125
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,8.123684289,13.9727236,6.436823307
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,7.041295985,44.96112177,11.89552708
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,26.887636699999998,13.70626229,12.90765596
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,4.761402597,13.96419082,6.360723281
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,24.00852985,7.443289063,657.7875368
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,2.746566688,1.524610578,160.3967955
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,2.1883868019999997,15.25874908,518.9049576
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,17.22284477,6.473668182999999,43.82723859
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,16.08680355,3.391248568,129.6619697
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,13.21032319,7.815843157000001,18.25104582
Fuc(a1-2)Gal(b1-Sp8,8.635441972999999,12.62662412,60.48082987
Fuc(a1-3)GlcNAc(b1-Sp8,7.69509331,4.405792263,11.33480332
Fuc(a1-4)GlcNAc(b1-Sp8,9.165300622,7.859581531,12.6391782
Fuc(b1-3)GlcNAc(b1-Sp8,18.19327546,5.527215695,8.484189588
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,14.93493278,43.11719106,5.811360652
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,20.78837746,40.803275,14.04541016
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,12.47884748,5.578864423,6.927575774
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,12.21400531,15.66944552,294.4421358
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,2.631957072,30.57823863,170.1049476
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,2.897841161,37.30676491,116.5261969
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,2.411801992,2.577731753,7.020590641
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,15.07815945,9.187007146000001,70.69381736
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,7.81424301,11.69356188,14.9104337
GalNAc(a1-3)GalNAc(b1-Sp8,294.4389432,944.1614307,764.3329903
GalNAc(a1-3)Gal(b1-Sp8,8.857611092,3.1351422760000003,21.47231754
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,10.96114676,46.827493200000006,42.67904557
GalNAc(b1-3)GalNAc(a1-Sp8,4.084861082,17.09510852,11.56944973
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,5.983602453,11.340702499999999,11.20655214
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,14.441138500000001,6.438074781,19.96493785
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,4.134660964,35.84616425,10.65219476
GalNAc(b1-4)GlcNAc(b1-Sp0,6.237810808,21.78009952,164.6526115
GalNAc(b1-4)GlcNAc(b1-Sp8,22.91176781,8.157724031,22.04671943
Gal(a1-2)Gal(b1-Sp8,1.051792937,6.341168057000001,13.48015125
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,8.85511115,29.10588986,11.78545611
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,9.666324883,6.594994981,12.46572607
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,17.98914719,11.53795378,7.167195382999999
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,7.286975281,1.316591705,20.99593241
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,5.178639223999999,1.873788263,7.696590261
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,14.86123582,17.18452674,9.156168786
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,9.23173001,11.25111337,11.79789828
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,28.59729337,8.720820621,23.86316135
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,19.64610312,22.55069251,18.55277906
Gal(a1-3)GalNAc(a1-Sp8,9.487093709,22.48354611,19.74399092
Gal(a1-3)GalNAc(a1-Sp16,16.72698704,7.9712663720000005,5.64069317
Gal(a1-3)GalNAc(b1-Sp8,3.335105747,13.40792809,6.040246651
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,5.72794312,4.791403648,12.48304046
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,6.216243261,4.835560252,11.86102817
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,21.51902509,22.97448766,10.89391931
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,3.62789065,4.296154924,12.95111649
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,25.41603266,15.47701629,10.32160258
Gal(a1-3)Gal(b1-Sp8,7.89627957,15.448077599999998,9.798547178
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,36.66092075,19.06026381,4.096537272
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,5.513828587999999,66.18906508,11.52701627
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,5.630423295,6.103475455,16.98957877
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,18.76856893,13.27640184,23.38236797
