IUPAC,GSL-1 (0.1ug/ml),GSL-1 (1ug/ml),GSL-1 (10ug/ml),GSL-1 (100ug/ml)
Gal(a1-Sp8,10.504174999999998,8.448075,448.51570000000015,3752.176
Glc(a1-Sp8,13.868874999999996,9.892525,5.366150000000004,0.7612500000000022
Man(a1-Sp8,34.45924999999999,20.187175,28.19537500000001,24.838
GalNAc(a1-Sp8,285.80412500000006,5058.040125,14149.522775,33530.339899999984
GalNAc(a1-Sp15,104.596425,1251.7104,5024.15725,10285.847725
Fuc(a1-Sp8,-0.5287749999999987,5.282350000000003,5.128575000000003,3.44815
Fuc(a1-Sp9,9.066074999999998,12.542825,7.3057500000000015,-10.439725000000003
Rha(a1-Sp8,-0.2808500000000027,7.1106000000000025,4.546325,5.5768999999999975
Neu5Ac(a1-Sp8,4.8082750000000045,16.016599999999997,5.4387000000000025,-17.6669
Neu5Ac(a1-Sp11,14.328324999999996,6.374024999999998,6.9799250000000015,8.187074999999998
Neu5Ac(b1-Sp8,1.6684250000000027,-0.92335,-2.393400000000001,-0.4930249999999994
Gal(b1-Sp8,9.876124999999998,10.5968,7.857375000000002,53.565425
Glc(b1-Sp8,9.095624999999997,5.5615000000000006,11.6473,-0.3684249999999985
Man(b1-Sp8,8.1772,3.2684750000000014,2.4726,7.098374999999999
GalNAc(b1-Sp8,8.806750000000006,34.343975,372.7466,3682.604825
GlcNAc(b1-Sp0,9.527275,9.219525,3.5373500000000018,7.611899999999998
GlcNAc(b1-Sp8,4.573475000000002,8.789074999999999,5.825424999999999,-1.2705250000000028
GlcN[Gc](b1-Sp8,0.3373999999999988,5.77595,6.1085249999999975,-11.064625
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,19.2651,4.284549999999999,4.89875,11.208249999999996
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,2.2612000000000023,6.020999999999996,13.901149999999998,-8.424275000000005
