IUPAC,WFL (0.1ug/ml),WFL (1ug/ml),WFL (10ug/ml),WFL (100ug/ml)
Gal(a1-Sp8,3.5739197457646825,16.15673683318097,9.505591002624023,10.98878766512333
Glc(a1-Sp8,5.476581157681012,1.83289245547394,13.43323827833407,5.7112571835513295
Man(a1-Sp8,14.531993371265356,28.66359872660793,9.108458618412527,13.797429419128525
GalNAc(a1-Sp8,141.94252435199215,322.7074327106398,1009.2461165976396,506.04526879180384
GalNAc(a1-Sp15,21.971327789037577,221.5779304191556,566.8772211137688,1198.348152646202
Fuc(a1-Sp8,10.728142978788703,4.297984954506768,0.8059529943901441,3.4453521139597263
Fuc(a1-Sp9,7.017987221122112,7.525804467021005,8.321786643303628,12.57985648073272
Rha(a1-Sp8,11.570811404276428,23.42585285710001,15.299133698432081,11.168240514475258
Neu5Ac(a1-Sp8,16.92928577642894,11.232790512453553,7.764291891731008,9.657410185620858
Neu5Ac(a1-Sp11,6.6492693829221485,9.32007481886098,10.142491111161986,8.387677598517161
Neu5Ac(b1-Sp8,3.190864087777272,10.018831130883813,4.907032515601273,14.581943270702979
Gal(b1-Sp8,17.029846407019253,19.332133075163586,13.732676431295786,22.66883780175993
Glc(b1-Sp8,8.93780702386402,4.158271779136937,11.64998481211456,17.996842844672326
Man(b1-Sp8,4.31502287160798,8.150715816979927,3.2660559318541966,14.224709522136704
GalNAc(b1-Sp8,63.39861390056629,776.8523730469601,663.2085132982291,1217.7697242487602
GlcNAc(b1-Sp0,10.722206654260432,13.302877917296698,7.389717077579267,6.8940981692072505
GlcNAc(b1-Sp8,10.21951164717114,6.656992270287439,7.520295180376898,5.240461966515926
GlcN[Gc](b1-Sp8,17.237024904161007,11.72665459409318,5.2446246083490085,7.004809039985791
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,38.60058231305153,208.55224731601788,1492.3385480130594,2820.517595520106
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,18.162793620017073,39.97729920384315,633.5633166691498,1690.3450455927289
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,10.56517575413837,14.306357911781735,11.28015072682985,3.617951355279194
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,10.970228051108746,22.61528339287393,5.086357763337795,3.751402333794673
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,5.299826731129986,41.91437462299382,7.369425817694348,26.524305223888515
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,27.39191935328129,26.218502779319138,20.05077708974142,12.476857211253146
