IUPAC,LTL (0.1ug/ml),LTL (1ug/ml),LTL (10ug/ml),LTL (100ug/ml)
Gal(a1-Sp8,19.387275,3.906050000000002,7.276724999999997,14.382899999999996
Glc(a1-Sp8,12.81065,17.305999999999994,11.619349999999995,18.216925
Man(a1-Sp8,11.492800000000004,10.2245,12.605100000000002,33.29077500000001
GalNAc(a1-Sp8,0.06637500000000074,14.270425000000005,5.407849999999996,42.843075
GalNAc(a1-Sp15,4.556175,14.577924999999935,26.492125,55.88582500000001
Fuc(a1-Sp8,7.146374999999999,6.9706750000000035,3.850574999999999,41.095
Fuc(a1-Sp9,22.703875,9.117,14.433949999999998,48.03162500000001
Rha(a1-Sp8,14.784199999999998,6.574449999999999,16.615,4.195674999999998
Neu5Ac(a1-Sp8,31.610375,35.3967,10.752625000000002,22.534499999999994
Neu5Ac(a1-Sp11,16.665299999999995,9.921175000000003,11.735124999999995,4.512375000000001
Neu5Ac(b1-Sp8,20.449025,12.682825,15.352474999999998,3.285025000000001
Gal(b1-Sp8,34.0927,13.658974999999998,33.047975,9.145699999999998
Glc(b1-Sp8,1.5150750000000004,7.262525,9.3824,19.580625
Man(b1-Sp8,8.679249999999996,6.278775,14.548875000000004,21.448149999999995
GalNAc(b1-Sp8,10.941675,4.081750000000001,9.58195,3.1430249999999984
GlcNAc(b1-Sp0,15.593974999999993,2.7086999999999994,3.905874999999998,8.184800000000003
GlcNAc(b1-Sp8,13.603375000000002,11.591124999999998,6.1041500000000015,6.545875000000006
GlcN[Gc](b1-Sp8,23.783025,12.347350000000002,9.2307,5.7714500000000015
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,6.814774999999999,8.782649999999997,14.591075,13.261824999999995
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,16.3294,10.852025000000005,19.219175000000007,17.57595000000001
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,20.742175000000003,23.88035,10.54925,15.094375
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,5.1529250000000015,5.0646,7.932475,-13.996175
