IUPAC,NPA 0.1ug/ml,NPA 1ug/ml,NPA 10ug/ml,NPA 100ug/ml
Gal(a1-Sp8,15.976825000000002,22.3089,31.98970000000001,36.9277
Glc(a1-Sp8,14.472625000000004,20.938900000000007,10.397950000000003,36.26045
Man(a1-Sp8,22.7226,26.004249999999992,38.39955000000001,49.34452500000001
GalNAc(a1-Sp8,9.34505,-0.4220000000000024,13.202450000000004,-2.529100000000001
GalNAc(a1-Sp15,-0.42215000000000025,17.325675,7.105724999999998,5.422299999999996
Fuc(a1-Sp8,17.1939,7.393899999999999,16.94350000000001,2.612025000000001
Fuc(a1-Sp9,9.5596,9.55835,0.8338000000000001,2.2691750000000006
Rha(a1-Sp8,10.225575,4.046699999999999,-1.9901000000000035,5.0058000000000025
Neu5Ac(a1-Sp8,20.001225,15.295850000000002,7.760399999999992,11.28185
Neu5Ac(a1-Sp11,17.83787500000001,6.194449999999996,24.27105,7.823774999999999
Neu5Ac(b1-Sp8,3.3861749999999984,8.326450000000005,17.44189999999999,-4.215750000000007
Gal(b1-Sp8,13.727275000000002,20.412650000000006,10.03875,13.279700000000002
Glc(b1-Sp8,9.22125,22.12227500000006,9.081299999999997,24.608799999999995
Man(b1-Sp8,12.061675,7.998324999999999,30.01685,66.75882499999999
GalNAc(b1-Sp8,26.01547500000001,27.7569,0.3766499999999997,23.686800000000005
GlcNAc(b1-Sp0,7.112374999999997,13.056025000000002,23.099225,30.795675
GlcNAc(b1-Sp8,-2.9791250000000016,5.687724999999998,22.609425,-4.325200000000004
GlcN[Gc](b1-Sp8,8.517275000000003,14.680725,4.043199999999999,5.480025000000002
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,11.417674999999996,1.7210499999999982,9.28695,8.057074999999998
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,11.593524999999996,-1.8563750000000017,14.741925000000002,2.7974000000000028
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,0.3901499999999984,12.707199999999998,2.5088500000000007,177.99057500000015
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,8.633674999999998,-3.608275000000001,7.7782250000000195,2.0259499999999946
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,-0.1453249999999997,4.592699999999999,-5.989225000000001,4.841675000000002
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,10.063175000000003,16.4374,56.709425,43.29375
(3S)Gal(b1-4)Glc(b1-Sp8,9.855249999999996,23.278275,-0.00980000000000203,4.767599999999998
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,9.536075,1.464224999999999,0.8632000000000026,13.046675
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,5.47,-8.924975000000002,14.3647,5.509375
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,3.1555250000000026,16.227875,18.992975,-2.784225000000001
(3S)Gal(b1-3)GalNAc(a1-Sp8,9.79005,5.3903000000000025,11.519125000000004,23.916625
(3S)Gal(b1-3)GlcNAc(b1-Sp0,-3.502374999999999,1.570249999999998,19.66435,10.901425
(3S)Gal(b1-3)GlcNAc(b1-Sp8,2.6676250000000046,-0.3865750000000023,4.052599999999996,-2.6308499999999952
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,5.085449999999998,21.8896,28.370999999999995,14.4213
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,0.3424999999999958,4.3703749999999975,3.378974999999997,5.069800000000001
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,-0.2262249999999977,83.38082500000002,15.699175,10.673850000000003
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,14.089425,6.6901499999999965,10.50605,17.4125
(3S)Gal(b1-4)GlcNAc(b1-Sp0,20.784525,12.49615,12.816599999999998,10.414250000000004
(3S)Gal(b1-4)GlcNAc(b1-Sp8,3.8976000000000015,15.893175000000005,2.0098749999999974,10.8462
(3S)Gal(b1-Sp8,6.495824999999997,9.81295,8.197899999999999,16.036224999999998
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,16.223399999999998,2.479974999999998,1.9007000000000005,5.760475
(4S)Gal(b1-4)GlcNAc(b1-Sp8,-1.2914000000000012,1.9479500000000003,2.0649,4.533649999999998
(6P)Man(a1-Sp8,14.188775000000005,11.112374999999995,5.1225,13.5296
(6S)Gal(b1-4)Glc(b1-Sp0,-5.667300000000001,8.98335,7.347175,8.268599999999998
(6S)Gal(b1-4)Glc(b1-Sp8,4.329650000000003,-0.2107499999999991,14.779825,3.3005499999999994
(6S)Gal(b1-4)GlcNAc(b1-Sp8,11.73695,0.4664499999999983,4.52975,3.4969
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,21.157924999999995,1.4805750000000026,7.565499999999997,67.747175
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,-5.582274999999999,-9.872175000000002,-0.05122500000000052,-3.2580000000000013
(6S)GlcNAc(b1-Sp8,2.6918000000000006,6.249474999999998,9.94505,8.855824999999998
"Neu5,9Ac2(a1-Sp8",-3.2026249999999994,-5.173374999999998,-1.7041250000000032,7.954774999999998
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",1.0710499999999996,6.0995250000000025,8.273425,1.9179749999999984
