IUPAC,MAA 0.1ug/ml,MAA 1ug/ml,MAA 10ug/ml,MAA 100ug/ml
Gal(a1-Sp8,9.656549999999992,-21.7479,-4.065474999999998,-10.194749999999992
Glc(a1-Sp8,14.068925,-2.3544249999999973,18.539900000000014,-27.380399999999995
Man(a1-Sp8,28.87380000000001,3.48875,-1.5873500000000007,-122.179925
GalNAc(a1-Sp8,6.489899999999999,3.7437750000000047,13.399825000000005,-10.364575
GalNAc(a1-Sp15,8.228274999999996,-4.834874999999993,33.706025,-21.198050000000052
Fuc(a1-Sp8,-7.379674999999999,-6.8506750000000025,-3.5879250000000016,-46.32042499999999
Fuc(a1-Sp9,6.761300000000002,8.511750000000003,-2.6847999999999956,1440.2999000000002
Rha(a1-Sp8,10.393674999999998,-11.35345,-8.829674999999998,-83.954425
Neu5Ac(a1-Sp8,-1.8233499999999907,-11.433075,-9.357700000000003,1101.040125
Neu5Ac(a1-Sp11,-2.368075000000001,-12.84845,-14.962900000000005,109.963825
Neu5Ac(b1-Sp8,-9.621974999999997,-27.192525000000003,-23.42387500000001,-117.28674999999998
Gal(b1-Sp8,8.518450000000001,-12.23045,-5.71255,-59.893900000000016
Glc(b1-Sp8,2.6380749999999997,2.4033750000000023,11.298675000000005,-9.18385
Man(b1-Sp8,15.766075000000004,3.8339750000000015,36.387225,-7.498800000000001
GalNAc(b1-Sp8,10.054099999999998,6.828375000000002,3.219549999999998,-7.580600000000004
GlcNAc(b1-Sp0,-0.4567000000000014,9.331274999999998,8.991575000000003,-18.22305
GlcNAc(b1-Sp8,1.2825500000000023,-7.792274999999997,29.43415000000001,7.413425000000004
GlcN[Gc](b1-Sp8,-0.8839749999999977,1.374375,15.798375,40.89795000000001
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,-2.239375,-16.827575,8.400424999999998,256.97987500000005
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,0.058474999999994275,-0.8302250000000022,10.0711,-72.000775
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,9.336824999999996,-10.8869,-11.9906,37.45722500000001
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,-15.345299999999995,-3.605774999999993,150.473825,6729.06605
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,-18.13145,-1.330425,-8.267074999999998,1647.5138250000002
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,4.777374999999998,20.376400000000007,31.247675000000008,-80.06569999999994
(3S)Gal(b1-4)Glc(b1-Sp8,12.0553,173.69172500000005,5733.8511,20334.606675000006
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,20.64125,351.801875,3712.655675,23507.043625
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,17.979000000000006,218.32775,7003.98785,31944.069650000005
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,9.565700000000003,-1.5505250000000004,0.5545250000000035,-34.46925
(3S)Gal(b1-3)GalNAc(a1-Sp8,-7.25625,0.5758500000000044,97.09824999999998,25.601299999999966
(3S)Gal(b1-3)GlcNAc(b1-Sp0,-5.779774999999999,-2.805,15.810450000000005,550.152375
(3S)Gal(b1-3)GlcNAc(b1-Sp8,-11.280925000000002,13.77555,20.459675000000004,358.231225
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,0.9555749999999996,-1.8364749999999983,10.648075,-119.00397499999998
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,-5.2705500000000045,11.202100000000002,2.9383999999999983,246.7565
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,57.48440000000001,707.6402249999999,4561.19145,39969.516049999984
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,25.712575,812.6446999999997,6333.987650000001,40944.8923
(3S)Gal(b1-4)GlcNAc(b1-Sp0,24.86685000000001,437.371425,4578.8869,39099.814800000015
(3S)Gal(b1-4)GlcNAc(b1-Sp8,72.63305,745.2049249999999,5421.4146,31866.4602
(3S)Gal(b1-Sp8,3.3930999999999987,5.7104,-9.33785,-7.7989000000000015
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,-7.742049999999997,-3.778925,-5.585175,8.531975000000003
(4S)Gal(b1-4)GlcNAc(b1-Sp8,2.9082500000000024,-1.0773749999999982,2.217125000000003,1262.5576749999998
(6P)Man(a1-Sp8,3.327475,-7.703425000000002,9.766324999999998,1.2111750000000114
(6S)Gal(b1-4)Glc(b1-Sp0,-1.222525000000001,-2.6040249999999983,8.413699999999999,9.179149999999991
(6S)Gal(b1-4)Glc(b1-Sp8,11.038700000000002,8.66565,23.87082500000001,138.81492500000002
(6S)Gal(b1-4)GlcNAc(b1-Sp8,-9.736225,6.338874999999998,125.89990000000002,6382.285824999997
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,5.458675000000001,-7.871125000000001,3.1502,236.15670000000003
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,-4.032899999999998,-1.828850000000001,-24.312625,852.7523000000001
(6S)GlcNAc(b1-Sp8,-19.220075,1.0215750000000003,-5.314275000000004,2089.59785
"Neu5,9Ac2(a1-Sp8",-9.732025,-6.3810249999999975,-23.039400000000004,-19.681175
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",-10.768975,-9.17805,-12.946325000000005,-11.827924999999993
