IUPAC,PSL 0.1ug/ml,PSL 1ug/ml,PSL 10ug/ml,PSL 100ug/ml
Gal(a1-Sp8,6.027449121242473,4.784174135191291,7.917456751802733,23.70224240003461
Glc(a1-Sp8,2.548083908220711,1.782297194400165,12.557336492896633,64.73697673494394
Man(a1-Sp8,4.32280050459192,16.431157951561612,42.43708568634279,4.16983635999862
GalNAc(a1-Sp8,3.9402186296152015,3.950897613939568,5.445625582367488,2.7850252452476405
GalNAc(a1-Sp15,5.542608674246571,4.9554557321535375,6.782565275026848,5.247157980834322
Fuc(a1-Sp8,3.8556654119836016,6.340489049158593,3.629619900554325,4.472414742526314
Fuc(a1-Sp9,1.147855697957429,5.285108467193462,2.381297322889344,3.012221982191884
Rha(a1-Sp8,1.6450218202706808,8.595366875435468,2.1211153502736932,1.6626187824734318
Neu5Ac(a1-Sp8,11.623519076531858,4.1498514776635895,6.3557207839342205,11.724839694426533
Neu5Ac(a1-Sp11,8.450676462074894,2.632279010667372,5.101971109532081,12.14620272880244
Neu5Ac(b1-Sp8,2.287206174025421,2.5082437180558514,1.3826842164789446,7.79570669337724
Gal(b1-Sp8,2.3284440733030265,6.484071809184923,1.5468265090716078,16.257302250168483
Glc(b1-Sp8,7.485917670978397,4.575748417836513,8.013121768907133,1.061441942202521
Man(b1-Sp8,2.859776959105963,1.8469450361791413,3.423326737132562,8.971316528943786
GalNAc(b1-Sp8,3.735872318816584,6.34473682373824,2.5107797107339658,20.44924505083664
GlcNAc(b1-Sp0,5.57189080496917,4.0492347461176745,6.561848118988028,3.978437579837928
GlcNAc(b1-Sp8,1.7339506221343206,3.2298083455782147,6.56945360893887,6.4737201200958125
GlcN[Gc](b1-Sp8,2.421699206996331,2.8064255870828503,3.528443419200601,3.675643205730576
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,3.542838879933252,4.404211376531179,3.2263051492122274,12.601979850933475
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,1.7296541648549326,3.679946261722672,2.2116317060788684,6.8291991899367925
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,2.673188703901517,5.08446318569293,3.4844207007765315,4.388354302013444
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,15.725199093069268,4.844383798104082,3.197657564921544,16.77997951674852
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,0.6365867334202548,4.278186019409005,0.8869565279651539,8.604570505841647
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,8.847331361631044,9.89939180707583,3.513860040254878,45.84424308746409
(3S)Gal(b1-4)Glc(b1-Sp8,4.135946514301978,8.407605519359645,2.046157386216092,2.9622002637397937
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,1.8680001909350308,3.2527476563412137,4.179773144063363,4.178112385894625
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,5.813501083039378,2.8315443713045805,11.216652326043407,14.88196670367083
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,2.69987650396582,5.3536803561506465,7.014417049667543,5.99586578958091
(3S)Gal(b1-3)GalNAc(a1-Sp8,9.107873819027864,6.252972656465088,3.7955309760295735,3.8689844346848017
(3S)Gal(b1-3)GlcNAc(b1-Sp0,3.922956098297134,11.706034682590001,10.378867944811402,9.618475102634507
(3S)Gal(b1-3)GlcNAc(b1-Sp8,6.877074719372572,5.855302578219166,4.9522518561424835,4.53868393039216
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,8.814796924490082,5.329080616375904,6.783674683815051,7.71629985393474
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,5.4146709314448245,6.229742481034036,3.3506215158534385,9.555235550733428
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,2.0379552552742664,6.626836221191832,6.651796153107822,4.973254450558502
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,11.114115476875945,2.8569359577468063,3.1835398540775217,13.805015109372473
(3S)Gal(b1-4)GlcNAc(b1-Sp0,3.581755791391517,2.7413846542395333,1.7801750052078225,30.29555423538516
(3S)Gal(b1-4)GlcNAc(b1-Sp8,3.6472163059654172,9.889723426702416,4.986954900788657,8.36989954793356
(3S)Gal(b1-Sp8,3.62950362538277,2.3029540116988847,2.3665681608607843,4.180122339019118
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,8.638903320831103,11.3830961321309,0.7042283217584122,3.6744458970027023
(4S)Gal(b1-4)GlcNAc(b1-Sp8,3.5687539715097576,4.072595640272511,2.1518391304494235,6.702396742646122
(6P)Man(a1-Sp8,1.4030874726236149,4.357329211416858,3.777169381406312,5.160694299865727
(6S)Gal(b1-4)Glc(b1-Sp0,7.6180392564841295,7.376374161017952,10.504905295146642,7.3078088062815825
(6S)Gal(b1-4)Glc(b1-Sp8,7.916673070751796,5.651134944637227,2.7136205253928427,7.832379569879558
(6S)Gal(b1-4)GlcNAc(b1-Sp8,8.396943496445601,3.327600076506589,4.443782417790802,11.513022739597973
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,3.208458395138285,3.3632769728099,2.6445653284928814,15.073132787485369
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,7.460714178057398,15.514176097578193,10.176814426430283,4.200857554019982
(6S)GlcNAc(b1-Sp8,2.281561024642269,2.916730440493259,1.540996494696425,6.869902513863858
