IUPAC,AAA (0.1ug/ml),AAA (1ug/ml),AAA (10ug/ml),AAA (100ug/ml)
Gal(a1-Sp8,8.869813915748175,3.831755224002004,9.878655591729062,20.033089740622607
Glc(a1-Sp8,7.938007902490398,9.418843855935824,16.549912780107533,18.449469466807887
Man(a1-Sp8,17.01195017771824,12.09135926298887,21.605906773457427,16.992931043500587
GalNAc(a1-Sp8,8.492452984071594,4.062315761155614,1.6968742585019476,20.202993210083005
GalNAc(a1-Sp15,25.325408645271693,14.559825970886473,17.856480987212084,40.96350308677177
Fuc(a1-Sp8,8.064425117090902,13.00799517604462,7.778157940615933,7.725665406724874
Fuc(a1-Sp9,0.6419441772200066,2.009125482226865,3.01016390140692,35.404195553540376
Rha(a1-Sp8,6.309007379070554,14.363960445155781,16.376397984192575,41.05234116547624
Neu5Ac(a1-Sp8,18.672970509335137,2.991350999687899,5.737734544225619,25.32347702916541
Neu5Ac(a1-Sp11,12.799186348228032,12.95821850782995,6.425634862732768,8.96977196737278
Neu5Ac(b1-Sp8,7.082449629189039,10.525429789166177,3.9678885185742447,9.100972871255776
Gal(b1-Sp8,6.456496403042452,7.334692389539366,13.137388632036679,12.082056713021414
Glc(b1-Sp8,7.8829986402700865,8.008874413788314,5.006540837993831,17.069674851912875
Man(b1-Sp8,4.106245010854405,2.8081506493004778,6.2231930017207935,14.280388967975213
GalNAc(b1-Sp8,7.335102061321282,3.4741413340805054,17.86858506847048,19.260683424768818
GlcNAc(b1-Sp0,32.811427609332995,11.544900982215777,17.208306358074104,26.73183580838889
GlcNAc(b1-Sp8,10.049259861759305,7.079398530242523,14.8958401809588,33.899187757464716
GlcN[Gc](b1-Sp8,3.3778741169558177,3.622176354072233,7.15308673580853,10.655918664096168
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,6.746173875365701,6.967017069258076,7.938318946466769,33.63557491172855
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,19.8531456054198,13.808797853904586,13.3187883426634,9.944339231777482
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,3.959609597338265,7.016551742071504,4.911013054350395,12.6666513015806
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,4.571008565951282,4.724720169050576,19.11718436355104,12.368676711320665
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,4.74616462595501,11.20343285917312,5.944037530374452,30.3629071771792
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,10.994001669698536,20.195961121884405,13.572669895878965,16.541255908863207
(3S)Gal(b1-4)Glc(b1-Sp8,3.4970680414694066,6.185881506772767,14.245544235859619,13.769051756838547
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,4.638808072842277,8.022042108673661,6.947087727002351,22.9205691621267
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,6.573946869778202,3.766364237453232,8.378225296962759,45.38362247051978
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,4.580243054958978,3.1303060835430507,3.089214257703727,11.540347812602215
(3S)Gal(b1-3)GalNAc(a1-Sp8,13.118259411090586,13.721317835488687,2.138249416968628,31.026558915911068
(3S)Gal(b1-3)GlcNAc(b1-Sp0,9.701987411178532,11.41024865121263,8.982821768612945,13.747537819884935
(3S)Gal(b1-3)GlcNAc(b1-Sp8,2.5656479525973044,2.4669830824646226,3.2953781415542185,6.964602748661684
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,0.9316882418491768,4.264006324651345,4.782498768339295,15.879631053018556
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,11.265399577578249,16.71780509843223,4.824328827239426,24.81307815022487
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,10.634113098381393,2.7712129911827432,8.357478327571856,16.852956039891012
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,5.878876413836801,1.9647444914458123,8.220507288888369,16.904615673931538
(3S)Gal(b1-4)GlcNAc(b1-Sp0,6.4376237279373205,0.8365711406290128,7.09697297655839,9.258541069376607
(3S)Gal(b1-4)GlcNAc(b1-Sp8,4.614034726426183,5.195658691237652,7.149352502791191,25.929740590745048
(3S)Gal(b1-Sp8,7.254187118255683,7.620363293395747,5.527564157324036,8.510226809110293
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,8.617309097779106,5.740543274159684,9.234193700363518,12.524491612403562
(4S)Gal(b1-4)GlcNAc(b1-Sp8,2.4776651085245542,4.430176454348817,12.202069274888036,15.937529526351733
(6P)Man(a1-Sp8,8.340154115682344,15.165633606584553,27.08460641852982,31.200535961048285
(6S)Gal(b1-4)Glc(b1-Sp0,5.420192784394293,11.298920126130044,14.770404503826793,29.86050389220966
(6S)Gal(b1-4)Glc(b1-Sp8,6.186322700051028,5.106135400998823,23.81597238456789,22.552009862149767
(6S)Gal(b1-4)GlcNAc(b1-Sp8,8.4120982124953,6.713348054187768,6.106647344424492,32.70250639542026
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,10.900163951977966,9.532255769054183,4.833208045301446,25.145324776105657
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,7.266552645913562,6.618176927220973,8.616730052055729,16.027217644369994
(6S)GlcNAc(b1-Sp8,5.362047960434529,6.377743370503397,8.55538306759744,23.876967293606967
