IUPAC,MPL (0.1ug/ml),MPL (0.5ug/ml),MPL (1ug/ml),MPL (10ug/ml),MPL (100ug/ml)
Gal(a1-Sp8,28.302349999999993,19.170275,300.73955,7129.298074999999,8762.75815
Glc(a1-Sp8,25.789925000000004,-0.8375750000000002,15.310999999999995,11.456574999999996,24.514525
Man(a1-Sp8,18.533925,3.6739499999999983,14.072825000000002,18.46325,96.05987499999998
GalNAc(a1-Sp8,17.130450000000003,6.455774999999999,5135.0817,17668.218075000004,28319.885624999995
GalNAc(a1-Sp15,13.941099999999995,8.767675,21.049150000000004,2981.532375,8226.738825
Fuc(a1-Sp8,8.4725,1.677925000000001,11.95375,15.762774999999998,122.5269
Fuc(a1-Sp9,16.11055,6.0388,26.96882500000001,34.047825,184.045775
Rha(a1-Sp8,5.815175000000001,4.682725000000001,5.155874999999998,14.81495,4.329125
Neu5Ac(a1-Sp8,9.071375,8.66585,18.62035,17.364175,121.35195
Neu5Ac(a1-Sp11,19.707675,7.3428,15.998474999999996,25.09554999999999,13.249775000000005
Neu5Ac(b1-Sp8,20.33525,4.167600000000002,25.657275,21.717600000000004,278.76525
Gal(b1-Sp8,28.675475,14.209950000000005,17.115450000000006,47.023074999999984,278.32280000000003
Glc(b1-Sp8,11.843900000000005,0.40130000000000265,16.15385,18.442899999999995,19.930675
Man(b1-Sp8,16.780900000000006,8.954600000000003,9.640974999999996,9.703999999999997,16.818200000000004
GalNAc(b1-Sp8,10.10625,15.555725000000002,5.872000000000001,269.17965000000004,8838.572025000001
GlcNAc(b1-Sp0,20.758275,8.629074999999998,10.962025,17.67895,11.284950000000006
GlcNAc(b1-Sp8,15.808875000000004,4.951174999999999,19.273975,16.988525,11.324725
GlcN[Gc](b1-Sp8,9.49625,7.320550000000001,32.66602499999999,19.3044,26.78545
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,12.58735,0.3516000000000004,5.429725,15.32115,13.61385
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,17.5646,14.8831,18.54615,77.712125,85.844975
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,14.618999999999994,5.356924999999999,13.039050000000005,15.155024999999998,16.461475
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,16.509499999999996,5.019675000000001,6.891300000000001,8.601450000000002,17.637575
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,6.569149999999999,10.987999999999998,3.6367,7.4779750000000025,16.546049999999994
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,24.96967500000001,27.329,22.15,32.73475,72.28575
(3S)Gal(b1-4)Glc(b1-Sp8,22.623825,5.711549999999999,8.367549999999998,13.867825,68.230625
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,5.594025000000002,15.31945,6.318324999999999,10.970975,10.588275
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,7.141924999999999,14.475625,15.575324999999998,6.894375,128.25657499999997
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,7.370050000000003,6.47785,7.136199999999999,15.30705,223.5514
(3S)Gal(b1-3)GalNAc(a1-Sp8,17.312349999999995,33.038975,5373.059625,39245.2863,27808.033575
(3S)Gal(b1-3)GlcNAc(b1-Sp0,10.521975000000003,4.4352,10.261475,4.641450000000002,4.4953
(3S)Gal(b1-3)GlcNAc(b1-Sp8,6.2474000000000025,10.759499999999996,14.2208,6.950875,13.1132
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,6.687125,10.008424999999997,18.2072,75.8488,481.00105000000013
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,25.402425000000004,4.977100000000002,23.1971,59.24009999999999,436.4768249999999
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,3.79485,16.439425,17.889049999999994,24.07235,18.0572
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,12.660874999999995,-2.68045,3.161624999999999,34.4712,179.77107500000002
(3S)Gal(b1-4)GlcNAc(b1-Sp0,27.994525,9.2136,12.7047,34.259125000000004,28.089000000000002
(3S)Gal(b1-4)GlcNAc(b1-Sp8,1.280924999999998,10.47495,6.539524999999999,20.817900000000005,10.645775
(3S)Gal(b1-Sp8,18.2584,10.296825000000002,9.4924,13.957374999999995,21.283375000000003
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,20.098725,0.32894999999999897,8.6231,7.940750000000001,14.793375000000005
(4S)Gal(b1-4)GlcNAc(b1-Sp8,11.713849999999995,7.499449999999999,10.160525,7.560525000000001,8.084499999999998
(6P)Man(a1-Sp8,10.398600000000002,10.682899999999998,11.501449999999998,17.854825,9.321124999999997
(6S)Gal(b1-4)Glc(b1-Sp0,8.934175,9.1235,12.716774999999995,6.439375,5.565850000000001
(6S)Gal(b1-4)Glc(b1-Sp8,11.947749999999996,9.673625,2.839725,12.07105,0.4739500000000003
(6S)Gal(b1-4)GlcNAc(b1-Sp8,22.86802500000001,5.040625,8.641849999999998,15.096625,7.008799999999999
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,10.971925,1.0467499999999994,6.966974999999998,32.538000000000004,10.094775
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,8.823925000000004,4.83595,25.192025,252.75495,1198.968825
(6S)GlcNAc(b1-Sp8,11.574349999999995,3.1069749999999985,12.881975000000004,3.3630000000000013,9.583975000000002
"Neu5,9Ac2(a1-Sp8",10.231575,-2.558575000000002,15.605474999999998,7.0641000000000025,14.51435
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",8.260149999999998,2.6427499999999986,8.102174999999999,3.8568250000000006,72.78925
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,11.558525,10.008824999999998,10.087949999999998,13.2372,30.0925
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,19.635375,70.58099999999997,15.67055,5.201749999999995,69.645175
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,4.977725000000001,7.341625000000002,11.145375,17.544325,26.016575000000003
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,23.69222500000001,1.0341249999999986,19.611825000000003,10.037075000000002,29.14292499999999
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,12.927025,3.238125,7.937700000000001,11.918274999999998,9.9405
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,4.254399999999999,9.3306,4.828575000000002,4.2277999999999984,9.196750000000003
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,10.412924999999998,3.5017999999999976,23.67162500000001,24.67609999999999,39.11409999999999
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,13.667275,12.607925,13.844800000000005,14.708925,26.391725
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,24.837575,17.635124999999995,44.07834999999999,30.285025,46.517425
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,25.36952500000001,18.401875,140.1363,958.4760000000001,3053.814900000001
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,36.01017500000001,5.342700000000002,35.536125,59.37179999999999,69.26037500000001
