IUPAC,RPA (0.1ug/ml),RPA(EY Lab) (1ug/ml),RPA(EY Lab) (10ug/ml),RPA (100ug/ml)
Gal(a1-Sp8,3.866092515167397,13.51578051131342,4.952491030027212,27.57116966330052
Glc(a1-Sp8,5.275281449679565,3.6306288353396856,26.430365993477373,25.202248927294825
Man(a1-Sp8,8.58898514198078,15.89725986200138,5.063812903995041,9.391290834730867
GalNAc(a1-Sp8,2.0648751025586694,4.248038536685686,3.890702728299861,10.006814324707276
GalNAc(a1-Sp15,10.810968018444662,11.41241331796216,10.098770665944114,9.638385894389504
Fuc(a1-Sp8,4.89463235825736,5.25185568434307,9.718432696813824,4.153510114248752
Fuc(a1-Sp9,3.076541175844496,9.610761053241307,9.719504464177518,3.686261622565608
Rha(a1-Sp8,2.9203658144143496,7.369555249074852,3.8209697486371184,3.0398350360943307
Neu5Ac(a1-Sp8,5.725664824862408,3.9372624198165855,3.9356053277524334,9.279707375774302
Neu5Ac(a1-Sp11,9.008943475374906,2.4192380554973645,12.986140910601573,4.998190211383185
Neu5Ac(b1-Sp8,8.54355771912381,10.283365916696084,4.324914923633375,2.489856868710864
Gal(b1-Sp8,1.010873620521708,14.372697315018005,19.1944207898198,11.670218453360967
Glc(b1-Sp8,2.2121447938972367,2.545540677341454,1.9038865466461043,21.187032657953
Man(b1-Sp8,7.537013466221219,1.3249331857367992,20.274216259492405,12.33529543032254
GalNAc(b1-Sp8,12.187611215048115,5.351216766929428,6.282067220469713,5.7780755887377095
GlcNAc(b1-Sp0,2.8171207456964518,5.459089198758337,2.631535776405102,8.00911875109657
GlcNAc(b1-Sp8,1.6240704631162592,2.165523947955024,14.17136515568744,14.959695551130045
GlcN[Gc](b1-Sp8,8.79769750460312,9.874624690040966,1.9280215479000269,18.91302547705768
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,8.31364978434062,6.1215971243894645,2.8216693786657565,4.100457329778387
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,6.796399966894243,2.197724133431369,5.0518618524922765,7.873590538841431
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,3.6099312822407006,15.69670695199048,2.7010710529960735,4.555015177435403
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,2.5011453194819904,3.0619166104201248,6.38998472735525,4.915178162505066
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,3.2403933180762685,7.916682413949248,3.6301052790059214,1.5318709007833071
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,4.111454089086535,21.62329235544762,17.05785771543421,15.544345101462223
(3S)Gal(b1-4)Glc(b1-Sp8,3.0377828510280334,8.855002698286837,3.0580581217225715,7.382692748584349
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,6.2473687458534615,4.424394373903991,2.9031087555699098,9.296514250513473
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,6.528284200500162,3.6735365126809,6.4039775613806365,8.33236824093246
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,4.862786293542693,2.529068704747527,5.576840345198463,1.722188857965352
(3S)Gal(b1-3)GalNAc(a1-Sp8,3.662721666898357,3.118300565479014,13.059812178173404,6.204213917102423
(3S)Gal(b1-3)GlcNAc(b1-Sp0,0.6071356211753921,3.5255204593317364,1.4683504721852592,8.980174884108143
(3S)Gal(b1-3)GlcNAc(b1-Sp8,2.9164381476668866,3.7070236210019822,4.167417851519895,18.15874276191314
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,7.316369112476491,14.991312926797528,8.973846167010382,11.941092786675767
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,4.8756452416577645,0.7052020342899229,1.3243125776542828,1.1034553049398992
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,4.1968100703589934,4.5258328112993,9.446379019320927,10.424557799574359
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,8.033321285070492,37.27907564585214,5.942708268401987,7.767861428293289
(3S)Gal(b1-4)GlcNAc(b1-Sp0,3.827046651901877,24.63321923940651,2.147876450512617,2.040938926082799
(3S)Gal(b1-4)GlcNAc(b1-Sp8,1.9659008232020947,1.4900377744093385,4.4665873643457505,27.292183994613428
(3S)Gal(b1-Sp8,3.22867672584296,9.86819115914022,5.561837346521983,23.0039442920132
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,5.094519749691816,1.1110254853812571,3.3152004035703944,2.367266442369059
(4S)Gal(b1-4)GlcNAc(b1-Sp8,1.9825210692449131,5.454535340659182,7.658042599069732,1.2737988574208094
(6P)Man(a1-Sp8,2.6791386613362653,6.4956118010546176,12.973039221015242,20.443064104646037
(6S)Gal(b1-4)Glc(b1-Sp0,3.1061738554047484,4.333966390809544,9.560277974820263,12.080846216773615
(6S)Gal(b1-4)Glc(b1-Sp8,3.1536582391195607,6.072182674568786,5.133016427663822,7.619302174521412
(6S)Gal(b1-4)GlcNAc(b1-Sp8,9.67536077087912,3.5876524463544874,2.935919735931713,5.725316776388882
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,7.127594050531122,4.127801911025619,6.053982942589668,19.693353918263913
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,2.8042516203079884,4.426289668559885,3.262408593227806,7.023595253619519
