IUPAC,UEA I (0.01ug/ml),UEA I (0.1 ug/ml),UEA I (0.5ug/ml),UEA I (1ug/ml),UEA I (10ug/ml),UEA I (50 ug/ml),UEA I (100 ug/ml)
Gal(a1-Sp8,6.455521714199402,13.905474785853233,9.826626432767586,3.0613185583720863,4.745157718049707,12.379619628344807,6.891171359790715
Glc(a1-Sp8,15.033246986041744,11.882948710792839,8.010828000067576,20.629824765191287,6.933041993959082,12.283593557363412,7.318734870180777
Man(a1-Sp8,9.160606644031098,8.032325575448246,7.1182470395924495,14.798961938905258,13.737011536569133,10.015638928653855,19.229295316694948
GalNAc(a1-Sp8,11.010860291699887,2.1557969562708457,14.092784274821875,5.230815987651134,10.592030900752695,17.19400591608889,5.666160079512983
GalNAc(a1-Sp15,16.276895759019904,15.215864355446035,5.957104419864295,6.7395792199884434,10.859268696486874,26.772179416249127,6.9591213712652005
Fuc(a1-Sp8,16.497238003652804,12.28467078381292,10.71189558419361,8.712184967044719,22.131158895905312,75.460241909162,602.0348081076975
Fuc(a1-Sp9,4.222577601714378,14.797586580559908,10.33502772936128,6.8483000490997785,74.63150493517594,48.20916686380864,692.6998979340058
Rha(a1-Sp8,6.702482867502653,6.650106589120713,5.168369928952452,5.8840516711842925,12.36401152657044,6.62470136050172,10.398252946328679
Neu5Ac(a1-Sp8,6.428345252797695,12.495710082631028,5.241396409991023,6.593050147124617,24.19305107794385,10.719209719315437,23.032475067952053
Neu5Ac(a1-Sp11,7.478657938427188,11.130975344356251,3.673461305431163,10.418110958126398,14.710498509199706,3.6201840197242574,6.944617463186861
Neu5Ac(b1-Sp8,8.684347294366264,20.62565399227784,9.626561564191377,2.803397095638315,6.035701791838303,10.991514946349909,9.947699430647264
Gal(b1-Sp8,18.39786607197965,17.035203086452086,3.494557372424532,5.3366467120436845,3.5993579283903894,11.630709878700438,5.459804068752527
Glc(b1-Sp8,3.74050878658238,7.138353152455166,5.212855452548693,5.970211762855094,7.906103931509718,10.177456960156269,5.942456513934277
Man(b1-Sp8,15.102048507708039,2.353933446205878,2.9749949428528404,1.5601509699919007,11.545504915297848,5.290589824317003,3.611237874907536
GalNAc(b1-Sp8,24.80014746627866,9.03024734669544,3.5774687555122924,16.535885662098664,14.243169429121695,15.331828752957025,6.681195992422818
GlcNAc(b1-Sp0,16.576353072248217,5.193460836073888,12.558346833713156,17.258210676346685,11.526607151969447,11.553121933774724,13.57034603648705
GlcNAc(b1-Sp8,7.28393418856412,4.079809641290466,11.215976035214226,13.994494903919652,6.137439192570458,10.101827411744207,1.6455489752663377
GlcN[Gc](b1-Sp8,6.156643638108879,15.288232748315506,19.252295561309047,3.1275757699321485,6.312495246928908,13.418894788071535,3.3076681463935618
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,8.833230178658699,11.390374194906855,7.763601597358012,2.094903611744459,7.46196204627175,7.3938389870666175,7.269240784061742
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,7.891961852205496,6.603844866628788,5.182633570798403,6.014866998460268,24.739152381127912,3.198670141767256,2.5859029763959205
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,16.125553268932094,5.732366166121983,5.767059241574807,4.417819862782999,11.847804314829814,1.5781819907201713,9.683782760367992
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,11.55762095242788,8.142924011833843,12.772024889578006,5.728525041331903,10.066110452528317,5.832671099004831,2.8457202525605667
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,1.7144384172861618,3.141939564849498,9.875294316964267,1.1088818844780384,8.615708053462571,15.552024498437474,6.801652595938228
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,7.857450699124169,19.254206524354625,8.474793579147919,25.365776027339805,11.672367339004829,15.124828297289856,9.965841697309534
(3S)Gal(b1-4)Glc(b1-Sp8,16.651573362973842,4.647192100164718,7.886485510669503,1.8326274889713183,7.330433429659308,8.899474543430454,7.461447200331402
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,3.5557089724366655,3.6566195630892047,3.3266391382043934,10.460053870479507,8.447133534469948,7.479496704101597,1.3110774942135521
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,7.213974025632473,6.559700090895926,9.546740993658508,5.892996179081293,2.9732012068924396,4.6423041429696665,6.9491062741309975
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,2.3508760537297606,2.7871700682173444,9.119172491103564,5.1403335737252185,6.444823657465992,6.071434700848446,6.997355065249063
(3S)Gal(b1-3)GalNAc(a1-Sp8,1.3764212784730427,7.724702759977237,3.0928354730462706,3.6726722536186096,3.320055116008348,15.617105982436915,3.2842501899217176
(3S)Gal(b1-3)GlcNAc(b1-Sp0,11.432934508981793,8.696957249664964,4.118415282200984,5.019321259808606,6.021493854172193,4.608137229854028,5.8370846937919305
(3S)Gal(b1-3)GlcNAc(b1-Sp8,3.2231525906323424,3.526517730353836,8.42012240172315,10.150497980353801,14.907798957704433,12.939856074933742,8.956556488591652
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,2.6312713940539574,5.118402001520263,4.2243554750991335,7.985515738458393,4.840023957499249,9.743345174485338,6.089925824603009
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,5.267087330062034,5.9760825397997985,7.2919950225687105,7.7005562496051825,5.285642232422337,21.788470452110662,13.19544068820111
