IUPAC,AMA (EY Lab) (0.1ug/ml),AMA(EY Lab) (1ug/ml),AMA(EY Lab) (10ug/ml),AMA (EY Lab) (100ug/ml)
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,12.648000000000007,2.406699999999999,65.34372499999998,15442.441300000002
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,8.522025000000001,14.513675000000005,1273.9243499999998,31434.178575
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,16.283974999999998,46.668075000000016,3135.16165,36530.23892500001
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,12.5583,15.573250000000002,45.5255,7566.09885
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,17.03185,4.7711,20.37385,43.55659999999999
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,4.460675,22.21872500000001,6.5878000000000005,8.690725
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,11.398875000000002,5.5905000000000005,0.5945250000000009,-3.1666500000000024
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,-0.7561000000000009,6.8640750000000015,5.56235,11.615975000000002
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,9.913,3.520725,3.702075,6.267125000000003
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,11.4577,15.091924999999994,14.484849999999994,11.6481
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,14.8672,1.667974999999999,5.57995,-0.4749499999999998
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,12.073374999999995,3.11195,5.6945,15.372
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,3.2369250000000003,9.90465,11.522975,4.784625
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,5.00085,9.396275,7.095525,14.2855
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,18.137075000000006,11.791075,7.897225,6.088599999999998
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,6.954250000000004,8.278025,-3.2490750000000013,14.364649999999996
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,12.237375000000005,8.065900000000003,14.042075,13.6882
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,8.08115,16.766574999999996,12.921049999999996,10.714899999999998
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,1.369375,10.438625,6.303999999999999,3.0835000000000017
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,0.5759249999999998,11.635450000000002,6.563125,-6.584775000000002
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-1.5074499999999986,8.028400000000001,6.910124999999999,-2.0628500000000027
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,3.3546749999999994,10.496950000000002,7.920125000000002,12.368174999999995
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,1.345275,3.4513999999999987,5.369225000000001,3.9737250000000044
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,4.856774999999997,18.7727,9.872175,8.157425
Fuc(a1-2)Gal(b1-Sp8,9.933775000000002,9.788875,10.56895,41.885925
Fuc(a1-3)GlcNAc(b1-Sp8,6.006724999999999,13.5487,0.3523000000000001,4.9774499999999975
Fuc(a1-4)GlcNAc(b1-Sp8,1.9320000000000164,-4.237125000000002,7.972374999999998,28.63445
Fuc(b1-3)GlcNAc(b1-Sp8,12.507325000000005,14.012250000000002,6.680749999999998,16.255500000000005
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,6.011525,2.4853499999999995,12.18875,23.163325
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,13.550100000000004,22.267650000000003,34.540925,26.61805
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,7.164575000000001,8.911775000000002,8.953475000000003,11.2852
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,0.6414499999999999,0.6488749999999994,-11.369425,4.184524999999999
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,17.08135,9.963,6.568249999999999,7.414474999999998
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,14.271425,8.801275,8.465575,5.1543499999999955
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,15.310300000000005,21.272475,28.215125,42.19042500000001
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,7.026200000000002,12.969224999999998,6.428400000000003,19.965175
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,3.683850000000003,10.7992,3.3870749999999994,1.7522999999999982
GalNAc(a1-3)GalNAc(b1-Sp8,12.448175,5.4709749999999975,12.676175000000004,2.976925
GalNAc(a1-3)Gal(b1-Sp8,12.753425,3.7883999999999993,-0.008974999999992406,24.529375
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,13.50935,0.7736249999999991,-12.635599999999998,-0.6680500000000027
GalNAc(b1-3)GalNAc(a1-Sp8,12.465100000000005,7.065175,12.067775,15.741575
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,11.518900000000002,6.14705,11.383499999999998,1.6104750000000028
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,13.555825000000002,28.569849999999995,11.758025,19.654125
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,31.551725,11.080025,15.551024999999996,29.298525
GalNAc(b1-4)GlcNAc(b1-Sp0,9.782324999999997,3.7498000000000014,18.081475,4.964099999999995
GalNAc(b1-4)GlcNAc(b1-Sp8,17.350449999999995,14.581525,67.83077500000002,567.8670500000002
Gal(a1-2)Gal(b1-Sp8,6.1960250000000014,2.591225000000001,-0.2642749999999987,21.180625
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,15.377325000000004,1.9808749999999995,16.38375,6.2329000000000025
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,45.634025,21.783725,29.987025,32.49765000000001
