IUPAC,STL (0.1ug/ml),STL (1ug/ml),STL (10ug/ml),STL (100ug/ml)
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,2.0855000000000024,10.473775,40.9132,166.76162499999995
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,16.699100000000005,3.9063500000000007,19.23615,188.80815
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,25.27445,6.822775000000004,694.7546500000003,463.88995000000006
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,21.212950000000006,36.3653,65.54815000000002,454.22892499999983
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,15.838825000000005,9.06845,20.593725000000006,128.62400000000005
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,9.562849999999996,4.91,22.430799999999994,391.83734999999984
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,8.329550000000001,13.773574999999996,7.623150000000002,34.96895
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,3.2538750000000007,5.4013750000000025,5.373049999999997,2.9879250000000006
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,6.068024999999999,6.296350000000001,70.539375,290.079525
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,9.987275,7.642874999999997,3.9361250000000014,6.790675
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,6.145199999999999,7.992350000000003,17.491175000000002,15.6115
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,6.08375,16.451349999999998,11.289399999999993,11.427075
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,5.8185,16.25985,3.409400000000001,27.1847
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,4.6407250000000015,4.177625000000001,12.815225,9.325824999999996
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,2.3008999999999995,6.9692500000000015,8.655924999999996,12.0049
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,7.25515,19.54625,11.029975,23.66542500000001
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,9.68625,15.179924999999995,22.1994,60.68205
