IUPAC,AIA (0.01ug/ml),AIA (0.1 ug/ml),AIA (1 ug/ml),AIA (10 ug/ml)
Gal(a1-Sp8,9.93729920832785,2.5723261164103266,5.259577693044063,497.7492705511568
Glc(a1-Sp8,20.00566071430366,5.8928752930975925,7.768939181713728,31.10865315813805
Man(a1-Sp8,0.6763868536816154,5.65180424193607,13.043170921469473,12.598121467471525
GalNAc(a1-Sp8,4.576751671946668,4.252586137477594,19.018347477983824,376.1780730018735
GalNAc(a1-Sp15,20.868179837414342,10.199827861741912,15.790612557756162,238.3863685437774
Fuc(a1-Sp8,19.78729897905894,11.82864576198392,7.986267375731085,6.633986569866318
Fuc(a1-Sp9,9.927697766812136,15.34194830769004,15.612517018618965,14.128305433508293
Rha(a1-Sp8,15.5849188669688,11.522788691508953,8.234754401265807,5.349070240393802
Neu5Ac(a1-Sp8,6.145858233802619,32.47045156706581,10.459073905784713,17.57419057785215
Neu5Ac(a1-Sp11,12.15418542450844,10.57836283505156,11.933869607235522,14.533299216024554
Neu5Ac(b1-Sp8,3.7413952624655975,4.792839105026023,4.346308650260962,11.889694730136421
Gal(b1-Sp8,16.875538389238624,7.988253169654803,13.411188814941056,27.732785350796146
Glc(b1-Sp8,12.949273158881676,8.126947808782013,3.413490549154442,7.673640751950784
Man(b1-Sp8,12.221914127875669,3.5621365483606406,22.07698874716613,14.35550227157404
GalNAc(b1-Sp8,33.24327854419096,8.7738260595079,5.737648724216218,8.46139634753033
GlcNAc(b1-Sp0,6.991597069339725,7.950651186957373,5.830302888286918,10.524470175856838
GlcNAc(b1-Sp8,4.028612995705427,4.62410171673014,3.248790024378297,40.00731341175844
GlcN[Gc](b1-Sp8,9.205392176101636,20.28031522749749,8.803927689389548,16.011924301386554
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,8.946704736568275,7.9106011323940075,5.1945673649657,5.778763156016453
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,4.310453153575229,4.21004487733408,12.368115752577946,15.638432981173866
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,12.083518877483494,18.68328224347016,3.3833233567997367,15.416038799980367
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,2.355899808282745,14.059180895296386,1.8876410066535567,8.453738676270214
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,4.474380526490047,5.022106930611902,12.692125145505244,9.705936577639836
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,4.2374890697990715,7.185804799510407,23.88490383805915,13.884533598936615
(3S)Gal(b1-4)Glc(b1-Sp8,12.383357345243663,6.916263288016642,6.2652245785765714,10.141342295442618
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,2.780204080039209,5.147505912818362,5.835533169585565,16.11116481863845
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,7.220792858763268,9.71227710696622,10.551667060825034,2.4102439204017028
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,4.980930337798345,7.1027602758833694,7.418729349648317,10.153830676933358
(3S)Gal(b1-3)GalNAc(a1-Sp8,5.953758788922062,4.338524264751007,32.161434091820304,894.5590978764874
(3S)Gal(b1-3)GlcNAc(b1-Sp0,13.313649085399787,7.796173497887702,7.878165245157027,5.819178983542259
(3S)Gal(b1-3)GlcNAc(b1-Sp8,16.91367715686529,8.646920711781368,2.1166852686846607,2.8768486352256333
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,4.2737382538592605,3.772807993170788,4.107752372039969,6.970761665461439
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,3.994691259137978,11.881066157651846,2.2140629581156848,23.235268724272732
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,5.534690414106288,5.862222872696546,21.028156194077024,15.321886931091967
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,11.543380466599315,13.723383022539792,17.508867768338607,17.995069198232233
(3S)Gal(b1-4)GlcNAc(b1-Sp0,3.876944112205728,2.405770021566149,5.225004824559182,16.76505534484851
(3S)Gal(b1-4)GlcNAc(b1-Sp8,1.6525011253147974,2.54476113924929,5.190841044891792,10.655266871169085
(3S)Gal(b1-Sp8,10.47104498796562,8.092741952875638,12.90801126639318,10.66496856832374
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,5.5709316697628495,4.3602443715920165,15.074911197167964,9.199086572906756
(4S)Gal(b1-4)GlcNAc(b1-Sp8,3.423232782400285,3.9091784494954935,8.892361120647315,5.532168372573231
(6P)Man(a1-Sp8,8.42665931132656,14.430125901275664,4.99883757912778,10.958261787649844
(6S)Gal(b1-4)Glc(b1-Sp0,7.797818687887447,7.59603784279454,10.421113341793193,5.187621815035596
(6S)Gal(b1-4)Glc(b1-Sp8,5.7862413098516114,7.253704766703699,1.920515901175164,13.748190132280445
(6S)Gal(b1-4)GlcNAc(b1-Sp8,0.6473160279183593,16.169496374552516,4.4962149881872815,5.468149410601966
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,1.7485467534974946,5.9354692134096325,15.544525105751324,1.9224308628660265
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,5.6837880352807,10.150804264153988,12.746861621852913,8.610251445031496
(6S)GlcNAc(b1-Sp8,7.619180712025408,4.921499186477632,12.936300949137914,11.064582114830817
