IUPAC,UDA 0.1ug/ml,UDA 1ug/ml,UDA 10ug/ml,UDA 100ug/ml
Gal(a1-Sp8,5.82891079097688,22.755741619845466,8.613681261806686,5.99527862571874
Glc(a1-Sp8,7.506219573127341,10.416901768240244,10.729622418022595,8.726507329348133
Man(a1-Sp8,16.821850380853867,3.5300683218128466,31.511547264918107,18.944241180787195
GalNAc(a1-Sp8,3.0343341526601852,16.668532177029473,5.773306433636327,15.40525816358384
GalNAc(a1-Sp15,0.9569610593784184,8.600598920763211,32.5294189493526,11.596472098408501
Fuc(a1-Sp8,4.390150400992355,5.739571113695399,4.402811265827773,6.198837447995124
Fuc(a1-Sp9,3.3952220500530825,4.195943599378651,4.765364943702285,4.3377884096237995
Rha(a1-Sp8,4.186679176766076,12.127770162008359,3.3465517889065053,8.911661989915235
Neu5Ac(a1-Sp8,3.1129102400326265,5.56836875058467,14.273590110964847,13.319034578376913
Neu5Ac(a1-Sp11,5.8850085111804775,4.2868500497645625,2.956343170202,14.59346130666631
Neu5Ac(b1-Sp8,5.842210715702295,9.060010238956693,5.098757901685462,11.538982621097924
Gal(b1-Sp8,9.760582636639407,5.164007376059798,8.237489895340287,21.323600406494066
Glc(b1-Sp8,3.950592160993082,25.57498241465663,32.703493779564376,33.01102142547748
Man(b1-Sp8,18.19014853604374,19.049798730432848,3.99644606817524,9.309284493584773
GalNAc(b1-Sp8,3.969311870148277,3.3923347260161867,6.278099583472693,15.374211803428054
GlcNAc(b1-Sp0,28.83512615605893,8.616561807356815,7.68530382499612,26.749167280559078
GlcNAc(b1-Sp8,2.149975718467632,5.468290611867053,5.808331781946232,2.162414176331624
GlcN[Gc](b1-Sp8,3.861973491191604,6.776008942585603,4.953503057685546,25.104742535276085
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,3.6852709122487415,8.093106586266279,2.2629664314788185,12.515863532699866
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,6.130046260021226,6.216779825802102,4.1613518423504825,8.340960328952878
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,2.8411071515637447,0.9321296275196908,4.728146860733782,5.797567146872902
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,5.9239242063432975,2.9336791610535697,9.606008875698588,11.523819875081935
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,1.9520824419065923,5.4030892024069646,1.4677581916537457,16.858981930981678
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,15.455886612118588,10.074693522881976,7.834138256587843,20.31679067887363
(3S)Gal(b1-4)Glc(b1-Sp8,2.3087032218686674,8.581448719718992,9.192122867071204,8.004829023939235
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,19.349984498421872,4.528623862720317,4.809752448498099,8.558823416607368
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,11.683185071574746,5.2691693317511294,8.546226863749101,20.101768546303735
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,11.281138364950886,8.790419829327455,4.090407416036531,7.740028715009181
