IUPAC,MNA-M (10ug/ml),MNA-M (50ug/ml),MNA-M (100ug/ml)
Gal(a1-Sp8,9.889550711188386,10.809942864326338,10.704722336271352
Glc(a1-Sp8,9.342043095731254,7.691971832317554,8.28576137982099
Man(a1-Sp8,10.323955303847132,19.066874757613014,8.2239838174695
GalNAc(a1-Sp8,2.483694010273139,5.24355997097073,9.60882580009992
GalNAc(a1-Sp15,9.571180954650613,7.400722278433322,8.270493763726165
Fuc(a1-Sp8,9.146908235573367,6.7706384491543075,6.584447385072441
Fuc(a1-Sp9,4.450536451092163,7.377228216783048,7.409146795009542
Rha(a1-Sp8,10.881060033838587,5.3254128159232845,2.565294086454808
Neu5Ac(a1-Sp8,17.11150943690143,4.473847839015833,11.566764079609005
Neu5Ac(a1-Sp11,29.71620142328367,5.787194619733003,7.534187038371601
Neu5Ac(b1-Sp8,1.908089708757611,9.300015527003168,6.871792111960317
Gal(b1-Sp8,14.610857968961527,14.889793478084242,11.063207047988687
Glc(b1-Sp8,4.592845651663027,24.052643315514025,5.841540157855084
Man(b1-Sp8,3.026845201828722,10.689170648332217,39.93381948252006
GalNAc(b1-Sp8,7.2502347568889105,8.27744422673247,5.6472436352466095
GlcNAc(b1-Sp0,7.474411719270399,6.273626790182862,6.751881865759102
GlcNAc(b1-Sp8,6.636128955196693,5.556848369054762,11.795739412318895
GlcN[Gc](b1-Sp8,10.479945638217776,13.908978619222909,16.64827539223908
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,9.868772321275157,8.544885651663222,9.957731721799494
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,22.90317500877335,24.51308117616337,21.04632960827136
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,1.4506153510378434,40.904678106910964,10.72855513054608
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,5.4042825012515125,3.3931699175206003,7.257612600745503
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,8.74148625902179,6.086116752837287,9.882645557533332
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,14.440717727632705,16.93058655077621,9.422307039149123
(3S)Gal(b1-4)Glc(b1-Sp8,6.820003642411063,4.193254186090635,10.87024926159316
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,3.4852357366467888,17.292793042647368,4.4671877932318695
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,6.533173676131692,14.560452835677884,11.021267308254533
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,6.0967951550384285,6.146243791875384,14.437952024785234
(3S)Gal(b1-3)GalNAc(a1-Sp8,11.695575132608914,28.932680298510604,4.617524519606441
(3S)Gal(b1-3)GlcNAc(b1-Sp0,4.517682921863801,1.7757815359253242,5.2430664214754215
(3S)Gal(b1-3)GlcNAc(b1-Sp8,8.136969840180067,8.730414938019843,5.534038641820878
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,12.8178351683634,14.582911443049813,16.947703835524937
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,12.834617846635195,18.28290914615797,7.593527879001081
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,24.30470324278821,9.001917731007836,3.5523830902648994
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,18.167163388629685,16.28597238983598,9.246423460407089
(3S)Gal(b1-4)GlcNAc(b1-Sp0,3.208823089935002,14.990976303318837,2.0902161945597872
(3S)Gal(b1-4)GlcNAc(b1-Sp8,7.786164027084628,14.871248846459839,23.946416138450303
(3S)Gal(b1-Sp8,3.3361648494192635,29.61235894660369,25.44601077279437
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,7.021943250031768,8.227919449046677,2.678821500056848
(4S)Gal(b1-4)GlcNAc(b1-Sp8,3.4683604602895564,5.126543323640863,1.9293191208299385
(6P)Man(a1-Sp8,13.671402438758802,18.30395655962576,2.6974238282417904
(6S)Gal(b1-4)Glc(b1-Sp0,7.428062720970187,2.2422243232632852,6.013718375722326
(6S)Gal(b1-4)Glc(b1-Sp8,5.61183506350641,7.929793598144075,8.235995669974171
(6S)Gal(b1-4)GlcNAc(b1-Sp8,6.1591293748927445,7.546468737319024,9.54617872222526
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,8.286678368321049,6.700201455864352,5.3307560216633565
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,11.922728615827285,10.072959577337077,7.4328949140515395
(6S)GlcNAc(b1-Sp8,18.205565807993075,9.149477854865086,35.53334034184187
"Neu5,9Ac2(a1-Sp8",9.746311555489434,15.135108714371142,22.28619333793536
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",2.3754566457490456,6.724055755953146,14.11626299046009
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,293.8028685323628,1539.7694504974093,1079.0025421521561
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,177.4975625629422,2885.9431429231336,1600.2500219553174
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,29.192666098225725,397.1338704457588,151.40371270210719
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,21.199346610837946,445.8902923122544,1353.6550552888111
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,12.740702712566053,179.32606569919338,907.7356595530496
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,8.379769809686518,304.61196996814897,230.6485317850816
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,12.680163812920554,307.906323473585,10.705741176077737
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,28.321972618563642,111.40329118549562,528.276720706144
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,3.678996804384172,62.82256167197533,92.80080398625341
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,16.766663600008062,29.45304908098093,34.42662583828351
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,5.461131626549574,13.276456098422253,47.23951518530326
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,7.093089402780242,25.028683849585466,3.6044652978400786
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,2.248901327315169,3.1995139624376283,16.494766761486293
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,2.22344054470396,7.101807075843444,12.393482805759914
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,16.840862235051986,6.711070457088049,6.946547608944553
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,17.620506981615673,6.175231289325657,9.048665701407767
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,8.690533530418799,23.74693426676377,4.726890848820897
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,9.210959658426855,7.96165242914434,6.557884117355753
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,9.799207982281017,10.92239989577992,9.535143925849606
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,11.631887358285114,5.166749609038549,7.523990569006583
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.403783781141988,5.5065871853626405,12.212057623342329
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,14.410872849200821,12.403017050265115,8.880283945300755
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,2.335064800492661,5.9851184499556735,11.510229939891186
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,20.061641680497306,6.807897995955389,11.230228471852213
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,7.290817086525122,4.3188367064137445,8.23537539697898
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,4.719426067860384,10.870292293639883,9.969749593102467
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,7.176588552137202,6.877643810383028,16.774266091546295
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,5.625413602275544,8.046980387025101,10.396088800922524
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,13.522227849729495,4.5675328446182695,12.732920474207793
Fuc(a1-2)Gal(b1-Sp8,17.848135591241274,5.982566501859091,21.423406031877068
Fuc(a1-3)GlcNAc(b1-Sp8,6.354835977951487,12.368741399053766,46.60324657564106
Fuc(a1-4)GlcNAc(b1-Sp8,17.566896725256697,4.0675788998698845,19.502192799443485
Fuc(b1-3)GlcNAc(b1-Sp8,10.04734728087468,8.48992361351581,29.502056704957013
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,8.740142113403861,15.372442656991765,12.797502114214835
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,11.122663222148363,23.79763442823669,11.420058156740994
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,9.49805574328241,5.663517315237943,14.7831627367083
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,6.9775040699856765,7.9378737335111795,4.738650226506127
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,8.251191519209003,4.9454976017754415,17.89575445266279
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,9.841857794601925,9.127969058704501,1.3559223711800945
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,15.782624250817733,9.727316138372046,8.721508908249001
