IUPAC,SNA (0.001ug/ml),SNA (0.005ug/ml),SNA (0.1ug/ml),SNA (0.5ug/ml),SNA 0.5ug/ml,SNA (1ug/ml),SNA (5ug/ml),SNA 10ug/ml,SNA 100ug/ml
Gal(a1-Sp8,5.932058779420514,7.731126902496167,10.27078255420848,8.196433816148339,95.37851869791835,6.4352181741699095,10.530364460414779,44.151067743447285,115.43113371303178
Glc(a1-Sp8,14.413086291515329,11.361635792547686,14.655312446203025,5.51475538434541,47.480544440188,12.4097917498979,12.464437140755019,1559.9442862512167,96.6747685783799
Man(a1-Sp8,7.486333441845899,28.60021750970613,12.922604396044445,21.649834554025265,25.209981962888545,16.159261256010467,3.3820002966686213,291.2922030833751,348.4121557554917
GalNAc(a1-Sp8,19.950647166946734,11.721584907731831,6.321363596237235,5.618997352434546,29.198377636137696,8.403043532504554,18.317490619145946,194.42697486431544,183.66080455991641
GalNAc(a1-Sp15,15.20513123880114,4.502279732905696,8.837673324042939,9.806608894473491,94.82969928086864,18.488395262704657,17.270106824124362,416.7450167396206,129.0788767744746
Fuc(a1-Sp8,7.854212946990082,1.8003791274340024,11.067666208788852,3.7795956617959368,112.57945462938237,5.648950224894298,9.13111235698222,561.8431162781793,18.662334031233414
Fuc(a1-Sp9,17.838089714124838,5.954620290721032,4.731077285618992,6.387682340450258,177.412916065044,11.774601582891593,3.3220308180137823,34.302258799336684,23.72532989233244
Rha(a1-Sp8,8.422939214381561,21.56571598090745,5.645406008428444,28.130702084673718,27.021971539763946,19.640852254824203,5.6030597917566505,246.81622416195918,28.357798167934927
Neu5Ac(a1-Sp8,6.41951681742221,6.299466044766543,5.638380656639522,9.138379362702484,117.33004951886794,12.736054563423483,10.589158835494592,82.71133821979416,259.5014189204669
Neu5Ac(a1-Sp11,15.105420658381767,7.759721075904295,5.760645039113817,8.913886455226285,23.304893804718226,12.872773365647873,2.0041761987992315,103.29655428227336,33.95524658854899
Neu5Ac(b1-Sp8,13.735755689046266,15.345336757980688,6.003801793863612,6.6926925878777155,37.865654562974356,16.25536809516065,8.371542894980589,206.21229013650608,76.0067706775028
Gal(b1-Sp8,7.607487072779041,13.98846687560865,6.2914179230520055,3.997888536465221,524.2498003317055,9.655598819812608,18.008710020616753,83.51478450898621,330.67184014335135
Glc(b1-Sp8,9.551574514706985,15.483654570546324,6.436168262444661,8.846619054380792,58.3344098344686,2.088591414286983,6.43313819816321,93.85114040837931,37.05291485983247
Man(b1-Sp8,5.422289920550172,7.452697453718801,8.853460863931504,9.036773945892783,1190.9988662113017,4.622591275464443,3.2556715298076364,30.689681559809326,175.7998515037769
GalNAc(b1-Sp8,25.25291004874487,6.316736043968174,11.96635859019638,9.81432156018269,51.78860242185698,13.592855506079905,14.896215828413153,61.804203761685045,115.92105195552631
GlcNAc(b1-Sp0,31.35195378179539,5.0145138920271375,4.083767620306852,2.9259583626565866,90.37921636825584,14.003992609341806,8.003178156363884,19.738597247524968,159.50845464072862
GlcNAc(b1-Sp8,21.71831805895659,9.961105433760855,6.929762688276801,7.375469898871978,17.688809213172078,6.784071341507741,2.431078861328858,84.39219359528137,34.97796632180274
GlcN[Gc](b1-Sp8,15.931701169758995,8.495521101292134,9.159450512767307,13.343994496151938,28.191726067101673,37.62558101587935,13.759333705525124,219.3965107980424,118.31995648644116
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,4.940621769490838,2.3000755422376904,2.441040026300265,12.916449716382337,15.60675773361753,11.224055083762435,7.815920075237478,39.892719341211716,27.92151998421952
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,27.362473428828288,8.44488380396675,15.201373154312947,6.87825058499616,102.6021685445129,28.315336474235398,4.390015851433036,87.21071866115946,120.41059460937186
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,18.204077303427585,7.249598420314975,6.117060331836959,6.348931480440882,24.412606979369613,15.885726237726749,7.916458174535296,169.5444863041557,54.25013153022452
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,10.55553221660724,8.198835418267237,8.937512015096821,2.711605485685554,1137.5750581817606,21.492919743022327,2.9968285685315137,156.94992918298016,561.2557212776982
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,39.66989397190897,10.5602866635649,10.46212632160247,18.796788275017448,112.91609550196628,10.323935875551534,7.288527356686448,90.04452500037125,41.37514929177497
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,53.55211407386253,4.064541681009904,7.289771363126983,7.203482975327518,507.8314625524784,57.6313066248069,7.865351408339418,307.0247680798475,129.32511876665734
(3S)Gal(b1-4)Glc(b1-Sp8,6.4333510108781375,4.2822611674986115,4.572782292725809,2.9885732632813444,30.57227372390162,2.685775624005104,5.667391305456753,399.70631972389054,37.22453154013493
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,8.734921069858995,5.470900056968079,5.267517512073408,6.3222901507286124,36.038144301593796,14.784514640071881,7.11086059418971,534.3487682884044,24.864922946928
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,15.458243275245293,5.309451999971375,8.32447831253306,9.782283177595438,122.52549775657585,6.183455019310268,7.065828628629959,587.9534399192435,35.63710551773949
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,4.493001714518559,9.434365625908995,5.050999344024242,7.472554094094383,68.74565519032218,9.570334614273774,4.475697108738107,47.68850911539543,259.43769657899713
