IUPAC,EEL (0.1ug/ml),EEL (1ug/ml),EEL (10ug/ml),EEL (100ug/ml)
Gal(a1-Sp8,24.684125,8.524775000000002,6.641749999999997,4.4266999999999985
Glc(a1-Sp8,11.952924999999995,17.139075000000005,6.032824999999999,15.780575
Man(a1-Sp8,29.737225,23.546825,17.569924999999998,41.90780000000001
GalNAc(a1-Sp8,0.017175000000000832,17.975775,21.74015,5.1054
GalNAc(a1-Sp15,12.863100000000005,13.795975000000006,15.010474999999998,10.42925
Fuc(a1-Sp8,4.445375,23.58805000000001,5.828899999999997,0.12052500000000065
Fuc(a1-Sp9,6.98475,5.4004499999999975,16.715775,9.565425
Rha(a1-Sp8,11.668724999999995,6.077025,4.2372250000000005,29.868500000000004
Neu5Ac(a1-Sp8,55.360775,6.886799999999997,19.153900000000007,2.269375
Neu5Ac(a1-Sp11,20.58115,20.7101,15.003350000000005,23.9465
Neu5Ac(b1-Sp8,2.895275,9.193924999999997,6.181025,1.2548250000000003
Gal(b1-Sp8,18.832725,7.2889,20.931275000000007,11.3125
Glc(b1-Sp8,9.306925,14.40855,7.245975,14.942124999999995
Man(b1-Sp8,6.612649999999999,4.175550000000002,15.342175,5.814599999999999
GalNAc(b1-Sp8,15.353575,22.80460000000001,13.1898,22.692625
GlcNAc(b1-Sp0,26.913125,8.326349999999998,18.334174999999995,19.768825
GlcNAc(b1-Sp8,5.704375,2.1421749999999977,0.4441999999999986,2.804050000000002
GlcN[Gc](b1-Sp8,13.98985,17.1126,18.1836,1.2075499999999977
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,7.357474999999999,15.66445,4.9871,12.211125000000004
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,-1.3355750000000022,7.5569000000000015,10.008425,3.2768999999999977
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,16.0325,2.4125,9.797350000000002,-3.296499999999998
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,4.263624999999998,15.550550000000005,4.565974999999998,4.924500000000002
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,3.7775,3.6163749999999983,6.3019,-7.796075
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,63.395100000000006,33.321325,11.591075000000005,34.898
(3S)Gal(b1-4)Glc(b1-Sp8,11.990475000000005,2.8873750000000005,-1.1305250000000004,7.120625
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,7.47175,10.7107,17.24385,6.985649999999996
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,18.336875,7.513549999999999,13.698150000000005,17.54977499999999
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,14.765549999999998,10.966074999999998,7.404349999999999,6.9799250000000015
(3S)Gal(b1-3)GalNAc(a1-Sp8,11.998449999999998,13.211625000000002,9.0762,10.571
(3S)Gal(b1-3)GlcNAc(b1-Sp0,17.320324999999997,5.598050000000002,0.5401500000000006,7.371174999999999
(3S)Gal(b1-3)GlcNAc(b1-Sp8,13.5715,5.147375000000002,2.3475,-1.1164000000000005
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,20.004375,10.851275,19.091075,11.357850000000004
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,10.093250000000003,4.984725000000003,10.939025000000004,4.788725
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,2.7792999999999988,4.365750000000002,14.8531,11.040925
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,4.425424999999999,2.9482750000000006,2.104075000000001,5.784125
(3S)Gal(b1-4)GlcNAc(b1-Sp0,2.6472999999999978,5.252474999999999,1.2072999999999992,-4.480775000000003
(3S)Gal(b1-4)GlcNAc(b1-Sp8,5.2004500000000045,12.51325,8.349875000000004,-0.5921249999999993
(3S)Gal(b1-Sp8,6.209375,10.196900000000003,8.763724999999999,9.856275
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,2.6859,8.196850000000001,5.359625000000001,-0.41612500000000097
(4S)Gal(b1-4)GlcNAc(b1-Sp8,10.9064,5.5639,8.694425,6.505424999999999
(6P)Man(a1-Sp8,2.297975000000002,3.0797999999999988,3.669900000000002,0.3479499999999991
(6S)Gal(b1-4)Glc(b1-Sp0,5.164724999999997,12.009375,1.3926749999999988,0.8132750000000009
(6S)Gal(b1-4)Glc(b1-Sp8,7.743324999999999,2.8317750000000004,8.046075000000002,6.117824999999997
(6S)Gal(b1-4)GlcNAc(b1-Sp8,-4.580449999999996,3.1480249999999987,3.618999999999998,-1.4100500000000036
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,23.5852,6.496824999999999,9.524325000000003,15.007075
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,1.2605000000000022,7.1275,-1.2897499999999995,4.302449999999997
(6S)GlcNAc(b1-Sp8,10.646349999999996,15.049300000000002,15.007825,3.716275000000003
"Neu5,9Ac2(a1-Sp8",2.5399500000000046,2.132925,1.435625,-1.2149750000000008
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",10.293725000000004,6.302025,3.71025,7.2580750000000025
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,5.6774,6.481225,13.296875,3.5718499999999995
