IUPAC,GSL-1 (0.1ug/ml),GSL-1 (1ug/ml),GSL-1 (10ug/ml),GSL-1 (100ug/ml)
Gal(a1-Sp8,8.070300420833169,5.183439548134686,36.154887538937494,111.71979750111036
Glc(a1-Sp8,2.0751013941090517,7.6934218573943625,3.2868065195059315,5.361302902902115
Man(a1-Sp8,8.678308077999239,7.858200999115497,16.717094239804357,7.850858871486609
GalNAc(a1-Sp8,34.66707164379211,124.01458609750902,432.45153773220346,2527.443121125204
GalNAc(a1-Sp15,19.96795144448129,71.87640697582114,354.06266126519586,321.4205702229053
Fuc(a1-Sp8,4.8647429026790965,6.094934658933322,5.192850998167256,5.9427256700944895
Fuc(a1-Sp9,9.49094113224992,12.83732413689992,11.152309608776116,9.041829364081511
Rha(a1-Sp8,4.556365122551092,6.695433387516205,10.305983502921977,6.03147577021301
Neu5Ac(a1-Sp8,8.273881233284657,15.700398515748994,10.0940810785331,3.109992489808725
Neu5Ac(a1-Sp11,12.546976401873355,1.42617101913948,8.225024556954224,20.553157490983395
Neu5Ac(b1-Sp8,2.192776721229646,5.426879924044759,8.25049850413093,3.000803646108831
Gal(b1-Sp8,3.8778205015833436,11.329386867787676,7.67807613983911,36.078035625975645
Glc(b1-Sp8,9.565979033141364,4.751120639736827,7.002559321181552,7.179941599286622
Man(b1-Sp8,11.555277869729776,1.5734353717794267,7.42319053237892,3.918773988018025
GalNAc(b1-Sp8,4.230138809779178,18.77391806121372,44.01097001839453,304.53481365664084
GlcNAc(b1-Sp0,8.73349546912155,5.383525613310163,5.8940282323155895,8.136418380344026
GlcNAc(b1-Sp8,5.588363529916428,4.715859086370173,4.841960436555283,4.5330977939116535
GlcN[Gc](b1-Sp8,3.7567049844245184,10.814968156063461,11.17502037294936,8.444130978920604
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,13.434716717271467,7.3354402560446275,3.781313988990244,20.12096486180521
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,8.453510110007558,6.195559187568677,6.808084040070804,9.542857984683275
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,4.870433493711484,6.470645590408014,4.816561973285512,2.952963667233305
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,5.815679039745342,4.01901512593571,7.629726192717094,17.905591722210684
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,16.125492458113232,4.617733715796095,6.220202611383865,7.165767727361808
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,12.348053363182357,26.087323982412077,4.441313428386552,26.84604674017823
(3S)Gal(b1-4)Glc(b1-Sp8,7.118737791853743,3.6061451952419583,5.633831095858897,10.810213393939087
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,4.3751142273659545,5.586658400376742,13.628114528674415,26.00859677625844
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,12.794250152151685,4.22411479277019,2.068078479329713,17.69277460215045
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,7.404784463383566,18.088314622982434,3.109808415320789,4.221149220295344
(3S)Gal(b1-3)GalNAc(a1-Sp8,5.551694884972816,10.532730028186744,5.287916441835418,9.782215499909347
(3S)Gal(b1-3)GlcNAc(b1-Sp0,1.818106339711734,3.1667331815821376,2.6653244517944397,2.685815635736496
(3S)Gal(b1-3)GlcNAc(b1-Sp8,8.515760867307554,13.430351960764101,3.4191230477760386,3.7053123173582367
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,11.350390468870811,2.78138756259054,8.067205538061696,10.696350286078896
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,7.220368283024074,5.929725577897044,11.933542134393008,5.970004832144897
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,7.9314003931630275,1.7496803105614878,3.914371737158683,4.557223743684307
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,3.081731345093752,11.398439060495658,6.651390770107156,10.29319183129476
(3S)Gal(b1-4)GlcNAc(b1-Sp0,11.970150360932536,5.309365094732767,1.6225646047743896,13.18020023760388
(3S)Gal(b1-4)GlcNAc(b1-Sp8,6.411160295661516,5.0580117090776575,5.970557122524937,3.415135074439461
(3S)Gal(b1-Sp8,7.059288836880103,3.0590020370212234,6.272503955890876,3.333386592616192
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,2.763058459238,6.0804753895837225,4.375427330273009,7.1401126538148345
(4S)Gal(b1-4)GlcNAc(b1-Sp8,12.62585853938918,3.0059439741674034,2.173454009175258,3.2276205327351217
(6P)Man(a1-Sp8,2.3996990436302696,8.176454891536633,8.347070896228606,5.700438546506757
(6S)Gal(b1-4)Glc(b1-Sp0,7.082510701427378,5.6024274146718405,4.686023879136054,5.344254980428363
(6S)Gal(b1-4)Glc(b1-Sp8,9.411630307762838,12.232759891101162,9.04844932166096,4.365481821822954
(6S)Gal(b1-4)GlcNAc(b1-Sp8,2.55940195407052,11.885432262508028,3.077432768829674,4.126498295164974
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,6.586341666661396,7.1291214563928085,18.05427827783025,11.711347586706946
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,3.792758898216445,5.490910345516509,3.6103064499429984,7.468091127088642
(6S)GlcNAc(b1-Sp8,3.3576275467210466,5.593689788204799,2.757710343140996,9.764938187677721
