IUPAC,PSA 0.1ug/ml,PSA 1ug/ml,PSA 10ug/ml,PSA 100ug/ml
Gal(a1-Sp8,13.7077,11.459000000000005,10.9285,26.946974999999995
Glc(a1-Sp8,6.034250000000001,21.256900000000005,13.672575000000002,33.936875
Man(a1-Sp8,11.173925,9.158675000000006,8.4907,19.424475
GalNAc(a1-Sp8,8.711850000000002,7.6375,-0.8468000000000018,36.76990000000001
GalNAc(a1-Sp15,12.326600000000004,11.906175,3.8777750000000015,42.753450000000015
Fuc(a1-Sp8,14.675575,9.988675,6.902675,-0.7939749999999979
Fuc(a1-Sp9,3.6655,9.418400000000004,15.828975000000002,7.145225000000003
Rha(a1-Sp8,5.181750000000001,-0.9984749999999992,4.448749999999991,14.188099999999995
Neu5Ac(a1-Sp8,2.8889749999999985,4.882325,4.297875000000001,35.24335
Neu5Ac(a1-Sp11,15.093424999999993,4.135725000000001,14.85415,2.3360000000000003
Neu5Ac(b1-Sp8,7.33625,3.7689749999999975,8.252824999999998,9.141850000000002
Gal(b1-Sp8,7.720399999999994,5.507300000000001,13.412925,16.958350000000006
Glc(b1-Sp8,7.614975000000002,25.474300000000003,23.97005000000001,16.563650000000006
Man(b1-Sp8,6.618375000000002,17.548375000000004,-3.895375,30.504875
GalNAc(b1-Sp8,6.301100000000003,16.906975000000006,6.131000000000002,17.014424999999996
GlcNAc(b1-Sp0,12.3121,6.512624999999997,23.213775000000005,17.824424999999994
GlcNAc(b1-Sp8,2.5377250000000022,21.1319,6.631049999999997,12.817374999999993
GlcN[Gc](b1-Sp8,2.555424999999998,15.0699,5.045275000000002,6.043249999999998
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,6.804075,7.888425000000002,19.225900000000006,7.360649999999996
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,3.9051500000000017,10.1439,9.52995,13.548499999999995
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,13.038624999999998,9.138675,8.074825,4.691574999999997
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,3.5030250000000014,10.907874999999995,13.267699999999998,11.2826
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,4.628350000000001,17.8753,1.39095,4.771899999999999
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,18.7436,43.556975,23.78145,121.282275
(3S)Gal(b1-4)Glc(b1-Sp8,1.2827749999999971,10.230325000000004,6.991624999999999,10.579450000000003
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,3.7936000000000014,5.346125000000002,18.674525000000006,17.857
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,4.730425000000002,2.0042500000000008,15.060999999999998,15.981999999999998
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,1.9200499999999976,18.083,22.0665,12.559450000000002
(3S)Gal(b1-3)GalNAc(a1-Sp8,10.852050000000002,11.6016,3.736650000000002,6.750750000000003
(3S)Gal(b1-3)GlcNAc(b1-Sp0,16.16185,3.957725,4.732149999999999,7.532100000000002
(3S)Gal(b1-3)GlcNAc(b1-Sp8,1.9743250000000003,11.859549999999995,6.609149999999998,5.49295
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,4.6387750000000025,15.093675,12.212625,33.044675
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,7.857800000000001,6.2453,-0.7095750000000011,2.2518000000000007
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,-3.0374000000000017,15.568875000000006,1.0540500000000022,14.748649999999992
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,2.2857000000000003,8.515775000000001,6.523850000000001,3.6823249999999987
(3S)Gal(b1-4)GlcNAc(b1-Sp0,-1.3077749999999997,1.712299999999999,23.72877499999999,8.18635
(3S)Gal(b1-4)GlcNAc(b1-Sp8,9.57435,19.65495,16.694400000000005,6.908650000000002
(3S)Gal(b1-Sp8,5.956599999999999,14.175524999999995,5.39125,-3.4025499999999984
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,9.27945,8.231550000000002,16.956649999999996,19.526325
(4S)Gal(b1-4)GlcNAc(b1-Sp8,14.60005,0.26195000000000057,14.553024999999995,4.318299999999997
(6P)Man(a1-Sp8,0.3822249999999992,5.853299999999997,9.78205,9.248175
(6S)Gal(b1-4)Glc(b1-Sp0,0.24642499999999945,1.8226999999999967,5.716699999999998,18.214
(6S)Gal(b1-4)Glc(b1-Sp8,9.628525,6.424750000000001,35.910875,27.21515
(6S)Gal(b1-4)GlcNAc(b1-Sp8,3.93405,17.408699999999996,19.03135,13.417375000000005
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,7.74295,30.181349999999995,10.601475,15.109574999999992
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,6.935900000000002,7.46125,11.040925,3.039575000000001
(6S)GlcNAc(b1-Sp8,5.051500000000001,29.096,3.90175,7.890574999999997
"Neu5,9Ac2(a1-Sp8",13.236374999999995,8.360925,10.299900000000003,-1.7136499999999997
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",9.238499999999998,7.42375,2.449225,4.391750000000002
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,2.6529000000000025,14.88505,10.068150000000003,100.96055
