IUPAC,CTB 0.001ug/ml,CTB 0.01ug/ml,CTB 0.1ug/ml,CTB 1ug/ml,CTB 10ug/ml
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,32.83200825,32.9425207,75.80932018,112.216648,29.87716505
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,65.2287815,65.67028618,28.71399906,23.96722635,11.56878182
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,47.85503759,218.1839283,16.20955354,10.98101276,40.97080188
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,79.30033389,29.48192833,24.93596037,25.29468829,14.28783735
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,57.137929,90.79873057,64.58525259,64.95859987,83.48914836
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,68.72116387,93.24785331,35.64836961,45.77511979,84.49994392
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,42.92950897,35.64614306,10.83690793,29.25326109,43.54574912
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,56.54730857,52.47078174,17.17399773,32.14687973,23.88143602
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,28.70058333,53.9499112,63.55134466,79.38917439,29.16405559
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,54.10942718,28.16732025,24.71403491,42.72296028,48.00978225
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,91.26962684,54.3567471,891.6655411,3580.133562,4955.012299
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,23.41865856,121.5708372,537.6291627,314.5689048,5528.520449
