IUPAC,PNA 0.1ug/ml,PNA 1ug/ml,PNA 10ug/ml,PNA 100ug/ml
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,15.966575,12.009275,13.300525,29.287425
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,5.6811,19.788325,7.66635,-2.880275
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,7.602,16.996075,5.181625,-6.09155
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,10.436525,16.472725,9.886175,1.140275
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,5.991575,20.78835,3.477675,3.959625
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,6.8953,19.14325,15.076575,8.274925
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,21.5174,24.665975,16.673725,67.166575
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,3.611775,16.9453,12.319825,1.44125
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,28.922325,29.317025,1.820225,10.010625
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,-11.9553,7.065575,4.816375,-10.222375
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,13.7234,17.90185,7.63005,2.690875
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,3.9913,23.01655,5.24045,-5.363225
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,12.84735,14.629225,8.81365,1.35035
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,4.0107,22.328475,8.086925,-4.156475
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,2.93315,16.5061,2.6583,1.20195
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,-0.30825,8.560775,3.77075,-1.392825
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,7.865525,8.953225,3.177875,8.607425
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,8.917175,20.660575,7.25935,0.347175
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,10.3333,12.971325,3.745225,-3.39685
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,-1.499525,7.5768,9.212175,4.6036
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,3.796175,9.8059,3.644175,10.539675
Fuc(a1-2)Gal(b1-Sp8,9.185775,5.293875,12.8833,11.637425
Fuc(a1-3)GlcNAc(b1-Sp8,15.335925,33.65955,13.928525,-7.147825
Fuc(a1-4)GlcNAc(b1-Sp8,4.82935,7.865875,0.23505,-1.7948
Fuc(b1-3)GlcNAc(b1-Sp8,3.202425,18.7587,9.3597,0.916725
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,11.631075,12.099125,8.048625,-3.861925
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,12.336,18.722425,11.32665,10.025025
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,1.19145,9.50845,8.4707,29.461075
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,-0.7605,5.061575,5.313375,57.4191
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,9.888125,5.53175,3.790775,51.956025
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,13.369525,16.4398,11.747725,11.980175
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,5.873625,25.92985,15.51045,8.903225
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,5.745675,11.0145,9.064375,11.750575
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,-5.139175,15.485175,7.4292,1.819425
GalNAc(a1-3)GalNAc(b1-Sp8,1.456925,37.477425,1.89185,15.557175
GalNAc(a1-3)Gal(b1-Sp8,-3.0217,4.2633,2.832625,147.3032
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,20.2026,21.5081,7.358975,373.633275
GalNAc(b1-3)GalNAc(a1-Sp8,5.147125,9.9245,1.241575,-1.4465
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,6.790175,20.994875,4.66385,-1.890925
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,-4.5469,33.729375,16.612575,18.139925
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,11.503625,17.4633,7.10545,28.894875
GalNAc(b1-4)GlcNAc(b1-Sp0,16.206775,18.340625,5.221075,354.62115
GalNAc(b1-4)GlcNAc(b1-Sp8,18.921975,17.952575,8.417375,490.7142
Gal(a1-2)Gal(b1-Sp8,7.937975,8.1194,3.134075,15.32735
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,7.348975,3.310975,11.405225,14.573025
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,45.79435,26.719025,11.830475,54.334375
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,23.88055,22.3685,22.373475,10.450675
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,-3.19405,10.6903,11.820325,5.319675
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,6.66135,14.632925,6.313875,5.459825
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,16.29195,12.193225,10.091925,4.3106
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,4.208975,11.61605,5.4779,11.895825
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,-0.50615,18.093325,5.5126,-2.9914
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,12.6832,15.401975,12.4342,81.3659
Gal(a1-3)GalNAc(a1-Sp8,54.169625,46.874325,32.8422,120.278725
Gal(a1-3)GalNAc(a1-Sp16,6.333825,17.9249,3.94475,27.7467
Gal(a1-3)GalNAc(b1-Sp8,13.975225,20.092975,7.6454,26.3346
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,10.6637,15.33485,10.39,6.433725
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,14.136825,8.640825,8.154175,43.846225
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,6.355925,6.665625,4.155425,35.454875
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,7.427375,22.966975,13.3022,15.830775
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,5.9805,12.472075,12.667675,5.584325
Gal(a1-3)Gal(b1-Sp8,26.160875,14.966425,7.432275,-9.63605
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,13.155525,5.90395,14.281325,26.029625
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,5.58215,23.25425,4.49355,6.973875
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,6.825425,12.901525,7.70425,32.0684
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,13.082825,17.37285,13.8796,10.07525
Gal(a1-4)GlcNAc(b1-Sp8,2.23785,9.49055,4.48715,2.456425
Gal(a1-6)Glc(b1-Sp8,18.557225,12.66215,8.18675,-0.933475
Gal(b1-2)Gal(b1-Sp8,8.849625,18.218325,4.2949,64.178475
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,11.152525,7.187975,2.513275,9.09
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,2.358675,5.45355,3.00605,3.427925
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,3.91565,25.07205,2.429675,10.620875
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,-1.29715,3.035875,4.0064,5.9928
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,12.81285,13.985825,3.301725,-4.06965
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,19.7081,13.805175,0.962,240.1818
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,16.69035,7.04275,7.62645,9.535675
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,628.226275,5664.4144,29108.47135,37644.73755
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,84.62145,1487.09525,13114.30838,33017.56985
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,3.612975,1433.120775,12579.87453,8877.535975
