IUPAC,VVL (0.1ug/ml),VVL (1ug/ml),VVL (10ug/ml),VVL (100ug/ml)
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,4.484684615,5.534748844,8.323456672999999,6.002308692000001
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,1.7762168809999999,6.439631335,16.23838161,4.194154332
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,6.425074034,8.101955957000001,12.55794381,7.930127781
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,17.11495022,10.8778968,9.321760102,11.85455692
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,10.23546822,2.425746374,2.977419072,4.620301703
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,4.208345857,3.9905157719999997,5.360093904,8.67527414
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,4.91009666,4.512379657,4.577941303,5.408298768
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,2.134218149,9.201818807999999,3.207799222,3.061451646
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,10.71353363,1.109196305,4.429055694,9.30981662
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,4.085964582,3.0528286560000004,1.9711321569999998,3.3347484830000003
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,5.3268797569999995,2.7268942889999996,1.82048019,2.8977725860000003
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,4.341745751,5.790825104,7.049873444,4.551878416
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,10.46993149,5.553862632,5.027642975,5.437948498
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,5.105762734,7.768967002,8.822076049,12.34818024
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.813129428,12.95262269,9.998213525,6.16140199
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,9.457716669,1.755326641,5.3180824719999995,2.146321105
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1.726247818,6.075045677,5.888358147999999,11.67788355
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,8.363950629,10.96651197,16.96559205,0.703394187
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,14.28571733,5.253540007,4.643602738,6.352535569
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,11.90269357,9.683347617,4.918967694,6.220548867000001
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,11.17875471,8.584089099,1.8718454880000002,6.742747686
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,9.982841199,3.6455358939999996,10.85330458,5.466555975
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,11.13346711,5.30185028,4.145095184,13.59426492
Fuc(a1-2)Gal(b1-Sp8,3.256083794,13.03879843,14.69265968,14.41797824
