IUPAC,HHL (0.1ug/ml),HHL (1ug/ml),HHL (10ug/ml),HHL (100ug/ml)
Gal(a1-Sp8,25.366825,283.74955,8.874025,38.385775
Glc(a1-Sp8,18.33275,22.325325,14.429375,6.711649999999999
Man(a1-Sp8,28.15472500000001,19.479975,24.127675000000004,50.12089999999999
GalNAc(a1-Sp8,34.73245,93.610975,298.496775,476.529375
GalNAc(a1-Sp15,22.0317,128.26985000000002,54.34199999999999,20.482599999999987
Fuc(a1-Sp8,11.527875000000002,22.277025,12.001649999999998,12.826075
Fuc(a1-Sp9,0.7270750000000019,20.0884,14.569574999999995,0.22429999999999686
Rha(a1-Sp8,2.2392000000000003,6.309674999999999,18.410825,6.911325
Neu5Ac(a1-Sp8,18.48715,29.853600000000004,8.592549999999997,13.915824999999998
Neu5Ac(a1-Sp11,32.78102499999999,20.417749999999987,0.8520999999999983,4.592650000000003
Neu5Ac(b1-Sp8,-1.1762999999999997,7.971649999999999,19.212349999999994,14.607425
Gal(b1-Sp8,28.516074999999994,8.031875,20.904500000000006,10.677549999999997
Glc(b1-Sp8,9.538175,13.690224999999998,18.01395,18.623175000000003
Man(b1-Sp8,9.087975,15.36985,11.3991,12.229149999999995
GalNAc(b1-Sp8,9.604074999999998,18.358325,11.441724999999998,16.906174999999998
GlcNAc(b1-Sp0,27.044425,36.75367499999999,25.115225,23.2714
GlcNAc(b1-Sp8,11.239824999999998,15.681325,12.075300000000004,18.529
GlcN[Gc](b1-Sp8,17.87135,5.819625000000002,5.7863500000000005,9.520399999999997
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,7.105400000000002,3.239075,9.66495,8.55045
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,5.259725000000001,6.835824999999998,6.971625,8.490925
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,7.031825000000001,18.648675000000004,8.157625000000001,4.688525
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,-4.944675000000005,1.0884999999999998,8.925,0.12377500000000108
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,-1.367899999999997,15.4101,8.094875,-6.598299999999997
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,20.175349999999995,25.405025,13.534199999999998,47.8627
(3S)Gal(b1-4)Glc(b1-Sp8,16.365300000000005,5.0155499999999975,17.830875,10.6488
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,0.5704750000000005,19.348125,7.782975,3.1513000000000013
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,17.836100000000005,13.20135,21.7356,18.708925000000026
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,1.87575,9.798600000000002,5.79515,-0.9518999999999992
(3S)Gal(b1-3)GalNAc(a1-Sp8,44.222825,941.0695,379.2448999999999,225.985675
(3S)Gal(b1-3)GlcNAc(b1-Sp0,-0.21122500000000066,4.026125,3.0741249999999987,3.8641749999999977
(3S)Gal(b1-3)GlcNAc(b1-Sp8,3.5992,2.0813999999999986,5.850975000000003,-1.957725
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,12.529750000000005,10.346324999999997,11.750600000000002,16.833999999999996
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,5.237174999999999,6.7246500000000005,4.611599999999996,7.959850000000001
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,9.655925000000002,8.128049999999998,4.835125,10.594399999999998
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,3.1623749999999986,24.2309,13.261074999999995,6.8373500000000025
(3S)Gal(b1-4)GlcNAc(b1-Sp0,-1.5856499999999976,7.9098000000000015,12.031199999999995,6.7346749999999975
(3S)Gal(b1-4)GlcNAc(b1-Sp8,4.453850000000001,5.387424999999999,7.347250000000002,9.940374999999998
(3S)Gal(b1-Sp8,5.600824999999999,3.806775,5.574650000000003,5.144050000000002
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,6.6277750000000015,8.794025000000001,12.583,-4.981024999999999
(4S)Gal(b1-4)GlcNAc(b1-Sp8,4.239875000000001,9.955225,17.496024999999996,-1.2086500000000004
(6P)Man(a1-Sp8,1.903125,5.744875,12.810175,16.0905
(6S)Gal(b1-4)Glc(b1-Sp0,13.577999999999996,1.446975,5.508525000000002,-2.140275000000001
(6S)Gal(b1-4)Glc(b1-Sp8,2.585499999999998,10.792125000000002,8.730200000000002,4.842300000000002
(6S)Gal(b1-4)GlcNAc(b1-Sp8,1.4766750000000002,7.9065499999999975,1.1217999999999997,5.7963000000000005
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,11.002274999999996,13.866875,0.974574999999998,9.193825000000004
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,3.12505,-1.7296750000000003,2.110525000000002,2.7744250000000044
(6S)GlcNAc(b1-Sp8,9.143675,15.879024999999995,2.9139000000000017,2.801174999999999
"Neu5,9Ac2(a1-Sp8",6.288000000000002,6.989725,21.396400000000003,-8.7082
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",3.3839500000000005,6.081599999999999,5.611524999999998,-0.6563499999999998
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,1106.718625,2750.02665,3829.025725,6123.2693
