IUPAC,MAA 0.1ug/ml,MAA 1ug/ml,MAA 10ug/ml,MAA 100ug/ml
Gal(a1-Sp8,10.491922802645217,6.956797265025535,14.931210544666722,36.541556881127356
Glc(a1-Sp8,15.769920155024035,8.05318923010215,27.19897782871017,28.18257752311995
Man(a1-Sp8,21.738171319746904,11.517959178459813,6.654666801826612,53.877874206107734
GalNAc(a1-Sp8,12.479910964693088,6.47692767875583,15.70795713587543,21.19825348676552
GalNAc(a1-Sp15,3.0725191958988463,19.65924593202481,39.40882030623563,114.69082917073177
Fuc(a1-Sp8,11.060313235279553,9.07610519271161,14.349083321795629,20.751113426251788
Fuc(a1-Sp9,3.805347368287598,14.409950235051706,9.397007612710198,1495.330945271075
Rha(a1-Sp8,8.730579623131177,5.517441203130308,4.881509617167621,30.98543341457676
Neu5Ac(a1-Sp8,1.7132508835544398,21.18193808544989,8.72814168079323,1058.6705936303745
Neu5Ac(a1-Sp11,5.292169295210297,7.064557722650902,7.1737553071363145,105.10601868387859
Neu5Ac(b1-Sp8,3.3010431365201325,7.677951440054383,10.486348583555335,67.20162811671064
Gal(b1-Sp8,16.808975852502133,6.143605033148966,8.787840673149853,54.374358565350754
Glc(b1-Sp8,11.492057209619462,5.458116403653682,21.161088287132905,18.364386394413874
Man(b1-Sp8,17.227084725778955,3.1564996218121135,28.379155828691697,6.466433854400222
GalNAc(b1-Sp8,6.803630478403917,10.108886892688368,5.45304649867087,7.1430382354662845
GlcNAc(b1-Sp0,10.493903075913492,12.919918930956955,16.568432310546658,8.04184415603784
GlcNAc(b1-Sp8,8.824060344497505,7.578150985728643,8.865154931340259,25.082389700528275
GlcN[Gc](b1-Sp8,5.665989984915841,4.2414847269755285,22.30318494541008,32.93607757383991
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,6.446227546596536,2.0030934033389745,10.277270317996244,138.06113202183002
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,7.750457556546799,2.153494727762301,25.761095024603804,29.35050482647891
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,20.667513937155093,5.2639161220520965,4.771251200681012,44.08474945559404
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,14.910923680979664,12.488080496315984,20.02393696676979,414.8688032654113
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,1.8511994355011585,7.237002910678338,13.851967040189633,1039.415574075946
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,12.519430555307483,11.589248889955424,24.93229683260583,179.2746101534737
(3S)Gal(b1-4)Glc(b1-Sp8,4.754378758576137,32.664604005087185,348.8304774775534,8427.170178896009
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,10.9233085508314,43.07146581612,236.98095930991704,577.4531746644518
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,7.185986479716378,73.61728442245547,240.776661099986,5129.274936315399
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,4.17336493092402,5.457319005626007,16.138478470284415,8.43209656906277
(3S)Gal(b1-3)GalNAc(a1-Sp8,8.198495902908045,8.251299742666811,37.32622463385054,126.93784828618557
(3S)Gal(b1-3)GlcNAc(b1-Sp0,5.460733006581318,8.101461025436507,19.91059429960173,103.36135440593485
(3S)Gal(b1-3)GlcNAc(b1-Sp8,4.73423264206214,13.093183505040574,7.389615354164253,21.3118083913392
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,17.392233804848065,5.306355163622203,27.501588643370525,34.23334099289509
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,3.848422364640696,9.327748783423932,18.33373649659737,448.2126628053176
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,9.633588280248151,51.01764798507797,192.9377809174453,1344.1931642536665
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,6.5513160817121285,10.346630958603203,130.1848390762531,1028.9456219640988
(3S)Gal(b1-4)GlcNAc(b1-Sp0,22.21512532345172,14.536124223779822,195.901252923475,1923.8890386046955
(3S)Gal(b1-4)GlcNAc(b1-Sp8,15.50434426056134,64.25634526667004,91.3408681359922,2903.792745967469
(3S)Gal(b1-Sp8,5.636120109318699,2.06901776212772,3.004301081782648,1.4787208639000569
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,9.611977897221088,3.1989475658670443,7.915879218539151,62.022342918627565
(4S)Gal(b1-4)GlcNAc(b1-Sp8,9.37299494700956,4.308660099826085,9.904874723547328,78.02608810551578
(6P)Man(a1-Sp8,1.788917369761194,3.0040543252688807,7.059306904304888,36.797662024135434
(6S)Gal(b1-4)Glc(b1-Sp0,11.53268274900366,0.994116808612882,11.884064705590706,21.88830085266253
(6S)Gal(b1-4)Glc(b1-Sp8,10.666139230605733,7.817435136709911,20.166680747274693,46.60747606027286
(6S)Gal(b1-4)GlcNAc(b1-Sp8,6.720005685203452,27.03503691463789,24.40583021779823,622.438947309815
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,5.604777605683094,4.6161119558744135,12.702011481913669,259.6431914531555
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,12.210338051285332,9.291138763897562,13.078324056334575,1877.0645350671048
(6S)GlcNAc(b1-Sp8,5.107769675944692,18.253406718085074,3.837595263855565,1968.5999447380289
