IUPAC,GNL (0.1ug/ml),GNL (1ug/ml),GNL (10 ug/ml),GNL (100ug/ml)
Gal(a1-Sp8,9.876160963105386,3.3242520968382268,10.780850541082863,5.515217960259292
Glc(a1-Sp8,6.272034344612626,14.511253900651285,23.253610004380683,18.185499795716353
Man(a1-Sp8,8.379676253243122,9.08546264186182,19.364624229829506,27.80776432521443
GalNAc(a1-Sp8,7.784990207872242,13.370768063453449,11.759245823889673,5.8395515994380975
GalNAc(a1-Sp15,27.963828748268714,6.776450269069098,8.940846960392891,12.78558318458724
Fuc(a1-Sp8,4.379390338372832,19.878734728766485,4.9448669008039685,8.47634359182464
Fuc(a1-Sp9,5.2011901102055464,11.473904880495859,6.736307253174148,2.3460490494659325
Rha(a1-Sp8,7.522806431722586,8.488749294752829,8.480090646675501,2.852846755289648
Neu5Ac(a1-Sp8,5.869007564600112,6.87972506639376,11.779160565026126,47.26785214463068
Neu5Ac(a1-Sp11,9.865531682031463,1.4496923420735517,10.173551464459212,3.6005824874826406
Neu5Ac(b1-Sp8,11.373811012145405,5.4309172057612205,3.67640989859672,11.903644563010946
Gal(b1-Sp8,16.227055031335777,6.8221402482407685,11.803714221803244,12.847559371692604
Glc(b1-Sp8,17.661540025528172,9.117245716040923,5.669106892036285,2.2098309428174234
Man(b1-Sp8,3.7080009208691855,5.145417332847421,5.455609146175448,3.078021572780153
GalNAc(b1-Sp8,4.200233826427601,13.050397611407607,10.481067756356376,12.135044255104036
GlcNAc(b1-Sp0,10.150694149457632,6.511184513332938,10.832565053885762,6.8889719055773035
GlcNAc(b1-Sp8,6.776335995703483,9.443702269237416,5.630591708026782,10.59954238414722
GlcN[Gc](b1-Sp8,10.719800704731712,7.351607350040307,16.79960912055198,7.605652554734098
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,4.420872599008746,18.85137696075985,6.473237100812348,6.211138603280937
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,19.068745825040512,7.156275721060041,19.97104877956672,9.458686800150067
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,20.348101531510665,7.7606081870774375,6.554630426906872,23.877043998856593
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,6.387687173709023,6.1289693997713295,11.584335459396597,12.197170496471706
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,5.88726843585658,2.18188005322627,3.2861648146687346,9.450187346643805
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,2.780063117389012,10.821037604900317,23.39205619385919,12.942912316399276
(3S)Gal(b1-4)Glc(b1-Sp8,13.769667500554734,2.340003201386708,15.776085842396604,3.2199821411254272
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,7.349235427580205,3.6593493542796165,10.462172897475293,5.435227715177471
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,9.21678855856709,5.721934579245612,6.216101357161097,2.5453558808151002
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,6.964450122527023,6.860748469615638,13.044159784714635,1.771590179048189
(3S)Gal(b1-3)GalNAc(a1-Sp8,5.981492447541532,8.146557073594547,7.687392400710403,4.622343532145612
(3S)Gal(b1-3)GlcNAc(b1-Sp0,6.8209015274131275,20.36420468949952,6.074053806904137,2.0840958925075133
(3S)Gal(b1-3)GlcNAc(b1-Sp8,9.963435751118519,6.410181227287308,13.987525660030078,6.78175110934976
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,9.855124185375171,5.437050916550869,5.07344283959785,8.724859928961607
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,25.85164645697961,2.310352511883558,4.909646415900708,8.08162315807701
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,5.1497698106323115,3.0487716794363533,2.5253714794395385,3.823923592659772
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,6.259672669490527,10.258645085000257,9.271526820819034,10.092684028005962
(3S)Gal(b1-4)GlcNAc(b1-Sp0,3.409477702302796,9.434265254203245,9.466919095944924,6.620179098974585
(3S)Gal(b1-4)GlcNAc(b1-Sp8,3.087964184269844,3.876174975840661,6.236418165100857,4.100286536633753
(3S)Gal(b1-Sp8,4.850604570222841,7.356948175874282,3.8386076125769013,5.173584406063812
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,8.309687309199226,5.407047446003536,10.10666743372084,14.744497805509234
(4S)Gal(b1-4)GlcNAc(b1-Sp8,5.518221127244419,4.916530550008482,6.176952682013464,4.505828695145876
(6P)Man(a1-Sp8,9.21169025075384,9.911554838840043,10.984565701625767,0.9554650189829054
(6S)Gal(b1-4)Glc(b1-Sp0,7.920420291194568,8.144860544897828,6.585600028028319,3.8019677247446544
(6S)Gal(b1-4)Glc(b1-Sp8,12.96690916072524,9.127843013686203,14.014402064186216,3.7315885253468175
(6S)Gal(b1-4)GlcNAc(b1-Sp8,10.044387276940618,11.539859417796222,22.489421603722935,7.938960179761156
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,6.156835278709887,4.766388171001881,9.867498996664075,4.430817553134711
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,13.275423774121109,12.389379008516393,9.5610381174065,7.847443261927202
(6S)GlcNAc(b1-Sp8,13.48273633775182,5.167246647474209,4.6570023179258415,7.293041069860133
