IUPAC,LEL (0.1ug/ml),LEL (1ug/ml),LEL (10ug/ml),LEL (100 ug/ml)
Gal(a1-Sp8,1.9152454957959617,3.637194113599108,13.165492843287964,6.807926131294756
Glc(a1-Sp8,6.8703427267131305,16.085834518062768,6.733779263038973,13.110948460065725
Man(a1-Sp8,8.909319320193143,18.62517259776851,29.14466575516006,18.91671169900658
GalNAc(a1-Sp8,3.7475818683518898,2.373585492280964,3.2094884570337348,10.277167159777054
GalNAc(a1-Sp15,24.009400895552016,13.596442093062427,12.606498683714685,25.886402166710358
Fuc(a1-Sp8,2.4886711238128703,16.687756904064926,4.502194026990291,17.571469573217268
Fuc(a1-Sp9,4.62526453324564,3.097603078726084,4.356545286883482,19.722223192885753
Rha(a1-Sp8,10.257146964068518,2.6325347538066786,10.88392155287636,14.630285140847395
Neu5Ac(a1-Sp8,10.440246336972457,16.112590139494436,13.552100682520287,16.27258088503479
Neu5Ac(a1-Sp11,4.868445239413367,9.355160849142749,8.081205123412389,10.662771541325446
Neu5Ac(b1-Sp8,7.212490050541952,6.597635376089921,14.709942025265311,9.347256385521225
Gal(b1-Sp8,6.130875240058848,9.294077927144416,1.9028134106720147,10.903278104733786
Glc(b1-Sp8,6.980405868035186,6.362745258665212,3.7248821273296855,22.836709342981823
Man(b1-Sp8,21.366594151151013,19.98923191262404,6.4474882558378415,21.701019444870948
GalNAc(b1-Sp8,4.578598124972311,9.287514864770516,7.677498879626548,2.6320939704286155
GlcNAc(b1-Sp0,12.052500839901787,10.647610014262982,10.446241877664256,20.983352811752948
GlcNAc(b1-Sp8,5.854311060235863,11.265618442374404,8.658622157710756,9.697153950644491
GlcN[Gc](b1-Sp8,10.257928712301846,12.988930714618766,10.8806425405779,2.4088565807591413
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,8.498932490809258,8.656769466146134,22.17722861518097,230.89865312637752
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,3.842525790305984,13.832980047306027,10.0549203862255,9.649828692563963
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,23.070232813519677,5.11998847329432,4.862178521592286,11.143879504426042
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,4.7978051287368135,3.6325167926888726,19.100456321425053,35.12157219794979
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,15.021479352663643,5.5478893736717385,9.973277334457313,12.69507027077834
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,20.67541602828104,9.675043897015096,19.18352202566482,30.00821632508892
(3S)Gal(b1-4)Glc(b1-Sp8,6.9947589181114775,5.124827242860646,12.761143153436528,6.09486577121816
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,9.209246108848069,6.113257504527898,6.382272765180651,10.594960874357511
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,5.748680682484219,10.210289783840617,20.449907461404322,26.722339498426532
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,7.1177116446696935,8.28004760312403,2.6860081439129444,3.273569884570458
(3S)Gal(b1-3)GalNAc(a1-Sp8,13.317705576005439,6.1477254230053795,2.899048428220313,22.94663623823762
(3S)Gal(b1-3)GlcNAc(b1-Sp0,8.631982379644901,8.446820401537687,12.837190360400784,3.4968706070573234
(3S)Gal(b1-3)GlcNAc(b1-Sp8,11.145818775068367,10.049383452232293,7.441009928934378,3.7530614476717385
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,17.864859574595044,3.180170434111983,10.644954564800496,13.630160568722825
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,25.826916664515647,18.119838640079,9.382969375771543,9.032714821137654
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,9.978733936059557,384.03994690029333,1902.2547762530453,836.6918108038727
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,28.6304183806169,589.338187092377,1802.920186460962,770.5980336669031
(3S)Gal(b1-4)GlcNAc(b1-Sp0,8.139813514397401,428.78969352005964,1786.535734382431,1382.6114365436883
(3S)Gal(b1-4)GlcNAc(b1-Sp8,4.044784892817779,128.8714239582539,3741.6396058950027,4959.697397547559
(3S)Gal(b1-Sp8,17.196301866268612,10.34251083860523,8.75946864536696,4.793984282062959
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,7.7449892405778495,5.022126035438915,12.476283481603534,1.7105850246820962
(4S)Gal(b1-4)GlcNAc(b1-Sp8,9.826742133755936,31.537114135200977,1834.72206363224,2714.6877346577235
(6P)Man(a1-Sp8,2.9698759238953434,26.27187633971292,5.111563026038771,27.8152775079182
(6S)Gal(b1-4)Glc(b1-Sp0,6.662805918680205,6.844527771877322,6.683342286299068,20.96678463353802
(6S)Gal(b1-4)Glc(b1-Sp8,2.669818613064688,6.84413307122726,5.015718725832494,4.685345202775005
(6S)Gal(b1-4)GlcNAc(b1-Sp8,10.853326362763925,5.990807306407041,9.325783417449003,14.732754951100342
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,5.5097263921027295,6.8040718163831855,13.658162512578327,21.475671121275028
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,5.9480612871618375,4.2729263407334015,6.074297886998965,10.418233408908636
(6S)GlcNAc(b1-Sp8,4.3696874597427815,4.5388111999913185,13.940326285636225,12.119571713933071
