IUPAC,LCA (0.1ug/ml),LCA (1ug/ml),LCA (10ug/ml),LCA (100 ug/ml)
Gal(a1-Sp8,11.856650000000002,15.407675,13.96825,-1.212625
Glc(a1-Sp8,15.586200000000002,21.600575,20.0838,8.162675000000002
Man(a1-Sp8,21.889225,16.704649999999994,37.28065,17.781299999999995
GalNAc(a1-Sp8,21.44665,12.940874999999998,13.314925,10.66515
GalNAc(a1-Sp15,13.056149999999995,11.500050000000005,16.941749999999995,13.068475
Fuc(a1-Sp8,9.9168,5.122074999999997,2.8511000000000006,4.679875000000001
Fuc(a1-Sp9,8.995575,-0.4602750000000011,5.659125,15.094624999999995
Rha(a1-Sp8,12.390899999999998,17.925975,10.179750000000002,9.133299999999998
Neu5Ac(a1-Sp8,23.166725,3.3591750000000022,13.668574999999995,12.186825
Neu5Ac(a1-Sp11,9.911850000000015,5.622525000000001,13.915475,-1.8421750000000543
Neu5Ac(b1-Sp8,-2.386075,4.403050000000002,6.598900000000004,2.422974999999997
Gal(b1-Sp8,13.201274999999995,5.060250000000004,18.0346,22.6876
Glc(b1-Sp8,14.788900000000005,12.180950000000005,14.987525000000002,17.244725000000006
Man(b1-Sp8,-7.163725000000001,4.41165,18.178875000000005,5.0972500000000025
GalNAc(b1-Sp8,20.020025000000008,15.085325,19.688900000000004,6.020799999999998
GlcNAc(b1-Sp0,49.84607499999999,15.817375,15.26195,10.118025
GlcNAc(b1-Sp8,21.38775,5.992374999999999,3.8749750000000014,3.657225
GlcN[Gc](b1-Sp8,26.86585000000001,4.1175500000000005,15.363425000000005,15.718950000000007
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,17.4414,7.343399999999999,18.441925,3.338274999999996
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,9.71335,27.07034999999999,1.7214999999999991,5.681700000000002
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,16.479274999999994,1.6288500000000017,4.941124999999998,5.056224999999999
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,2.15475,4.0397250000000025,2.1707999999999963,-3.387974999999998
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,0.15237499999999926,18.326350000000005,15.941925000000007,-6.1699
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,34.55007499999999,21.909025,63.76705000000001,36.92885
(3S)Gal(b1-4)Glc(b1-Sp8,21.182550000000006,7.657475000000002,7.502575000000002,2.4266500000000004
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,3.7947750000000013,7.8646499999999975,17.519625000000005,15.803449999999994
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,8.387899999999995,9.336074999999996,8.032075,5.234975
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,4.53,5.059350000000002,-2.454575,5.395674999999995
(3S)Gal(b1-3)GalNAc(a1-Sp8,8.300875,-0.5868999999999982,-3.7151249999999987,-2.0076
(3S)Gal(b1-3)GlcNAc(b1-Sp0,23.281975,1.9978250000000009,5.779499999999999,3.971375000000002
(3S)Gal(b1-3)GlcNAc(b1-Sp8,11.07885,5.3803,2.7848499999999987,8.707550000000001
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,19.38635,11.64995,22.83342500000001,12.342824999999998
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,6.361525,-0.12197500000000085,5.571425000000001,7.215124999999995
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,10.479699999999994,12.798899999999998,4.396675,1.6936749999999992
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,2.9636250000000017,3.058125,13.881550000000002,1.0707749999999976
(3S)Gal(b1-4)GlcNAc(b1-Sp0,1.9175250000000013,12.832275,4.059549999999998,9.009575
(3S)Gal(b1-4)GlcNAc(b1-Sp8,11.427100000000005,10.7254,20.568700000000007,1.7724499999999983
(3S)Gal(b1-Sp8,-1.8440750000000041,7.86575,-0.5023250000000008,3.7516
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,6.5535,6.78295,5.506574999999998,-0.22269999999999968
(4S)Gal(b1-4)GlcNAc(b1-Sp8,8.502275000000001,7.904074999999999,3.0541750000000008,20.031575
(6P)Man(a1-Sp8,4.923949999999998,10.426975,31.478425,23.148975000000004
(6S)Gal(b1-4)Glc(b1-Sp0,18.79185000000001,7.910375,8.332250000000002,2.8592749999999985
(6S)Gal(b1-4)Glc(b1-Sp8,-2.3782999999999976,13.570375000000002,6.627100000000004,9.162749999999997
(6S)Gal(b1-4)GlcNAc(b1-Sp8,1.0992500000000005,8.169699999999999,19.9062,5.955299999999998
