IUPAC,Gal-3C (0.5ug/ml),Gal-3C (2ug/ml),Gal-3C (5ug/ml),Gal-3C (20ug/ml),Gal-3C (50ug/ml)
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,13.147100000000002,7.585950000000001,15.905400000000002,12.651475000000005,13.944275
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,5.113875,27.814499999999995,46.00364999999999,34.829425,44.90545
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,15.996925,12.804875,68.02035000000001,4.741524999999998,24.0958
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,9.482025,3.4495499999999977,12.37465,13.472749999999998,9.011825000000004
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,4.9761500000000005,13.12245,12.920125,17.279275,12.70785
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,29.15305,36.76805,44.962425,44.5266,56.55907500000001
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,4.142300000000001,13.583475,9.170675000000003,16.523774999999997,12.399475000000002
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,25.01230000000001,17.412375,24.3116,17.31455,23.64962500000001
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,11.071375000000005,13.538424999999998,24.008075,11.7982,15.863025000000002
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,23.39615,19.456700000000005,16.865225,18.12685,17.46495
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,5.150175000000002,19.67885,20.59515,10.516225000000004,19.031375
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,4.023050000000001,20.952050000000007,14.847025000000004,25.18535,16.170550000000002
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,18.795225,1.8090499999999992,16.411225,10.932399999999998,17.359775
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,10.484649999999998,16.005225000000006,61.45840000000001,335.3986250000001,701.7205
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,16.473875,19.268024999999994,41.10640000000001,349.236025,569.43985
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,27.33635,14.816225000000005,32.28975,42.811625,59.3754
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,12.61505,12.210825000000002,7.535800000000004,8.5228,16.008275
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,26.416374999999995,22.023000000000003,35.373825,9.910149999999998,38.60844999999999
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,31.59847500000001,11.464125,23.659375,22.818149999999992,45.55242499999999
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,10.182474999999998,24.71325,20.796500000000005,36.42005,55.9554
