IUPAC,LFA(EY Lab) (1ug/ml),LFA (EY Lab)  (10ug/ml),LFA(EY Lab) (100ug/ml)
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,48.72040000000001,68.01549999999999,48.40735000000002
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,91.77089999999998,120.70384999999996,277.887375
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,20.700775,30.530175000000003,24.97595
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,20.726725,25.73810000000001,25.199075
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,32.39132499999998,4.58959999999999,86.555325
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,19.682825,24.73045,53.352275
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,103.4992,85.15747499999998,281.64947499999994
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,39.23052500000001,29.354474999999994,253.17300000000003
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,68.49464999999998,35.98297500000001,93.1166
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,31.950125,9.590625,25.927875000000004
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,16.289250000000006,39.384025,33.413174999999995
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,21.855149999999995,22.177624999999995,54.69740000000001
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,41.281975,39.978825,49.35965
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,30.226374999999994,37.52542500000001,47.06529999999999
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,60.02327500000001,38.678375,64.570675
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,24.288575,13.487374999999995,72.75112499999999
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,28.429425,16.081525,34.870875
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,30.82200000000001,14.026575,72.527375
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,35.42092500000001,20.1142,65.094625
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,15.094975000000002,32.92960000000001,16.921099999999996
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,15.06225,30.272975,55.1483
Fuc(a1-2)Gal(b1-Sp8,16.647025000000006,35.06357499999999,177.37427499999995
Fuc(a1-3)GlcNAc(b1-Sp8,30.99822499999999,27.084,42.497424999999936
Fuc(a1-4)GlcNAc(b1-Sp8,22.5575,39.73367500000001,59.993125
Fuc(b1-3)GlcNAc(b1-Sp8,31.914650000000016,9.555825000000002,39.832325
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,69.24115,25.955925,130.03225
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,47.56220000000002,117.166775,167.11942499999995
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,28.162225,27.186674999999994,41.86882500000001
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,73.334375,44.839575,87.87247500000002
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,23.6025,9.669775,52.766025
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,81.708775,27.485074999999995,70.82875
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,231.5136,48.827,272.13477500000005
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,47.53852500000001,17.919624999999996,43.567
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,29.85329999999999,49.292575,194.274
GalNAc(a1-3)GalNAc(b1-Sp8,113.97350000000002,394.613975,6220.940525
GalNAc(a1-3)Gal(b1-Sp8,103.859525,242.38565,3984.7739750000014
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,82.98537499999998,253.054525,6739.162075
GalNAc(b1-3)GalNAc(a1-Sp8,79.06494999999998,9.85415,267.94572500000004
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,58.93514999999999,13.6,45.30607499999999
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,11.300375,0.2811749999999975,33.843375
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,15.765625,32.29975,49.49262499999998
GalNAc(b1-4)GlcNAc(b1-Sp0,23.710875,12.820225,45.95319999999998
GalNAc(b1-4)GlcNAc(b1-Sp8,28.405675,32.71425,41.38445
Gal(a1-2)Gal(b1-Sp8,23.330375,16.552874999999997,50.76392500000002
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,18.005775000000003,20.587175,58.13540000000001
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,117.18462499999998,137.91232499999998,85.3127
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,66.70572500000003,82.94052500000002,124.20837500000003
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,15.186150000000005,20.52177500000002,108.368425
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,19.312975,31.0825,55.72087499999999
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,20.270750000000003,39.46740000000001,56.29132500000002
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,20.195875,38.454175000000006,38.904225
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,34.264525000000006,32.52805,53.75450000000001
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,42.72415,40.2055,335.976725
Gal(a1-3)GalNAc(a1-Sp8,79.31155000000003,31.76827500000001,380.7678
Gal(a1-3)GalNAc(a1-Sp16,82.885975,91.32835,95.26434999999998
Gal(a1-3)GalNAc(b1-Sp8,56.381725,88.44227500000002,93.08144999999998
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,47.2537,28.764,114.1059
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,80.53049999999998,18.146125,306.99529999999993
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,31.686275,32.508675000000004,102.86455
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,73.83907499999998,43.56047500000001,69.47699999999998
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,94.998275,42.435075,87.210125
Gal(a1-3)Gal(b1-Sp8,57.54067499999998,29.36647500000001,63.76029999999998
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,11.545925,7.621400000000008,46.13104999999999
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,25.77485,21.51665000000001,54.5899
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,16.85035,12.151775,130.376125
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,25.97200000000001,37.47455,24.925025
Gal(a1-4)GlcNAc(b1-Sp8,18.34355,35.268925,38.03902500000001
Gal(a1-6)Glc(b1-Sp8,22.263875,61.82909999999998,51.3596
Gal(b1-2)Gal(b1-Sp8,36.94602500000001,49.892625,166.08677500000005
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,29.439550000000004,16.728450000000006,73.74404999999999
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,16.979025,5.644225000000006,62.9585
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,31.2342,52.008725,47.121225
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,16.52805,8.522950000000002,36.00527500000001
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,16.106199999999994,19.281175000000005,58.08064999999996
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,17.57979999999999,28.212299999999995,85.973875
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,29.06925,51.929075,42.043225000000035
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,7.623900000000006,35.48417500000001,60.41755
