IUPAC,SJA 1ug/ml,SJA 10ug/ml,SJA 100ug/ml
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,4.657600000000002,2.9285750000000004,74.77652499999998
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,-1.0315250000000002,0.19597500000000068,11.852399999999998
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,12.426449999999996,-5.6634249999999975,22.123125
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,9.799424999999998,6.573149999999997,-3.2204500000000014
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,9.56025,12.881525,14.4394
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,5.274950000000001,0.5993250000000003,-5.59395
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,6.648274999999997,5.777450000000003,150.56154999999995
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,11.696524999999996,-4.940149999999998,-5.491650000000003
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,12.392649999999998,4.4170250000000015,23.146575
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,7.656125000000001,4.881149999999998,15.369175000000002
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,13.890425,8.485775000000002,8.2076
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,-3.854375,4.010774999999999,50.74164999999999
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,4.309624999999997,1.400575,3.1501500000000053
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,-2.2494000000000014,-1.0519500000000015,-0.5677000000000003
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,-0.7727500000000003,9.870525000000004,8.805124999999997
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,4.44125,-3.632075,1.5670250000000028
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-4.1255000000000015,1.036175,-4.6664249999999985
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,4.561625000000001,21.52245,4.068825000000002
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,11.887825000000005,8.213775,1.9530249999999985
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,2.285650000000002,12.839725,3.1555500000000034
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1.8947249999999995,24.95705000000001,608.55135
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,5.002650000000001,40.16855,849.5795249999996
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,3.287274999999997,5.365724999999999,-1.7366999999999972
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,18.415825000000005,43.5459,521.1076499999998
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,5.292200000000001,13.344225,17.462450000000004
Fuc(a1-2)Gal(b1-Sp8,13.479025,53.152075,797.6114
Fuc(a1-3)GlcNAc(b1-Sp8,16.438900000000004,8.729375,-1.2874500000000015
Fuc(a1-4)GlcNAc(b1-Sp8,-5.701574999999997,-2.43245,-3.842599999999999
Fuc(b1-3)GlcNAc(b1-Sp8,16.5912,13.691899999999995,-8.440225000000002
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,3.70645,13.127975,177.677025
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,25.196200000000005,33.6815,430.8294000000001
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,32.6164,9.16125,28.47805
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,12.486325,15.643825,232.7824
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,-4.4342,56.1159,568.915
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,5.255024999999998,11.07755,173.02052499999996
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,23.19842500000001,10.725075,2.4694750000000028
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,-0.048925000000002335,13.776149999999996,138.7906
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,5.821449999999999,0.4707749999999997,445.829125
GalNAc(a1-3)GalNAc(b1-Sp8,7.031925000000002,7.415924999999998,-0.4607250000000001
GalNAc(a1-3)Gal(b1-Sp8,4.757924999999998,45.03845000000001,449.3665
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,2.8238999999999983,12.261975000000005,104.86977499999998
GalNAc(b1-3)GalNAc(a1-Sp8,-1.7451749999999997,0.6764749999999999,3.6320499999999982
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,2.1195500000000003,12.059799999999996,31.194075
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,7.462925000000002,2.550774999999998,105.047775
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-0.15915000000000035,14.12625,1.4190500000000004
GalNAc(b1-4)GlcNAc(b1-Sp0,397.86775000000006,3395.134875,13386.4103
GalNAc(b1-4)GlcNAc(b1-Sp8,172.04510000000005,1987.7749500000007,8212.842174999998
Gal(a1-2)Gal(b1-Sp8,18.8821,3.966925,17.715224999999997
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,3.365350000000001,219.914175,2540.16395
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,82.475925,911.35435,5754.451825000001
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,160.02089999999995,2071.429775,7056.956549999999
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,1128.071075,6995.59215,18992.51435
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,98.90095,1620.957775,8603.584525
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,35.263025,674.873975,4859.392100000001
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,7.060775000000002,86.354475,1033.884125
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,53.68287500000002,1234.9649249999998,6868.634775
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,1.7386250000000008,34.157325,5.420750000000003
Gal(a1-3)GalNAc(a1-Sp8,19.963825,39.428575,16.747974999999997
Gal(a1-3)GalNAc(a1-Sp16,4.44895,-3.4416,-0.11244999999999904
Gal(a1-3)GalNAc(b1-Sp8,1.7393,10.748550000000002,9.009099999999998
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,-1.9004250000000005,12.171149999999995,11.846824999999995
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,2.090250000000002,4.888424999999998,0.8593250000000001
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,9.785574999999998,10.338050000000004,-0.8850249999999988
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,-4.709325,3.7138500000000008,9.751199999999997
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,2.559375,2.9755000000000016,-0.7048500000000022
Gal(a1-3)Gal(b1-Sp8,8.739849999999999,-0.4818000000000025,4.317675000000001
