IUPAC,AOL (Mahal Lab) (0.1ug/ml),AOL (Mahal Lab) (1ug/ml),AOL (Mahal Lab) (10ug/ml),AOL (100ug/ml)
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,7.095475000000002,5.859924999999999,4.529499999999999,8.34915
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,-0.7438250000000011,6.889825,16.643249999999995,56.33315000000001
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,6.177925000000003,13.320524999999995,18.1051,25.579550000000005
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,22.537350000000004,7.215225000000002,16.126975,25.77572500000001
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,1054.1385499999997,3692.58885,5120.312175,6611.564350000002
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,2111.020075000001,9257.253775,13227.439725,16009.49755
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,1955.174275,8749.374075,13685.388225000002,12424.011100000005
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,1381.68555,7372.886725,13368.414975000005,12217.402074999998
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,652.165875,2899.156175,6608.097649999998,8991.702949999999
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,26.48167500000001,38.65,107.977425,736.7631499999999
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,28.741225,262.46005,1755.225875,5103.529125
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,1600.7495999999994,8322.78335,15935.838500000002,15362.027225
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,1899.3265250000006,9664.275675000004,16431.1341,16432.121825000002
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,1903.170625,8333.868625,16704.930299999996,17302.00995
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,2437.5639,8431.477449999997,15962.396399999998,16498.815300000002
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,2026.7216750000007,12665.953975,20619.6551,17184.675525
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,2575.81135,13877.828400000002,21501.239775,18970.225325
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,2972.626775,15019.8921,20214.534,18141.87565
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,1041.9454,7151.946875,13170.312325,15332.068
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,917.090525,5901.3257749999975,19795.372450000006,15884.250775
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1014.12495,6658.9558499999985,20329.378175,21060.74315
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,1376.8361000000002,7876.115825000001,18320.34935,16190.997425
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,1436.0597750000006,8001.0430000000015,17409.173225000002,19935.6161
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,2015.371825,9650.37345,15411.101525000005,14730.70955
Fuc(a1-2)Gal(b1-Sp8,1480.0657749999998,8104.30335,15110.3658,19023.783300000006
Fuc(a1-3)GlcNAc(b1-Sp8,2048.7492,8387.228799999999,18264.448024999994,16495.803575000005
Fuc(a1-4)GlcNAc(b1-Sp8,1302.5555250000002,7657.382374999999,16887.6675,16749.987175
Fuc(b1-3)GlcNAc(b1-Sp8,2155.132575,10104.69505,15906.502399999998,13424.389524999995
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,24.5847,8.462,20.991025,41.649375
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,201.947575,947.69315,2293.9065,5117.600950000002
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,1045.0394,6360.802475,11223.234925,10606.985475
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,9.165350000000002,15.57795,35.6524,198.397025
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,100.431725,554.4922000000001,1238.1101,2766.0071249999987
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,32.209825,334.796025,718.0535499999999,1134.828425
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,28.500475,23.9037,41.69467500000001,55.07147499999999
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,1298.6506,8251.785800000001,20020.099725,17284.0121
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,1927.5459750000007,10766.760175,21892.341725,19320.735475
GalNAc(a1-3)GalNAc(b1-Sp8,8.173050000000002,7.566324999999999,5.156974999999997,7.747875
GalNAc(a1-3)Gal(b1-Sp8,19.821725,13.46225,24.15055000000001,16.808925000000002
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,1721.421275,9668.797025,22621.625275,19169.368375
GalNAc(b1-3)GalNAc(a1-Sp8,7.488425000000002,4.678475000000004,8.473575,14.861125000000005
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,542.212775,2485.92365,6050.06455,12268.61105
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,17.059000000000005,20.497074999999995,29.417050000000003,10.712250000000003
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1414.773875,7778.1697,16461.25705,17555.4822
GalNAc(b1-4)GlcNAc(b1-Sp0,17.3892,23.910825,16.152924999999996,25.250325000000004
GalNAc(b1-4)GlcNAc(b1-Sp8,12.620824999999995,17.548250000000003,18.401875,58.1713
Gal(a1-2)Gal(b1-Sp8,19.903025000000007,34.14435,15.453149999999996,24.473700000000004
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,20.391825,25.825374999999994,29.424375,22.4498
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,36.206150000000015,43.421475,39.56870000000001,74.12867500000002
