IUPAC,NPA 0.1ug/ml,NPA 1ug/ml,NPA 10ug/ml,NPA 100ug/ml
Gal(a1-Sp8,4.5375792388857095,20.410728904018427,9.423025189042699,34.99127504745527
Glc(a1-Sp8,3.3763306309019017,13.201256986868069,9.135832862780859,18.841509919235968
Man(a1-Sp8,20.069954219014388,9.78248827395156,22.368957201815785,3.668598052276318
GalNAc(a1-Sp8,12.274348390715758,6.398879941052186,11.792785430790575,7.833486393681933
GalNAc(a1-Sp15,5.670921520940548,12.016907281375143,7.812465236349326,7.415324548977388
Fuc(a1-Sp8,7.631526468538268,8.756674759671434,34.03155851705885,10.214405255446842
Fuc(a1-Sp9,18.103825792909078,7.188208959353738,9.904796879290364,14.591723061693802
Rha(a1-Sp8,13.103598316588464,7.051097932000848,9.278598241473043,5.00815760734424
Neu5Ac(a1-Sp8,8.639501619644115,20.03951963737321,7.448532006599247,10.293724580377432
Neu5Ac(a1-Sp11,10.599713757888333,11.493028958605006,18.954849077127108,16.987312492833194
Neu5Ac(b1-Sp8,8.761809858081074,10.74400917767664,12.039772851124086,8.830410716193606
Gal(b1-Sp8,8.87570397484991,19.154125430917823,32.882168005724104,12.206133587941215
Glc(b1-Sp8,3.3050134124790813,28.794683466039487,8.08953047380791,4.933141382527013
Man(b1-Sp8,5.9870909899967275,5.289701154996064,17.769260856978086,18.76372636842606
GalNAc(b1-Sp8,19.11014928415004,6.771116985648197,1.6298168987138824,28.11926923991179
GlcNAc(b1-Sp0,5.466324923489858,6.36753678035445,11.587063012795769,17.86678001401391
GlcNAc(b1-Sp8,7.16002432043123,15.308304030901006,19.17363528570329,1.902554750854755
GlcN[Gc](b1-Sp8,16.05314431596398,13.401990379137715,8.411310453985948,11.241369167610321
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,9.08194717718434,8.007831290888523,10.127229300093225,5.841373823211452
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,6.221618973319299,7.3997970838733105,5.2775139477946205,7.931086139573408
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,9.451451587102008,15.897037677294895,6.477845943676024,333.1172638202789
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,14.849963145717455,9.94385486632323,13.670499913897595,14.079278631733954
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,17.142330003896785,11.227524127488362,6.820709145621637,12.574034643495828
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,4.317696063392293,7.045716742816162,22.280609208663158,11.853138691080954
(3S)Gal(b1-4)Glc(b1-Sp8,2.8246241395980385,4.494856795920576,7.275557015560161,6.424653492082921
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,12.160031466619106,4.650086114883594,7.701314231566798,14.124472955683446
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,4.423888314593849,4.2207749528374565,4.506074354320695,2.5006897120261367
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,11.445774121300547,13.708121632661172,17.977714608995775,6.054922241380697
(3S)Gal(b1-3)GalNAc(a1-Sp8,4.176079253318831,8.812334835142535,5.71350464564716,11.993825778673244
(3S)Gal(b1-3)GlcNAc(b1-Sp0,3.1928713131756488,5.287459493619469,15.776609607580458,16.87444584638263
(3S)Gal(b1-3)GlcNAc(b1-Sp8,12.121135378166244,6.273469120762982,18.26504706390505,7.192940995401883
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,7.871669310677798,17.826061421974302,13.346100259126885,7.24943766554803
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,9.883797960635713,9.403425154830558,18.83565111225253,3.5200223597774714
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,2.8541180954018013,145.0706298983217,11.883964064338969,9.33712550717118
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,18.443523413992786,11.583576658499453,2.094879850969961,18.660550937383
(3S)Gal(b1-4)GlcNAc(b1-Sp0,16.28332488127552,9.312158770661057,12.569974194882025,10.331784726593305
(3S)Gal(b1-4)GlcNAc(b1-Sp8,19.354129323910872,17.449681867085715,2.5625108603021927,2.407502652127324
(3S)Gal(b1-Sp8,4.66376058660462,13.721922736628418,13.720431784993734,17.18786987701405
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,19.351209678122625,15.72396409229661,3.6990045949327173,7.100063069848981
(4S)Gal(b1-4)GlcNAc(b1-Sp8,4.815130104853519,13.205586119139126,4.116188355748556,8.584750438034481
(6P)Man(a1-Sp8,12.067253866939511,7.169278397149416,9.924955776559743,20.666609974223324
(6S)Gal(b1-4)Glc(b1-Sp0,6.907691108226158,7.164079405152721,5.0179314877580135,5.6545232613663625
(6S)Gal(b1-4)Glc(b1-Sp8,5.8147819554992735,8.175771239664996,8.849893095540759,4.2032296174092965
(6S)Gal(b1-4)GlcNAc(b1-Sp8,7.343495561152513,8.361726278506529,7.1925266666172325,3.457353474359659
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,14.471574861632481,12.106933689798039,7.047305020124121,70.96823750699441
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,8.642345558691419,12.574240185494313,3.372271954607656,4.783906891513113
(6S)GlcNAc(b1-Sp8,8.666234548329893,17.874530544767694,13.07053581469917,12.90555370564032
