IUPAC,AMA (EY Lab) (0.1ug/ml),AMA(EY Lab) (1ug/ml),AMA(EY Lab) (10ug/ml),AMA (EY Lab) (100ug/ml)
Gal(a1-Sp8,7.75893049261086,8.769633309323707,25.32168377405685,55.8158124651892
Glc(a1-Sp8,9.221654503395797,16.948969953436695,5.806418641684388,25.072195218408776
Man(a1-Sp8,6.4907593212710095,3.439474032464899,4.36149840421844,36.53315683763636
GalNAc(a1-Sp8,19.056271861231586,10.636241519760004,11.36839570945112,6.565653870141188
GalNAc(a1-Sp15,17.630982924953468,30.102743368116265,17.039704499858555,12.381822907357705
Fuc(a1-Sp8,2.4991469202843635,7.511786140459535,4.517819153363709,4.072657954784149
Fuc(a1-Sp9,3.4576626444030096,8.195361347534755,29.906579063588428,5.43582841363669
Rha(a1-Sp8,6.981423453888183,6.9349439730373446,12.924062333621476,13.76545487234259
Neu5Ac(a1-Sp8,4.397822819304986,25.43251111214084,11.79392129880896,8.744964998977059
Neu5Ac(a1-Sp11,7.939021676503981,10.71672604526057,13.127545286502222,12.091600843388505
Neu5Ac(b1-Sp8,11.467674890280357,7.5882496516544125,7.750994068451263,16.567060794540474
Gal(b1-Sp8,30.48083915588057,17.952525498914284,4.827742811432008,9.828992701526687
Glc(b1-Sp8,14.481692032931333,7.64825842005878,5.367145192356318,8.93947063719847
Man(b1-Sp8,5.506061686904715,5.155390218903569,9.931851829677422,6.573222512271537
GalNAc(b1-Sp8,6.4011106954835055,15.666480415284731,19.438633990929862,6.045183964873782
GlcNAc(b1-Sp0,14.325076796158305,12.66876951983368,11.874198046324393,18.91317848670603
GlcNAc(b1-Sp8,27.600094873749967,9.124645809564353,10.236855305341567,11.253444997088675
GlcN[Gc](b1-Sp8,5.174360531183209,10.6913087232496,9.901921570584168,16.913710107680892
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,15.035387996628716,2.9483181662036926,3.630351564587102,30.867106655831872
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,6.465209390976177,6.047771050216203,5.176659667761973,3.5290246046181184
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,3.297198351504896,3.885900881713273,8.551837026189169,12.045401886300848
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,5.7287021755949805,7.797806216921956,12.101800397564805,15.86609629577064
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,4.596516074430727,7.056114616888436,4.135303610276603,9.454813339599387
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,13.286978824492008,9.809172427673658,12.89390474639728,81.3745386218564
(3S)Gal(b1-4)Glc(b1-Sp8,12.411130063340993,5.236199121500246,3.820371009361075,22.54972628146885
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,5.650586232344983,25.920598087283807,4.273410532584017,4.589309087070356
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,5.4769963711113325,12.037166752292654,23.703025221407213,16.860743530164974
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,2.176078305116806,2.7851611006666364,8.25554142435047,9.031631507236108
(3S)Gal(b1-3)GalNAc(a1-Sp8,9.65697340526524,9.681539520611722,12.277083819424165,24.10615049553398
(3S)Gal(b1-3)GlcNAc(b1-Sp0,12.228105836555386,2.174430266184684,4.8769896753359365,3.6109163448031736
(3S)Gal(b1-3)GlcNAc(b1-Sp8,12.404932914100472,13.904452996792074,10.62431751439435,15.658153702437813
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,8.010609396034322,14.074096026625176,13.318807058441855,10.382856538384152
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,13.665610613751356,12.001293976171901,21.41103339931697,29.891073749796117
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,11.529256685891195,6.337086444823687,12.463335619695346,15.774694836007665
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,4.6830562537549465,4.750072584971722,14.625572562353465,8.129930374035604
(3S)Gal(b1-4)GlcNAc(b1-Sp0,11.751201596255328,10.168097475437575,3.5915803842691485,5.692059206180713
(3S)Gal(b1-4)GlcNAc(b1-Sp8,6.097017441886373,7.047651100130197,1.940329643814852,6.404017651118177
(3S)Gal(b1-Sp8,16.01730099787935,8.839219851698822,1.1426304808788301,5.5954558625727735
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,4.790444356128845,1.2094712288158507,9.469552607172103,18.05867420032084
(4S)Gal(b1-4)GlcNAc(b1-Sp8,5.183254629011255,8.069807781684375,14.615146201344226,12.719962247945807
(6P)Man(a1-Sp8,6.880764788585156,10.339582008113283,8.114050478028837,14.194386246300509
(6S)Gal(b1-4)Glc(b1-Sp0,9.372025798219939,3.3441731727239765,9.276104921203007,6.440300719363449
(6S)Gal(b1-4)Glc(b1-Sp8,1.4959241870273932,13.225436949807484,10.267325596603355,13.3395426485818
(6S)Gal(b1-4)GlcNAc(b1-Sp8,5.630240156141952,7.104085976863363,18.713700285797746,3.812654835762957
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,4.4352272478419925,8.439009119756497,16.886350058035053,21.6872570594654
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,13.989795000285024,5.116909963705306,2.8427115060566135,6.062103170448894
(6S)GlcNAc(b1-Sp8,4.938079428954807,7.141781268236466,7.832390261386792,24.314489702147426
