IUPAC,PTL-I (0.1ug/ml),PTL-I (1ug/ml),PTL-I (10ug/ml),PTL-I (100ug/ml)
Gal(a1-Sp8,3.693740909859089,8.53788987918951,7.089439207899313,2.0381515455186348
Glc(a1-Sp8,7.9278461423432445,8.810853906782627,5.998869210317888,15.001482184854266
Man(a1-Sp8,9.893409097432832,3.1864058826782613,7.593281846639173,20.21701214478788
GalNAc(a1-Sp8,4.129642982147483,12.192554383037765,15.519616656562695,196.19130623308072
GalNAc(a1-Sp15,11.00573604535382,14.56387863869031,7.451593522361492,132.82082366463973
Fuc(a1-Sp8,7.442328715473849,13.588763916069286,1.1386124959060209,12.450193558702884
Fuc(a1-Sp9,13.638507958839678,6.535676496481955,7.6381012738769,17.841342682283386
Rha(a1-Sp8,5.111404294320688,10.26870089771178,12.760193612559332,8.737456986780156
Neu5Ac(a1-Sp8,7.897327541379638,17.640983754196746,9.25745923904072,14.0087928298325
Neu5Ac(a1-Sp11,12.834953592696268,8.275090890286343,6.0867905018435895,24.55710812186904
Neu5Ac(b1-Sp8,8.191253732437223,9.733606050003594,15.689190271940957,10.885511909376008
Gal(b1-Sp8,16.718600560129627,12.497353991012124,22.761001294465647,28.93390773335847
Glc(b1-Sp8,13.116119958026207,4.5932083604491565,9.852269370175595,8.192179603082872
Man(b1-Sp8,7.654615364819668,9.27372830617043,14.836787003930464,4.972894846398152
GalNAc(b1-Sp8,3.4586011549709967,6.329494027895647,12.596654069236,3.4936270640267257
GlcNAc(b1-Sp0,16.58577389358624,7.877088740349022,25.905118161797038,7.1159713853181525
GlcNAc(b1-Sp8,3.9815175317752094,6.93471108861069,11.529374685956162,24.53457681348237
GlcN[Gc](b1-Sp8,9.903993885423187,6.6209630102047825,19.326274743381525,13.181553549436678
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,11.750550679968152,12.040873990149832,5.168523427440425,22.985516442969022
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,16.029483578991744,9.630555565966405,16.500414866097554,15.91063824769973
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,14.310124614266414,12.77620268503779,2.288636036303405,14.04949767583643
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,15.925385445963313,15.241041117844725,4.201272831337345,21.633468732248346
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,8.724831661938625,15.434620005040607,19.09484992127021,4.173872483577648
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,49.012188382032406,14.671521446979467,21.504507347220677,25.722236875836877
(3S)Gal(b1-4)Glc(b1-Sp8,4.886677365637446,7.1124975608665935,5.298393459656747,7.5594121402835714
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,11.228404422861393,9.854985356660851,11.574440562002707,4.355152622660503
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,11.029287358778006,3.3964122492222035,8.609048548475034,12.522107727801526
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,2.972312360211584,2.749179769040208,14.158760579113785,5.091822944355654
(3S)Gal(b1-3)GalNAc(a1-Sp8,3.5780601401690686,14.562536025248717,4.019875268794626,7.904921105815452
(3S)Gal(b1-3)GlcNAc(b1-Sp0,9.757006052063307,5.6533867114471015,10.040227279300003,4.385523546472719
(3S)Gal(b1-3)GlcNAc(b1-Sp8,2.2968756496597758,10.177002519529022,6.389608655400318,9.177374470402738
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,5.857838139621142,3.4329411271532333,10.071032127302884,10.053831337687457
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,3.608763725871607,6.369541650176522,2.5544876394298823,8.641447464931245
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,6.2366591409183165,14.412697576789709,9.999044682035043,16.693929610589993
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,6.733781372799879,7.526879976236278,10.801627326588344,12.446305016449678
(3S)Gal(b1-4)GlcNAc(b1-Sp0,11.629696719282926,20.117838030464405,8.867968340559553,9.575745136324038
(3S)Gal(b1-4)GlcNAc(b1-Sp8,4.817372435259701,4.5298326822485,7.500738131010842,6.234822953113151
(3S)Gal(b1-Sp8,5.8155661819522475,2.0463089250322564,4.513254313316133,2.2645673361593808
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,5.909437911440199,21.6042403469589,3.663978083540712,8.783582914496419
(4S)Gal(b1-4)GlcNAc(b1-Sp8,7.4734582433993255,8.245761734167829,4.389780029701565,20.197226318317405
(6P)Man(a1-Sp8,9.604982720572696,6.155472188968665,3.4643924282140173,27.37558154090065
(6S)Gal(b1-4)Glc(b1-Sp0,5.9104096047425685,8.352867540501675,7.474625978769772,25.535796307193948
(6S)Gal(b1-4)Glc(b1-Sp8,12.6898885506007,8.131862645995284,11.675945735999296,11.3265804879496
(6S)Gal(b1-4)GlcNAc(b1-Sp8,9.572957645846284,6.0439343756088775,8.173646200798826,8.16308574274051
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,4.327114585186454,19.6034306227252,6.155642209320378,7.1717476537568485
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,8.707418242079571,9.880617852981976,10.10436031968378,13.209450082043533
(6S)GlcNAc(b1-Sp8,10.902809411186947,9.136111635838304,4.5447296703617805,5.251248833928299
