IUPAC,RCAI (Vector) (0.1 ug/ml),RCAI (Vector) (1 ug/ml),RCAI (Vector) (10 ug/ml),RCAI (Vector) (100ug/ml)
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,502.12159999999983,8605.5844,36950.460899999984,36154.167175
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,992.048275,11678.5593,32469.222500000003,37292.80550000002
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,2002.87565,23752.25715,33162.873599999984,40383.54525
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,47.532425,2279.3311500000004,33097.460875,35370.569725
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,6.484575,12.220900000000002,21.92835,49.879625
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,9.553725,3.03515,6.759450000000001,84.76032500000002
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,4.968000000000002,15.539324999999998,5.723675000000004,35.82170000000001
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,19.00625,8.209899999999998,8.025324999999999,48.59969999999999
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,0.7180499999999999,9.278175,16.644375,1362.7413250000004
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,12.542550000000002,4.488,9.750825000000004,28.066975
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,4.128700000000002,2.24175,20.5481,94.831225
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,14.011124999999998,6.147425000000003,15.4113,884.6067250000001
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,6.597825,10.667125,4.83465,1441.44735
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,18.235175,20.06235,11.766650000000006,230.35315
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,17.090749999999996,13.754899999999996,31.60215,230.194925
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.062125,5.216875,29.02007500000001,6.544775
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.608950000000003,7.94625,0.38242500000000135,19.77257500000001
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,9.003224999999997,13.780525,6.384224999999998,46.20125
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,6.862774999999999,0.842274999999999,4.932675,16.155
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,6.732849999999999,30.59370000000001,1006.9836499999997,13042.20115
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-9.74165,10.967000000000004,622.7194499999998,9151.195975
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,13.761375,6.244975000000004,26.22365,1787.1184999999994
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,3.369425000000001,2.6210249999999995,14.784825,1607.461425
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,3.369525000000001,6.633875,15.934024999999998,1699.4387249999993
Fuc(a1-2)Gal(b1-Sp8,18.4096,17.158375000000007,605.357725,6480.243475000001
Fuc(a1-3)GlcNAc(b1-Sp8,3.124050000000004,14.772475000000002,12.2519,81.384425
Fuc(a1-4)GlcNAc(b1-Sp8,2.4506749999999986,-3.809475000000001,15.127674999999998,15.08209999999999
Fuc(b1-3)GlcNAc(b1-Sp8,8.764825000000002,17.298049999999996,22.2544,289.124925
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,17.041725,7.398450000000004,5.3941,53.58
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,15.738049999999996,18.829025,20.553675,217.366625
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,20.808999999999987,6.219474999999997,22.061825,102.26747500000002
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,0.1272000000000011,8.632924999999998,6.071100000000001,53.05085000000001
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,5.940625,9.076674999999998,8.903975000000003,24.248974999999966
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,2.305799999999998,13.912825000000005,17.86255,66.9817
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,6.719099999999999,12.095449999999998,21.6777,82.7453
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,20.295425,3.1391000000000027,14.497175000000002,109.52895
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,3.20055,6.4354,-0.5816000000000008,470.8478
GalNAc(a1-3)GalNAc(b1-Sp8,8.49375,1.6389499999999977,7.772724999999998,33.51807500000001
GalNAc(a1-3)Gal(b1-Sp8,3.3797250000000005,3.870249999999997,61.64370000000001,2874.682775
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,7.588524999999999,-2.51705,53.25735,37.05917500000001
GalNAc(b1-3)GalNAc(a1-Sp8,13.147524999999995,7.7065,10.956825,92.431375
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,13.766525,20.997275,7.2322250000000015,35.252275
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,19.51802500000001,21.047725,22.359774999999992,442.621025
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,25.59065,23.843950000000003,24.6229,114.86895
GalNAc(b1-4)GlcNAc(b1-Sp0,5.751099999999997,27.8473,168.722325,5673.2163
GalNAc(b1-4)GlcNAc(b1-Sp8,18.5661,35.355175,69.29412500000001,3789.688775
Gal(a1-2)Gal(b1-Sp8,12.802624999999995,18.569225,290.516725,5646.271275000001
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,10.860475,3.310249999999998,37.623175,636.18205
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,37.96065,27.840025000000004,19.775250000000007,149.32742500000006
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,11.404775000000004,11.455900000000005,13.604475000000004,232.0875
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,11.424950000000004,12.458025,17.505824999999998,402.165625
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,6.752249999999997,9.559000000000003,7.89175,2176.94865
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,10.19625,4.7597000000000005,17.855725000000007,197.80600000000004
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,4.2923500000000265,7.662974999999998,25.46402500000001,1728.260875
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,10.8845,12.883824999999998,10.99505,216.721075
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,34.19260000000001,347.308225,5439.3262,37772.324525
Gal(a1-3)GalNAc(a1-Sp8,68.10804999999999,58.9876,97.12685,4456.300449999999
Gal(a1-3)GalNAc(a1-Sp16,1.7235250000000004,19.8889,10.970125,66.558025
Gal(a1-3)GalNAc(b1-Sp8,5.213075000000002,8.087225,16.4375,1926.1377
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,14.681925000000005,18.945875,966.110025,17435.940324999996
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,14.817275,40.376875,842.2340999999997,11195.9362
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,1.2365999999999993,39.93375,1661.2309750000006,16472.00195
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,12.074175,27.03080000000001,1019.3396,10377.006625000002
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,3.17015,21.94165000000001,412.474525,7880.046575
Gal(a1-3)Gal(b1-Sp8,3.3734750000000013,37.197100000000006,1254.40165,10302.886599999998
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,12.613825000000006,12.264525000000004,379.0608249999999,11476.8265
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,20.4328,21.00395,255.05155,5973.874100000001
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,17.74425,70.42505,1371.749375,16516.895874999995
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,33.1086,27.787475,281.4647,10069.117575
Gal(a1-4)GlcNAc(b1-Sp8,8.679,40.2627,835.7077250000001,10109.8499
Gal(a1-6)Glc(b1-Sp8,2.7621750000000014,4.706524999999994,7.060699999999999,297.68882499999995
Gal(b1-2)Gal(b1-Sp8,35.095825,703.9053999999999,5638.048700000001,25107.289325000005
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,7.341000000000001,9.280900000000004,2.27665,78.1904
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,3.65875,12.227524999999995,746.6567499999999,8830.796999999999
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,8.712724999999999,10.57745,6.979449999999992,93.34242500000002
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,4.800075000000001,18.9658,4.560124999999998,75.98325
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,15.781299999999998,11.113499999999995,9.701875,34.179550000000006
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,886.5409000000003,8675.863825,34677.67035,42352.1817
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,14.57205,19.62595,30.88817500000001,56.78035
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,24.12865000000001,18.471274999999995,127.47909999999996,6296.492175000001
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,-3.702175,-3.2693250000000016,15.086775,2053.72555
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,8.654049999999998,14.069100000000002,10.04865,1074.138575
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,11.352475,12.404399999999995,4.847349999999999,461.3509
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,5.248474999999997,14.072250000000004,47.02235,2486.6088000000004
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,5.884325000000002,11.6708,39.07047500000001,5380.5406
Gal(b1-3)GalNAc(a1-Sp8,9.982975000000003,16.659200000000006,584.3690499999999,6082.695425
Gal(b1-3)GalNAc(a1-Sp14,14.973825,10.346049999999998,37.68565,2128.7889750000004
Gal(b1-3)GalNAc(a1-Sp16,3.2596999999999814,11.349700000000004,5.1579250000000005,112.572275
Gal(b1-3)GalNAc(b1-Sp8,0.016274999999998485,27.882224999999995,628.85485,10292.869775
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,28.889,12.231499999999995,117.97739999999996,10972.655625000003
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,8.453175,7.247875,28.444975,6246.797075000001
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,29.828125,43.175725,229.218325,9201.37805
Gal(b1-3)Gal(b1-Sp8,14.88455,84.21957500000002,1536.9850500000002,12407.0816
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,5.361075000000001,15.6281,343.735625,15618.494975
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,-2.975175,25.187099999999994,1443.4564750000006,15387.754775000005
Gal(b1-3)GlcNAc(b1-Sp0,12.86335,34.039525,864.8405,12020.21955
Gal(b1-3)GlcNAc(b1-Sp8,5.749825000000001,38.81405000000001,1821.404275,14019.7537
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-3.2516249999999984,8.26765,17.023849999999996,1158.289475
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,-5.40235,17.558400000000006,7.262600000000001,72.22457500000002
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,10.214375,10.305350000000004,13.068074999999995,6.290949999999999
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1.380325000000001,3.074150000000003,1.0179500000000008,31.802375000000023
Gal(b1-4)(6S)Glc(b1-Sp0,14.726625,219.463925,6711.21765,25186.273000000005
Gal(b1-4)(6S)Glc(b1-Sp8,15.706449999999993,266.76987500000007,3816.004475,26765.996275
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,4.366549999999997,10.188425000000002,56.7768,8021.5818249999975
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,21.40315,-11.928350000000002,92.7001,4811.162025000001
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,284.76402499999983,4436.864749999999,30333.88985,41195.47255
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14,29.392025,663.121375,14341.318125000002,32154.969225
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,391.27217500000006,8344.578075000001,35574.82380000001,37357.7887
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,517.166825,11470.205699999995,36780.742875,36544.841525
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,423.9827,7377.07715,35364.428225,42160.07015
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,519.83485,10546.47105,32423.518250000005,36391.2221
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,238.379725,5928.642674999999,31218.733100000005,38155.98725
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,507.437825,10328.238875,34126.035975,43714.194675
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,53.640325,3891.75535,34651.155725,33514.225775
Gal(b1-4)GlcNAc(b1-Sp0,110.9059,2095.4444,22201.666350000003,34162.24815
Gal(b1-4)GlcNAc(b1-Sp8,474.816875,5003.809949999999,29695.101275,35620.071575
Gal(b1-4)GlcNAc(b1-Sp23,143.337225,2936.5164750000013,6770.77985,57993.02184999999
Gal(b1-4)Glc(b1-Sp0,18.322550000000003,681.1135750000002,6809.973975,21838.3175
Gal(b1-4)Glc(b1-Sp8,49.09622499999999,1078.3758249999996,7837.768000000001,26193.256925
GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,-0.3525749999999981,7.802049999999998,3.116550000000002,23.794499999999992
GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,62.47469999999999,654.12795,23112.4362,40502.36485
GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,17.980874999999994,19.084175,8.120499999999996,143.348025
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,10.7001,16.184274999999992,9.77655,-7.35445
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,7.9506999999999985,13.246975000000004,8.401100000000001,52.37997500000001
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,3.0321250000000006,3.524175,9.091275000000003,14.696600000000005
GlcNAc(b1-3)GalNAc(a1-Sp8,6.745700000000001,17.570724999999996,18.35695,13.935075000000012
GlcNAc(b1-3)GalNAc(a1-Sp14,5.979075,6.9797249999999975,6.992724999999997,33.360575
GlcNAc(b1-3)Gal(b1-Sp8,6.235475000000001,-11.275124999999996,8.688450000000003,48.74705
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,5.050549999999999,1.739800000000001,4.645475000000003,24.389475000000004
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,12.2772,4.910124999999997,6.567450000000003,12.402000000000005
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,15.82575,77.70599999999997,1406.599425,16219.14075
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,7.828975,7.29115,20.34855,7.725525000000001
GlcNAc(b1-4)(a1-MDPLys,16.569824999999994,12.022675,-0.6022999999999978,10.392100000000006
GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8,5.318799999999996,5.491225,17.543125,13.587474999999998
GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8,15.254975000000002,4.804525000000002,5.745049999999999,266.351825
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,14.248025000000005,5.517525000000001,7.942400000000001,97.0124
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,3.78915,16.868299999999998,5.765625,9.180825
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,3.57485,9.3515,6.914574999999999,307.947325
GlcNAc(b1-6)GalNAc(a1-Sp8,27.617999999999995,21.9468,5.328474999999999,146.7766
GlcNAc(b1-6)GalNAc(a1-Sp14,9.546675,19.75285,8.553425,18.348200000000013
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8,11.79685,46.06630000000001,1081.98555,14856.927075
Glc(a1-4)Glc(b1-Sp8,8.661125,31.411275,23.881825,20.097874999999988
Glc(a1-4)Glc(a1-Sp8,1.2856500000000004,13.99745,11.012974999999996,21.45165
Glc(a1-6)Glc(a1-6)Glc(b1-Sp8,5.409375,7.529375,10.479175,147.99882499999995
Glc(b1-4)Glc(b1-Sp8,15.74055,18.845,23.144925,55.72595000000001
Glc(b1-6)Glc(b1-Sp8,10.290125,0.7271499999999982,18.296375,58.473225000000006
G-ol(a1-Sp8,12.187800000000005,4.68355,12.232699999999998,113.03177500000002
GlcA(a1-Sp8,6.027075000000003,13.168825,11.197975,96.16077499999996
GlcA(b1-Sp8,65.4333,62.179525,31.879075,272.31
GlcA(b1-3)Gal(b1-Sp8,23.79705,7.943374999999998,16.743375000000004,60.12379999999999
GlcA(b1-6)Gal(b1-Sp8,13.049375,17.45637499999999,25.8073,2076.919700000001
KDN(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,9.425400000000002,8.645,7.344800000000001,63.348275
KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,6.195125000000001,17.772925,25.820750000000004,67.79175000000001
Man(a1-2)Man(a1-2)Man(a1-3)Man(a1-Sp9,5.735649999999998,7.5913749999999975,7.686425,36.71965
Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-Sp9,4.807250000000002,5.4370499999999975,13.305174999999998,25.20625
Man(a1-2)Man(a1-3)Man(a1-Sp9,10.904075,8.612700000000002,5.526824999999999,68.5292
Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,5.23105,8.11255,8.878175,34.033849999999994
Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,-2.7738,-4.508475000000002,-3.7171999999999983,71.51365
