IUPAC,HAA 0.1ug/ml,HAA 1ug/ml,HAA 10ug/ml,HAA 100ug/ml
Gal(a1-Sp8,5.813562905826343,7.6365306015995635,31.53583992993792,33.32931520858677
Glc(a1-Sp8,7.19881404978162,7.941776009757924,20.44172954495699,12.435402847381615
Man(a1-Sp8,3.5346223928448146,3.767219542314988,6.943690661972691,13.29305884697599
GalNAc(a1-Sp8,23.880070266298052,136.42168045865222,1477.1602162497393,1160.0548389748335
GalNAc(a1-Sp15,34.10031717519901,19.55775920112438,380.1776978311799,666.0546787593594
Fuc(a1-Sp8,3.1074094166202197,6.716475262305868,4.91784763717828,5.826733858904147
Fuc(a1-Sp9,4.3111083960508365,4.937558797202656,12.732515986245609,12.098562362907696
Rha(a1-Sp8,14.8399395095353,5.594778935385514,5.037499119189337,97.1970253058318
Neu5Ac(a1-Sp8,2.600602379417769,11.6031723950823,10.54083289984714,2.8271894601058047
Neu5Ac(a1-Sp11,5.9043401067915,5.013875673568302,5.72927622501307,8.986769850545121
Neu5Ac(b1-Sp8,4.1179709059802745,8.323170354898831,7.021305867322687,4.313406704972303
Gal(b1-Sp8,13.17789423855344,8.064016168138549,7.804945660711978,7.405960180995586
Glc(b1-Sp8,0.4830399431379002,1.6435077131955669,5.605704906610757,11.412078636361565
Man(b1-Sp8,8.178868455762473,5.292718925719247,1.7552746898040374,15.181354126334266
GalNAc(b1-Sp8,3.2349972708643864,11.885129837181694,1.1866627192116035,492.4533812485487
GlcNAc(b1-Sp0,3.4342846886214917,8.25726008809823,12.760656127070158,2.157575618412169
GlcNAc(b1-Sp8,17.03270324581509,12.262266894828215,6.690187528512688,5.532844392880832
GlcN[Gc](b1-Sp8,2.9832158280396923,5.290927297742806,3.831572108155664,5.764575393730231
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,84.8166435673447,8.762948757648111,6.418753187860293,6.5819687779063
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,14.252477270840789,5.848906631941287,7.730778924263274,19.772010892736734
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,3.5147374136152285,6.161784327611603,7.25710437496712,4.441165350351938
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,5.317333829091417,3.2297679363229785,5.547787503365642,16.27165810079497
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,6.7786137660414525,6.369998470695786,4.368511482187039,9.166032571220036
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,28.537346323064103,1.7127956121985688,3.886546504181677,103.53146283941904
(3S)Gal(b1-4)Glc(b1-Sp8,5.9497876637182046,3.9364796924621164,27.65085865303281,12.268926736916866
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,3.255115240663529,6.1531435626434074,6.498913249856986,8.892764443448762
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,2.6176564408837217,0.8065496450932328,14.686977246385085,6.029928822341106
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,5.117939919212584,2.342443966601264,5.693935968715607,46.70281010056336
(3S)Gal(b1-3)GalNAc(a1-Sp8,11.143354607829476,24.292899817625702,581.1361221465049,3123.493037315285
(3S)Gal(b1-3)GlcNAc(b1-Sp0,2.013855823000576,1.6616671174355775,1.1546818522865936,3.5314964726963263
(3S)Gal(b1-3)GlcNAc(b1-Sp8,21.233434081341315,10.554917948638924,2.38625453098924,33.29086533133628
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,3.1738104763832227,7.261352903327769,6.724400509091255,17.19346250924069
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,3.1623933821290087,6.917193917092872,3.4877300023319835,4.672719769309947
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,4.516945899609617,4.869673470487179,7.5573743793176344,4.935315087796655
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,9.25330645926993,3.4419874142710047,4.05345699239139,6.3261134877585015
(3S)Gal(b1-4)GlcNAc(b1-Sp0,13.275345527549673,3.4545645845991384,1.4879623684757564,9.22398147669975
(3S)Gal(b1-4)GlcNAc(b1-Sp8,4.919479450358545,1.3565310538281083,1.18226515462198,15.711776790542615
(3S)Gal(b1-Sp8,3.6756533750250906,5.823052839290288,1.7904555053579696,6.072166913054991
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,2.116837882314086,1.0653431665429964,7.208770360933039,13.864817189082107
(4S)Gal(b1-4)GlcNAc(b1-Sp8,3.4677022001848234,6.686917222457595,18.550911469880205,5.470848474414186
(6P)Man(a1-Sp8,2.9040493652542043,0.9826398543379656,2.171495052569389,15.783423763846901
(6S)Gal(b1-4)Glc(b1-Sp0,4.6546250568654655,6.890133643781277,4.030722878922175,2.533085576097512
(6S)Gal(b1-4)Glc(b1-Sp8,5.494776241728723,2.5932778093884705,6.597938610593968,40.84320075739867
(6S)Gal(b1-4)GlcNAc(b1-Sp8,1.4902492193701469,5.2476750530592,1.023126530135281,10.541568289554137
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,7.045201483042664,10.953122926514306,4.104245542017033,11.44766347542881
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,9.877672995026039,1.638254974813143,1.4835637057999893,0.8308911099937585
(6S)GlcNAc(b1-Sp8,7.726388620985872,2.6197378168753183,10.78841472085527,24.283596560298317
