IUPAC,HHL (0.1ug/ml),HHL (1ug/ml),HHL (10ug/ml),HHL (100ug/ml)
Gal(a1-Sp8,8.329249272443462,15.158034269324556,2.6423052515748457,20.09620121853464
Glc(a1-Sp8,5.3938199033709004,11.039464117844071,12.39919718110142,9.051296869325784
Man(a1-Sp8,14.331058447389708,2.9536747647351747,14.442571100367351,15.094924116845805
GalNAc(a1-Sp8,9.855388777888649,13.25914581571897,103.6827085844553,61.38000617836307
GalNAc(a1-Sp15,22.09890631682934,39.92379869981481,17.329236324393122,10.243617587877383
Fuc(a1-Sp8,2.8801750055335136,14.377847111065213,8.774107914198455,0.6572925395134362
Fuc(a1-Sp9,2.267921032392154,20.287470957711815,9.607680006944106,5.399181868888407
Rha(a1-Sp8,6.141965967017403,3.674553655774628,11.509611611569126,8.336426136490784
Neu5Ac(a1-Sp8,5.648821345791233,13.065682155172775,2.7569835623981054,6.932163567206129
Neu5Ac(a1-Sp11,14.887191812959028,14.717982087568936,5.563789020083346,4.149562427132143
Neu5Ac(b1-Sp8,1.501608770619036,4.9790181210757,21.781804683496734,12.047714769027081
Gal(b1-Sp8,17.362267413824924,11.591212877110827,15.980104488602894,11.431730145374624
Glc(b1-Sp8,14.470724714027508,5.068948680199878,15.034164195480466,12.94837164598314
Man(b1-Sp8,2.8742053549633537,9.709471370608533,3.7003726902390106,19.77384972305596
GalNAc(b1-Sp8,21.131087792693023,11.249424126705337,2.8361278372398107,8.829292488595373
GlcNAc(b1-Sp0,14.07040382395497,30.219184524114837,18.755350597340648,20.455526497420358
GlcNAc(b1-Sp8,10.718311269777217,9.593752377589283,11.370010648778381,16.015998287337574
GlcN[Gc](b1-Sp8,13.398210360467308,5.477310027969936,3.9515033885851634,5.427937538943
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,12.624749841482005,1.5896721682472723,8.752144308111008,3.37649531171006
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,5.3777502535137,7.743682997288822,6.6602851787667525,3.7305144134779287
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,4.160171694673991,18.276888480149818,9.006276372387942,7.008299995659909
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,5.1455372167701485,2.891122235395791,21.372697079373644,5.321902438273368
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,1.2993760220454569,12.062261425619983,8.050383954559766,3.7873776248656967
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,6.455383526174106,17.903255828735908,12.07726292363741,22.54120922192656
(3S)Gal(b1-4)Glc(b1-Sp8,25.438442649790225,7.0087162269562615,10.155041555265377,3.750598838407891
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,3.134481799144265,6.051699815409979,2.8532424869202284,1.8839074605723067
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,9.400867987230393,11.994758861686226,18.890179773099028,14.835226674231546
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,12.465378224105356,6.0687579470596695,8.808207176075422,3.4361592367060045
(3S)Gal(b1-3)GalNAc(a1-Sp8,20.250610630855046,79.43695224217882,28.97162828527361,16.91690721721481
(3S)Gal(b1-3)GlcNAc(b1-Sp0,2.623983622122416,5.411668963375983,5.6034616291330765,8.814359220187256
(3S)Gal(b1-3)GlcNAc(b1-Sp8,6.6175818579498245,4.158749116421108,6.863910189474112,8.663658801520674
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,4.743386836076807,4.845100685142322,4.516739657466802,13.966763550897072
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,5.937985114708523,3.477963313492553,7.2426083423032175,2.8414227299013404
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,6.072018649167116,3.379623756672744,6.398785310444999,5.2785230301666735
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,12.534138687700086,15.194294959622187,14.163869267347104,6.7819721735888425
(3S)Gal(b1-4)GlcNAc(b1-Sp0,3.9205590285910192,5.392399503004204,6.584461462665981,14.170076429192846
(3S)Gal(b1-4)GlcNAc(b1-Sp8,7.791198344499599,3.3943324109216833,5.754373443158977,2.5999995376602243
(3S)Gal(b1-Sp8,5.857024931012332,1.4811425598165815,4.973985208730184,6.858146131183461
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,2.748942380110329,6.8077238376102285,10.685620271810773,7.482340988565457
(4S)Gal(b1-4)GlcNAc(b1-Sp8,9.379477873661203,5.893097490214009,21.109758749667574,2.8979996532090877
(6P)Man(a1-Sp8,4.128864472123864,6.9801499044910695,22.342231505883642,9.514992164298745
(6S)Gal(b1-4)Glc(b1-Sp0,12.801851693928239,1.5976271496086658,7.670959335213554,3.9052792553798232
(6S)Gal(b1-4)Glc(b1-Sp8,4.4676261325227316,5.691983542594511,6.848862489980853,1.5555259174954317
(6S)Gal(b1-4)GlcNAc(b1-Sp8,5.190670708989996,5.070492848169039,3.866181729648343,6.899294576983948
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,4.7629445208995085,11.81126775763297,7.567010251689025,11.748602497708681
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,8.437274730029829,4.351249042420674,17.067469309259053,4.176390067490498
(6S)GlcNAc(b1-Sp8,15.250051346443607,14.367672309592589,6.084065744220718,4.926310836975271
