IUPAC,ABA 1ug/ml,ABA 10ug/ml,ABA 100ug/ml
Gal(a1-Sp8,25.54600776512516,26.220647500268,242.0913965077427
Glc(a1-Sp8,6.114575902437353,16.053612210002985,219.7868157727544
Man(a1-Sp8,39.15561322325522,52.18040134702563,125.46742126741863
GalNAc(a1-Sp8,9.168382778149406,21.24618927735434,61.37792269966999
GalNAc(a1-Sp15,8.23582053916534,13.962344943573553,33.26855024627862
Fuc(a1-Sp8,18.13451273364317,13.664240285839774,13.08071757766632
Fuc(a1-Sp9,31.486100163127517,20.11521749994269,43.70433724527998
Rha(a1-Sp8,30.505566976031872,11.90244305244375,55.43930814180951
Neu5Ac(a1-Sp8,25.617052616616537,40.807393966820996,71.80995772998686
Neu5Ac(a1-Sp11,5.09061222930667,9.176886467052244,69.31561976320104
Neu5Ac(b1-Sp8,10.59609726094156,10.62291803398043,18.631918507228203
Gal(b1-Sp8,25.591768559880773,22.42693448081256,13.034153542992918
Glc(b1-Sp8,14.59586250917249,38.0248449326118,99.67061173015196
Man(b1-Sp8,22.09025746422691,24.63001539240292,16.815081387552105
GalNAc(b1-Sp8,16.206966311332504,17.64813582780535,21.73184322576356
GlcNAc(b1-Sp0,33.64261985759276,26.121630290798567,65.62900763519038
GlcNAc(b1-Sp8,23.0514723946758,9.191528201329367,203.47796173214348
GlcN[Gc](b1-Sp8,34.87027562408992,23.87229366092277,31.36163321608109
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,12.370794400084685,8.31419280843506,15.356817470073885
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,22.45336350191587,12.274023123213013,29.16346439422677
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,11.985903750100233,10.410611202358199,155.58245719959166
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,9.325899088157671,16.77999741803219,7.790050468118504
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,10.08583215687565,5.126242947162521,18.30092351847768
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,4.689912332780541,21.19567289682417,10.930723019506402
(3S)Gal(b1-4)Glc(b1-Sp8,22.270582569445725,6.0276379602624015,90.33718148636379
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,12.306276130867813,17.22758542125585,171.1092681846507
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,16.35754425629553,9.369745833043355,16.435267107351834
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,2.1826862873914497,3.465010882618793,72.76234997640722
(3S)Gal(b1-3)GalNAc(a1-Sp8,7.999120643545762,14.428643867321696,5064.380334578086
(3S)Gal(b1-3)GlcNAc(b1-Sp0,6.517720873127352,10.321283316203145,28.18711008249159
(3S)Gal(b1-3)GlcNAc(b1-Sp8,15.380886526763241,29.118604070364817,15.773339018630988
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,59.12904646488615,58.611917893626156,29.21434289572806
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,16.93888819511678,16.248851143055223,20.08159450099765
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,24.735102890022503,126.28118387591765,141.47626569117426
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,3.7251528957435567,3.163907796143868,8.657347391811191
(3S)Gal(b1-4)GlcNAc(b1-Sp0,9.125847642228454,9.640956437511788,7.578232025292356
(3S)Gal(b1-4)GlcNAc(b1-Sp8,8.135682627577504,22.268404758162045,17.636513161242085
(3S)Gal(b1-Sp8,7.459508677296825,8.15461024308745,15.720935206781812
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,30.6418300426476,12.381026631469885,137.37609350584506
(4S)Gal(b1-4)GlcNAc(b1-Sp8,2.329787677557766,4.26515798300603,10.806211558481843
(6P)Man(a1-Sp8,26.028357041423718,1.9125744700103475,236.50823482318745
(6S)Gal(b1-4)Glc(b1-Sp0,10.998859529211789,12.672155398615752,16.517584377868335
(6S)Gal(b1-4)Glc(b1-Sp8,8.727681796588366,8.841887564881159,17.017767785562633
(6S)Gal(b1-4)GlcNAc(b1-Sp8,15.203310106108473,7.6350936584519635,13.354735219732625
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,5.389499631072768,7.334541436472592,31.389915729365484
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,14.756732575788368,19.41115574688946,4.883427414821832
(6S)GlcNAc(b1-Sp8,7.462979751357148,9.999255304771452,8.296536649711067
"Neu5,9Ac2(a1-Sp8",12.436397769048725,19.109840354295656,6.718066091269625
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",3.742453789850543,7.448091504092396,9.374799080691457
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,69.05378629109825,11.819170012315018,21.90193687924664
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,23.969083934153552,46.43926366860877,392.9386524101844
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,34.37650080985559,127.3122273702867,545.3556679929535
