IUPAC,AAA (0.1ug/ml),AAA (1ug/ml),AAA (10ug/ml),AAA (100ug/ml)
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,28.41455,7.463325000000002,26.316524999999984,58.39692499999999
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,12.558375,2.1281500000000024,15.808799999999998,21.9839
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,3.4525,1.506199999999998,4.654775000000001,123.300575
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,8.941199999999998,-2.23465,10.263049999999996,13.670925000000002
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,15.927075,0.2464499999999976,8.375874999999999,25.062775
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,2.965700000000002,-2.3889749999999985,15.944474999999995,2.0000750000000007
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,11.538000000000006,4.410500000000004,4.822474999999999,54.961875
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,11.336374999999995,8.9033,27.60382500000001,7.461499999999997
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,60.839975,18.986000000000004,56.9529,93.931
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,21.203725,-3.850775,4.337200000000001,13.928399999999995
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,4.586575,3.5995749999999984,10.3258,415.31055
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,8.807575,-4.328299999999999,14.718974999999995,17.410674999999994
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,23.555,3.067775,26.4113,30.124350000000003
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,22.652775000000005,15.470824999999998,14.845874999999975,26.749175000000005
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,2.202699999999999,4.727849999999998,5.0981000000000005,61.00122500000001
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,0.3379000000000003,-0.6528250000000035,18.000225,51.361975
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,5.576625000000003,-0.11454999999999772,21.9176,20.31625
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,13.91635,-9.1655,27.716200000000004,55.980575
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,-1.0656500000000009,0.4871500000000033,11.037874999999996,110.04637499999998
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,10.031225,1.1245499999999993,14.194700000000005,569.1163499999999
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,17.535425000000004,4.671499999999998,35.7892,713.5612999999997
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,13.40925,5.6569249999999975,24.696074999999986,444.44855000000007
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,3.290575,7.380299999999997,8.928975,419.6928499999999
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,0.2488749999999991,5.776575000000002,11.174449999999995,59.162575
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,8.64395,6.62285,12.169650000000004,78.59217500000003
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,11.801574999999998,4.851925,3.897099999999999,233.981375
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,8.646799999999999,0.5554249999999996,3.399474999999999,112.0395
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,33.064075,-4.579675000000002,9.669624999999996,49.476075000000016
Fuc(a1-2)Gal(b1-Sp8,16.535849999999996,2.1403750000000024,10.428999999999998,62.896275
