IUPAC,TL(EY Lab) (1ug/ml),TL(EY Lab) (3ug/ml),TL(EY Lab) (10ug/ml),TL(EY Lab) (100ug/ml)
Gal(a1-Sp8,5.37503490306497,3.817873199723461,7.0868543393149235,6.4769271904198575
Glc(a1-Sp8,4.518499746873966,10.24191410707328,2.380722673720454,1.060599127851804
Man(a1-Sp8,2.4940184034338357,8.975807629214582,14.583614380844223,17.075479564641814
GalNAc(a1-Sp8,3.3417689726650264,2.0427383065794067,2.6208468547080987,2.745413566143845
GalNAc(a1-Sp15,4.524025799642762,8.39364201102316,11.000016627681317,2.232912741055205
Fuc(a1-Sp8,2.4956758616989245,1.5787369666920472,5.210669006631171,5.102050427358085
Fuc(a1-Sp9,8.429846721619557,4.342545805553852,6.016390520902048,8.684763696267158
Rha(a1-Sp8,4.496573691434406,3.0582799919508106,4.147385330944468,8.670094629625828
Neu5Ac(a1-Sp8,7.5886510950563535,24.369375145371162,16.26838203620241,7.717150207330422
Neu5Ac(a1-Sp11,2.4456752837065943,3.3723136894423047,2.0832025447613094,7.860413851064077
Neu5Ac(b1-Sp8,2.5165851902925933,5.353306123244461,2.9085008882011145,7.980842456522581
Gal(b1-Sp8,2.202450202993627,12.306632430895405,6.464324318906034,1.6568697562472043
Glc(b1-Sp8,3.8048673225883953,6.118233195062673,3.3890227169249427,0.4282979064467509
Man(b1-Sp8,9.877096107831138,24.233386861174267,25.229855951365753,7.558955980105102
GalNAc(b1-Sp8,13.015967236020801,6.0070774374898805,6.268132823789446,7.069553293289943
GlcNAc(b1-Sp0,5.9536975661488505,4.4741663159185325,4.157385499225043,2.2363731747332998
GlcNAc(b1-Sp8,2.6881373059859377,4.7111182319947496,16.32178751962644,9.179571608922355
GlcN[Gc](b1-Sp8,2.5940280787480545,9.015205645278792,3.2765846059578574,6.030565328391683
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,5.687961112443251,2.983084732705391,2.2594190241446337,13.840414899940633
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,5.647190163848449,3.020654777251669,15.711266229975436,2.8704407199359934
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,3.4890977729445587,6.144041891336678,4.8366010110407105,4.2599977265252145
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,3.1092196395022773,7.491544284502805,3.4848029857033054,7.1661898529948695
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,7.631290029215244,8.195037662309224,5.322451146714894,5.375153650129453
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,3.9422861632983164,4.64696261686061,1.9959816454984391,8.45957376561216
(3S)Gal(b1-4)Glc(b1-Sp8,6.075895347463892,6.521946379404953,6.502448327104704,3.6882217001105952
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,2.7052376044751907,9.799197557751011,2.3913070573433264,12.09972927228126
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,6.5356728801121555,5.792155805339954,12.81170607361358,5.520867205657086
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,2.8698151187547465,5.360628734579555,2.2506012891003158,1.4089394223433866
(3S)Gal(b1-3)GalNAc(a1-Sp8,5.8611469870097395,9.10591212981068,6.1931846079961845,10.61837673073586
(3S)Gal(b1-3)GlcNAc(b1-Sp0,2.8912279114302573,0.9944544970317484,3.965186352388328,10.90282707080413
(3S)Gal(b1-3)GlcNAc(b1-Sp8,6.845746398251007,3.2184106236619305,2.406357865287983,4.571804464596012
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,5.987072986025809,5.260202531826443,5.093241430480855,4.48952867756367
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,2.02351038770911,4.694712277303755,2.842435862659583,4.060015391185933
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,2.6671207151470777,8.258382905619806,14.140453803302536,2.385794476165107
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,8.69519595883267,5.030150527485898,4.531317626897646,4.880738895905006
(3S)Gal(b1-4)GlcNAc(b1-Sp0,8.844949030331762,3.4159678993173643,5.318919259508142,4.126961868311846
(3S)Gal(b1-4)GlcNAc(b1-Sp8,3.6735436828762498,5.438393340178694,3.120834009657247,4.012701397645564
(3S)Gal(b1-Sp8,6.475471679345068,2.3311194712340795,8.38118724818666,3.5644104789572144
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,3.670174880483678,1.8019715286319045,3.122875798976537,2.4569026700298897
(4S)Gal(b1-4)GlcNAc(b1-Sp8,5.099930071007509,3.050290213925012,9.082279393916851,3.0038527715807497
(6P)Man(a1-Sp8,4.156198372711936,6.027174609148698,2.8046624122462007,4.216727346631903
(6S)Gal(b1-4)Glc(b1-Sp0,5.124232849900559,1.9983592225873728,5.349177600653522,4.966919867147715
(6S)Gal(b1-4)Glc(b1-Sp8,3.739202966208176,4.442624028281784,7.1622652768403725,4.6162934944245775
(6S)Gal(b1-4)GlcNAc(b1-Sp8,5.578080096831406,3.1198914803509865,6.9395622506034265,5.354536173112165
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,5.998359040812744,6.887027603400465,6.906878743868318,3.8187245570347166
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,2.627841442451708,8.07762793914979,15.286255743314,5.834598644865526
