IUPAC,TL(EY Lab) (1ug/ml),TL(EY Lab) (3ug/ml),TL(EY Lab) (10ug/ml),TL(EY Lab) (100ug/ml)
Gal(a1-Sp8,4.247175000000002,-1.022224999999998,26.28700000000001,-1.556750000000001
Glc(a1-Sp8,2.3619249999999994,14.298249999999998,1.5355249999999978,-1.28145
Man(a1-Sp8,-0.10745000000000003,-3.3306500000000003,17.529525,16.586325000000002
GalNAc(a1-Sp8,1.0979999999999994,-0.02532499999999871,-1.7520749999999996,1.5229750000000006
GalNAc(a1-Sp15,-2.622925,9.738574999999967,4.570799999999963,2.943725
Fuc(a1-Sp8,2.2015,-0.03025000000000056,3.33455,4.999250000000019
Fuc(a1-Sp9,-0.0007500000000009166,-2.242300000000001,12.488200000000004,7.871200000000003
Rha(a1-Sp8,9.139975,-5.2291750000000015,7.09225,3.0598
Neu5Ac(a1-Sp8,5.126524999999999,13.255125,24.679575,-0.08557499999999862
Neu5Ac(a1-Sp11,3.5654999999999992,3.988600000000001,0.638074999999998,3.980549999999999
Neu5Ac(b1-Sp8,2.5140000000000002,-0.33897500000000136,-2.42625,6.319424999999997
Gal(b1-Sp8,2.95305,5.9162750000000015,-4.652600000000001,0.27847500000000003
Glc(b1-Sp8,0.6895250000000033,0.7494250000000022,3.398225,2.155149999999999
Man(b1-Sp8,10.06125,13.14085,27.8388,4.355675
GalNAc(b1-Sp8,9.020474999999998,8.4664,5.110249999999999,3.453599999999999
GlcNAc(b1-Sp0,5.232275,0.36487499999999695,-2.7275250000000013,1.9171499999999984
GlcNAc(b1-Sp8,-0.575874999999999,-1.3628749999999998,18.446375,3.466950000000001
GlcN[Gc](b1-Sp8,2.4002,2.2121000000000004,3.5597999999999987,9.742
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,5.734349999999997,1.256675000000001,2.6273,10.136525000000006
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,-0.18579999999999952,-2.011050000000001,9.338824999999996,-1.5961000000000003
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,2.922375,-4.4879250000000015,2.9182,0.16174999999999962
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,0.8099999999999992,-6.9743999999999975,-0.04262499999999925,0.8122250000000006
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,6.995249999999999,4.598499999999998,2.598225,-5.381525
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,1.1202000000000003,0.32582499999999914,-3.1987750000000013,5.4345250000000025
(3S)Gal(b1-4)Glc(b1-Sp8,8.2467,7.431324999999997,15.591700000000005,5.767625
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,-0.04045000000000076,-2.7780750000000016,1.666175,6.398274999999997
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,8.955375,0.2320000000000011,22.14615,13.173175
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,6.567725000000001,-1.1519500000000005,1.3094750000000004,3.2561250000000013
(3S)Gal(b1-3)GalNAc(a1-Sp8,6.67745,7.578875,6.501249999999343,10.276425000000003
(3S)Gal(b1-3)GlcNAc(b1-Sp0,4.775725,0.07529999999999948,-0.05927499999999952,8.406125000000031
(3S)Gal(b1-3)GlcNAc(b1-Sp8,4.616975000000001,2.762675000000001,3.4716249999999995,8.227525
