IUPAC,SBA 0.1ug/ml,SBA 1ug/ml,SBA 10ug/ml,SBA 100ug/ml
Gal(a1-Sp8,7.290304263197807,5.095868340382305,12.750827688036573,7.521709635614765
Glc(a1-Sp8,8.712551735810047,5.63514127299988,8.826168901010599,27.314539748563103
Man(a1-Sp8,5.5082772503448485,15.277961022553587,10.552233564669304,6.7524406394404375
GalNAc(a1-Sp8,132.02562828270598,80.99143447938653,3676.032500598333,644.4796285968475
GalNAc(a1-Sp15,11.299059644464489,134.18407148031324,490.79083269400513,2454.4376121554583
Fuc(a1-Sp8,15.016751119860356,6.717243200897218,12.70442234499468,42.13646992407381
Fuc(a1-Sp9,19.672939638731336,9.730522864676892,9.978484727151717,5.296594869898327
Rha(a1-Sp8,6.922967386171923,4.742740547053644,4.367164180850091,8.448037453111077
Neu5Ac(a1-Sp8,4.657042318449912,14.6067702383461,10.000899743023119,6.369677959611979
Neu5Ac(a1-Sp11,12.43964695184983,12.680110779484544,5.567086247086527,12.22700650540979
Neu5Ac(b1-Sp8,2.14429633679679,7.125487397305998,11.760435176011415,10.133696865080053
Gal(b1-Sp8,6.787039131744689,14.279346309501241,5.669804470100063,39.32718893008373
Glc(b1-Sp8,14.595201455843851,6.9524261436206505,2.598321448550942,14.015091452757876
Man(b1-Sp8,6.966487622898643,8.491469300961203,8.598748012889244,7.921776839142003
GalNAc(b1-Sp8,37.24193615995954,33.07152296917855,645.5905054755235,1727.3226752056655
GlcNAc(b1-Sp0,3.3386466479698047,3.893019932627284,4.287826886566979,17.34173476738991
GlcNAc(b1-Sp8,14.84385602359328,12.226795888914099,12.635219904563055,18.399076745768173
GlcN[Gc](b1-Sp8,6.6428070376912185,9.256378823051339,14.546209198046501,36.9506459435984
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,4.318344109628903,4.2310118713888425,1.2386352960684834,38.520371628128906
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,25.493359349380906,3.2865755156393486,8.064556991087603,136.03082078630808
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,6.728531273861556,4.487429455712924,7.303468695706627,31.2352198026923
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,15.742682986576135,5.631126116136392,4.165870983259883,22.062013327191334
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,19.852800824568806,1.883210583684148,3.701407780381232,17.03467466813401
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,14.282583235768895,19.71966775827288,3.8300183005437214,43.335229552514924
(3S)Gal(b1-4)Glc(b1-Sp8,16.537424562690127,5.680539264527033,2.0486917785097227,5.3437716346540585
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,10.361699871642683,11.930057551237388,8.9744140270642,21.626927585535526
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,10.952904176937118,6.0680769674172685,8.387038521979418,7.677291342437558
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,6.916361252554214,5.226661778723268,10.943997676466317,3.5035005951191103
(3S)Gal(b1-3)GalNAc(a1-Sp8,8.746573726275154,15.639594249212475,11.38184816491446,8.055852419773268
(3S)Gal(b1-3)GlcNAc(b1-Sp0,3.4025848125603955,1.1427246602601329,6.064251961770166,11.637345086688235
(3S)Gal(b1-3)GlcNAc(b1-Sp8,4.2918675821255245,6.865594886764487,8.902425391244043,5.938456688610258
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,3.0244515253458184,8.363829895598055,3.291249653627024,11.205161663864255
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,3.0233549260989303,4.196237472923413,5.654590705126235,6.798300904392702
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,9.764440860421386,9.812593444947838,11.183664792902194,13.471017335345053
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,8.026357843328865,5.281451857444124,4.165925266872496,11.355895358652553
(3S)Gal(b1-4)GlcNAc(b1-Sp0,8.442678848762268,10.778069017531235,5.596845560000738,46.826492463089764
(3S)Gal(b1-4)GlcNAc(b1-Sp8,2.0279089154019263,8.41346482149297,8.424583572448356,10.879367790915062
(3S)Gal(b1-Sp8,4.465147266328398,6.0670521646980085,3.5223840112202485,8.177863178677338
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,3.859112606977584,3.6528949801264985,8.499976184424497,16.854072028716573
(4S)Gal(b1-4)GlcNAc(b1-Sp8,8.9894299583826,2.647397056701797,5.4024622944079885,20.002621564414195
(6P)Man(a1-Sp8,6.942706846936575,20.639262944910765,5.411461324509918,14.448813027719613
(6S)Gal(b1-4)Glc(b1-Sp0,9.745297512604047,6.359510082021518,7.282616133128258,31.11128358843461
(6S)Gal(b1-4)Glc(b1-Sp8,7.823388066986487,14.856992463342905,4.587191970766719,27.646406756876488
(6S)Gal(b1-4)GlcNAc(b1-Sp8,5.069352201876164,3.3286694423848533,10.516465171181176,29.92123559173057
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,17.62207653399566,8.111682785289778,8.272260701636121,22.548722515920936
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,5.436959494055481,11.407049589727395,8.391130111959496,25.390165265101448
(6S)GlcNAc(b1-Sp8,18.28136201353717,12.392853321974904,3.8038114441307513,24.93858390986085
"Neu5,9Ac2(a1-Sp8",30.85907777283696,3.4083127957001595,10.738028913593357,11.51151461432623
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",5.788358672369914,8.164170806793548,7.2729840869595375,12.215931871672067
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,10.447257085115695,5.110329976299632,4.830197918995345,28.798854497169962
