IUPAC,ConA 0.1ug/ml,ConA 0.5ug/ml,ConA 1ug/ml,ConA 10ug/ml,ConA 50ug/ml,ConA 100ug/ml 
Gal(a1-Sp8,14.130675000000005,1.2381999999999973,-0.9123500000000018,53.37389999999999,-49.36484999999999,425.47315
Glc(a1-Sp8,4.033899999999997,4.0787999999999975,4.969699999999998,186.02599999999995,24.750875,700.631925
Man(a1-Sp8,12.360899999999996,20.2175,32.72017500000001,323.88087500000006,66.98605,7148.501324999997
GalNAc(a1-Sp8,3.208099999999998,-3.010275000000002,-4.230500000000001,22.904675000000005,-42.305725,-32.798625
GalNAc(a1-Sp15,27.0857,0.6319750000000006,-0.2373000000000012,62.01662499999996,62.73479999999999,5.170474999999996
Fuc(a1-Sp8,3.3274749999999984,2.5199250000000024,-7.717425000000002,15.766749999999998,-12.807075000000005,161.21684999999997
Fuc(a1-Sp9,5.827349999999999,-6.123350000000004,4.161474999999999,32.753825000000006,-20.392125,-68.05167500000002
Rha(a1-Sp8,-0.9696750000000024,-11.7984,-4.721425000000012,-10.590500000000002,-22.15895,591.550725
Neu5Ac(a1-Sp8,-13.856025,10.898775,0.4000499999999967,-9.580274999999991,-23.61157500000001,24.874549999999985
Neu5Ac(a1-Sp11,-6.6287,-10.925124999999998,-5.683925,7.416425000000004,-22.974975,36.333650000000034
Neu5Ac(b1-Sp8,-2.01615,11.049924999999995,4.786499999999998,-9.921850000000003,31.661300000000008,-107.26905
Gal(b1-Sp8,1.5860999999999983,5.610299999999995,-0.9826500000000014,47.290075,-11.721800000000027,120.36460000000014
Glc(b1-Sp8,18.744475,3.4786249999999987,7.968175,73.179375,-12.717625000000002,-53.20880000000001
Man(b1-Sp8,13.30435,11.0533,2.9354750000000003,167.77802499999996,-6.43515,-5.0543999999999984
GalNAc(b1-Sp8,12.95155,-1.4888750000000022,-5.3996499999999985,38.72602499999999,-6.175550000000001,195.324975
GlcNAc(b1-Sp0,14.766199999999998,10.309224999999998,20.271125,61.35035000000001,-10.626675000000006,-36.26734999999999
GlcNAc(b1-Sp8,7.937199999999999,-1.0214749999999997,4.502899999999999,35.3614,-30.824299999999994,-15.547600000000005
GlcN[Gc](b1-Sp8,8.866400000000002,8.312175,-5.170199999999999,51.62755,-11.345174999999996,-17.977024999999994
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,4.331400000000002,9.54185,2.657524999999998,5.976424999999999,94.37085,-21.361725
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,3.6991250000000018,12.982524999999995,4.835199999999999,20.672625000000004,-4.291100000000005,-15.975349999999995
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,5.201699999999997,-2.061675000000001,1.8297499999999989,12.98995,-3.683475000000009,-32.940125000000016
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,-15.620675,-1.5927499999999988,2.183250000000001,111.78265,-33.818425,1.7221249999999984
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,-9.283799999999998,-2.991875,-3.4598499999999985,42.3016,-14.3382,-47.52282499999999
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,27.619675,17.052324999999996,31.51655,16.087775,32.09852499999988,130.445075
(3S)Gal(b1-4)Glc(b1-Sp8,4.321899999999999,1.6557499999999976,1.9205249999999976,138.25615,-31.188675000000003,264.203925
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,2.037374999999999,6.623599999999998,8.475725,82.52982499999997,0.4476750000000038,105.60575000000006
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,-7.546400000000002,-0.9431999999999974,6.935074999999998,27.389925000000005,9.56302500000001,71.44639999999998
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,1.0545,-4.565574999999999,3.3388249999999946,21.449475,-3.6451250000000073,100.71542500000004
(3S)Gal(b1-3)GalNAc(a1-Sp8,-2.242024999999999,-2.2029750000000003,-1.908425,113.15645000000004,-35.96742500000001,-16.306499999999982
(3S)Gal(b1-3)GlcNAc(b1-Sp0,13.97845,-9.936975,-9.255674999999998,-1.357474999999999,-43.083075,-45.835225
(3S)Gal(b1-3)GlcNAc(b1-Sp8,4.009799999999997,8.463175,-2.0359250000000007,-7.873325000000005,-12.607150000000008,-58.41714999999999
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,2.6115250000000003,-1.5022249999999993,6.219474999999999,18.218975000000004,-27.4942,-10.849499999999976
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,-1.0349250000000012,3.4460999999999977,-7.5524,-13.053649999999998,28.811550000000025,-26.94364999999999
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,-2.6910000000000007,-6.379899999999999,-2.936325000000002,133.49004999999997,-42.7267,105.44229999999992
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,-6.50755,-1.2190999999999974,6.9763,-10.167075000000011,115.42927499999996,-43.722725
(3S)Gal(b1-4)GlcNAc(b1-Sp0,-7.6846999999999985,-3.687225,16.4263,24.604875000000003,4.267375000000001,-69.70877499999999
(3S)Gal(b1-4)GlcNAc(b1-Sp8,10.176,-7.398425,-0.20310000000000186,52.99692500000001,2.0679249999999967,-35.48592500000001
(3S)Gal(b1-Sp8,5.056149999999999,9.763975,-2.025450000000002,119.48100000000001,-7.3931749999999985,-3.681325000000003
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,1.0123749999999987,4.134149999999998,10.739925,234.40795,-9.086549999999997,174.72660000000005
(4S)Gal(b1-4)GlcNAc(b1-Sp8,1.7857499999999984,-2.4135249999999977,-1.5364500000000003,43.04367499999999,39.43840000000001,-31.274925
(6P)Man(a1-Sp8,23.8003,-7.73615,19.7037,119.08472499999971,-8.681774999999998,-27.042050000000003
(6S)Gal(b1-4)Glc(b1-Sp0,10.42295,6.655250000000002,2.012975000000001,30.09950000000001,32.99814999999998,-19.891324999999995
(6S)Gal(b1-4)Glc(b1-Sp8,1.9128999999999987,1.1411250000000015,3.1899,38.70325,6.709274999999997,-7.281374999999992
(6S)Gal(b1-4)GlcNAc(b1-Sp8,4.475275000000002,4.812000000000001,-1.6492000000000004,27.695,-32.076224999999994,-14.20075000000001
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,5.164200000000001,7.579424999999999,13.959474999999996,67.14590000000001,6.036875000000008,348.26739999999984
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,-3.0068499999999982,-2.8816000000000024,-5.09875,3.8126749999999987,22.051925,-10.352325000000008
(6S)GlcNAc(b1-Sp8,2.438399999999973,-2.2611000000000008,4.480499999999998,33.99132499999999,-20.9455,-23.03709999999999
"Neu5,9Ac2(a1-Sp8",-2.7595500000000013,3.688875,-3.728950000000001,-5.148600000000002,-35.786575,9.971674999999998
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",-9.442525000000003,-2.666125000000001,-2.856200000000001,32.4275,-37.576475,-21.142600000000016
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,281.14629999999994,510.208625,5073.0779999999995,38005.313725,31853.18587500001,35274.863775
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,553.190725,5813.811375,11399.87125,36419.060425,30536.092325,42504.80817500001
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,99.02044999999998,918.4175,997.292875,13193.546075000002,41515.3334,33083.8009
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,149.171425,1518.5201750000006,2486.048625,22475.2869,39765.1249,42923.24607500002
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,14.868150000000007,65.76357499999997,186.628275,8060.563699999999,37472.699525,38159.721475
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,-1.4582999999999997,20.589599999999987,20.236649999999987,3089.2627250000005,41415.6776,61880.1185
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,-1.8028750000000056,3.00995,108.52245000000002,4942.098899999999,32867.13327500001,52132.47532500001
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,10.684675,50.52605,100.893875,4795.331574999998,38630.88337499998,38424.50900000001
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,6.939949999999996,45.44772499999999,64.810025,3312.9954250000005,21011.7262,43022.163600000014
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,1.6035249999999959,5.386849999999999,8.508650000000001,44.902975,97.73104999999998,-174.11242499999997
