IUPAC,PSL 0.1ug/ml,PSL 1ug/ml,PSL 10ug/ml,PSL 100ug/ml
Gal(a1-Sp8,7.8179250000000025,5.857375000000001,6.55685,22.11795
Glc(a1-Sp8,3.93575,5.913325,7.958075000000001,81.6109250000004
Man(a1-Sp8,12.235725000000002,13.387775000000005,30.97025,12.149775000000005
GalNAc(a1-Sp8,4.076875,3.163025,6.505650000000003,5.36885
GalNAc(a1-Sp15,5.315575000000002,3.366,3.865549999999999,0.3052249999999992
Fuc(a1-Sp8,5.184925,5.774124999999999,1.161075,5.253274999999999
Fuc(a1-Sp9,2.159649999999999,-0.5611500000000005,6.6224,1.005250000000001
Rha(a1-Sp8,3.930125000000001,5.9576499999999974,1.0522749999999998,6.175324999999997
Neu5Ac(a1-Sp8,10.463075,3.1688000000000045,0.2900500000000008,13.0474
Neu5Ac(a1-Sp11,8.668600000000001,-3.0143500000000008,6.085775000000001,11.712925000000006
Neu5Ac(b1-Sp8,3.202325,4.386624999999999,2.304574999999999,14.684674999999995
Gal(b1-Sp8,5.770475000000001,1.0656999999999988,1.4691249999999991,22.7009
Glc(b1-Sp8,7.81915,4.88945,5.747150000000001,-1.1031499999999994
Man(b1-Sp8,9.165975,4.4606,7.863524999999999,12.339025
GalNAc(b1-Sp8,4.857375000000001,8.289975,1.1957750000000005,23.433575000000005
GlcNAc(b1-Sp0,6.959325,3.5918250000000014,2.1641499999999976,4.168650000000001
GlcNAc(b1-Sp8,3.3219000000000003,1.4057250000000003,5.887200000000001,-0.6009999999999991
GlcN[Gc](b1-Sp8,0.6597249999999999,6.369624999999999,6.788074999999999,7.543675
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,4.975324999999998,1.6517250000000008,2.317225,7.997950000000002
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,6.42935,2.0440750000000003,2.6781500000000005,6.712925
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,5.3233,7.7197,-3.9209,3.2767000000000017
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,11.434250000000002,1.24015,7.903625000000003,8.809175000000002
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,2.8745749999999988,1.2548500000000011,1.621525000000001,6.469949999999999
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,10.804624999999994,12.29015,5.958375000000001,46.19897500000005
(3S)Gal(b1-4)Glc(b1-Sp8,2.925225000000001,9.930524999999998,9.226224999999998,24.038625
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,4.5584,7.362174999999999,3.743524999999999,62.47527500000001
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,2.776425,0.4755000000000011,9.308449999999992,48.95227499999999
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,6.849549999999999,7.016925,11.0361,5.760699999999997
(3S)Gal(b1-3)GalNAc(a1-Sp8,14.173350000000005,6.819574999999999,14.65695,15.853775
(3S)Gal(b1-3)GlcNAc(b1-Sp0,3.571024999999999,7.31615,9.603424999999998,9.7081
(3S)Gal(b1-3)GlcNAc(b1-Sp8,8.811725000000003,-0.04362500000000047,2.400599999999999,7.5159
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,16.8119,13.432624999999998,15.741975,14.775625
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,-1.5266250000000008,13.803899999999995,-1.423125,1.4908499999999982
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,2.476925,10.736675000000002,9.456775,62.56875
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,9.913100000000002,0.14120000000000044,3.975475000000001,70.86384999999999
(3S)Gal(b1-4)GlcNAc(b1-Sp0,1.1514749999999996,0.8388749999999998,1.2125750000000002,56.70377499999999
(3S)Gal(b1-4)GlcNAc(b1-Sp8,6.6350750000000005,10.47345,1.242025,46.24602500000002
(3S)Gal(b1-Sp8,7.0317,6.543599999999999,2.3879999999999995,5.031625
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,5.9958,6.3142000000000005,0.6128250000000004,4.623850000000001
(4S)Gal(b1-4)GlcNAc(b1-Sp8,1.0060749999999996,3.5924250000000004,5.0302500000000006,5.387425000000001
(6P)Man(a1-Sp8,2.111075,5.6285500000000015,1.955074999999999,20.74395
(6S)Gal(b1-4)Glc(b1-Sp0,11.4347,10.03295,11.905100000000004,4.740125000000001
(6S)Gal(b1-4)Glc(b1-Sp8,8.209725000000002,0.8651250000000004,0.8745749999999983,4.600700000000002
(6S)Gal(b1-4)GlcNAc(b1-Sp8,8.842525,3.172074999999998,6.359249999999999,11.638975000000002
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,0.7082999999999995,3.315125,0.5536499999999993,13.328375
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,1.6796999999999986,5.523,12.45985,0.5041250000000002
(6S)GlcNAc(b1-Sp8,4.134525,7.3909249999999975,-0.6943499999999991,-5.360250000000008
"Neu5,9Ac2(a1-Sp8",3.918325,4.20865,3.84115,5.8859249999999985
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",1.58995,6.7661500000000006,9.803275000000003,5617.577525
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,2.987875000000001,13.15825,10.804175000000004,27.345875000000003
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,11.69885,5.22685,22.197475,55.996625000000016
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,2.9660500000000027,16.6763,11.3308,7.190424999999998
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,-1.064125000000002,5.1038,3.3195499999999987,19.947275
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,2.092175,1.667625,9.015775,19.5563
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,2.5663499999999995,20.318200000000004,6168.78325,25517.763574999994
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,4.804174999999998,19.4991,11154.2232,30974.459400000014
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,8.69275,89.24892500000001,9826.821199999997,27273.63637500001
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,9.2893,47.21595000000001,6976.589375000001,28354.117875
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,5.349549999999999,6.284549999999999,2.7704250000000004,16.750149999999998
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,10.286174999999998,5.265625,2.985575,7.865274999999998
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,4.15425,5.870075,3.382,5.341650000000001
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,5.031049999999999,6.3324000000000025,6.0940499999999975,3.7473249999999982
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,8.070375000000002,22.2153,6.1927,30.92525
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,1.1335499999999992,8.293174999999998,2.142875000000001,15.01495
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,0.82,3.404875000000001,9.254925,8.34665
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,-0.4657750000000007,8.44415,1.3040500000000006,4.294725000000003
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,0.7484499999999983,0.12222500000000115,4.187075000000001,9.064425000000002
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,6.945,9.1086,9.507375,1.7671500000000009
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,4.74905,3.5556500000000018,6.806225,12.167075
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,3.4841750000000005,0.850625,-0.2866249999999999,14.32775
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,6.711849999999999,3.2796999999999983,2.5843999999999987,17.89915
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.147025000000001,5.906074999999999,-1.01905,1.8824000000000003
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,2.5123000000000006,1.4830500000000009,3.0062,4.43605
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,9.2067,2.5993249999999994,4.46945,0.9980249999999992
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-0.5854999999999997,0.2240749999999992,8.280850000000001,10.295699999999997
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,2.722699999999999,-1.578125,14.096349999999996,4.2157
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,5.2777,4.613774999999997,8.713674999999999,2.944799999999999
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,7.944425,5.1378,4.165674999999999,11.382024999999995
Fuc(a1-2)Gal(b1-Sp8,3.78205,-0.7337500000000006,24.61255,25.504975
Fuc(a1-3)GlcNAc(b1-Sp8,9.32415,5.637350000000002,4.271500000000001,12.410025
Fuc(a1-4)GlcNAc(b1-Sp8,-2.6515750000000007,8.879250000000003,7.126774999999998,20.475349999999988
