IUPAC,EEL (0.1ug/ml),EEL (1ug/ml),EEL (10ug/ml),EEL (100ug/ml)
Gal(a1-Sp8,9.472031944053322,5.824812429240385,5.7414391050212,3.7414972733742182
Glc(a1-Sp8,4.499217538176331,4.228525422551783,5.568401899034108,13.11259721956334
Man(a1-Sp8,21.490285358020877,8.272532125604936,13.566784763623984,27.33739052079889
GalNAc(a1-Sp8,4.571002807827474,15.062574370355824,6.893686439295987,5.1801272809330285
GalNAc(a1-Sp15,8.08364051732468,12.54913921599806,11.923841384490993,2.215531524638412
Fuc(a1-Sp8,6.074760317562608,23.570677145484535,8.84356932277159,3.4444821956040337
Fuc(a1-Sp9,6.510982312728755,10.152975765590435,14.355895901771508,15.809663474254188
Rha(a1-Sp8,6.2316379170461,6.062967368307923,9.915702378676963,31.214549512793976
Neu5Ac(a1-Sp8,33.2202565878486,5.4690509914122,4.622448891370572,7.358950898678873
Neu5Ac(a1-Sp11,14.992575185626595,35.06052185492965,13.351470776035619,17.732610722244672
Neu5Ac(b1-Sp8,3.7213885843638175,8.202285838055548,5.681739270314447,6.274073440423959
Gal(b1-Sp8,17.209282384491427,7.802927508313787,11.787012485323277,14.32430437799106
Glc(b1-Sp8,4.1952936944271295,10.15347424431658,7.512430024687972,8.854272159951938
Man(b1-Sp8,3.1218958145118623,2.5113444321053744,6.052194198456732,6.601967800083044
GalNAc(b1-Sp8,10.832106445924182,13.418174019093144,14.679464587420522,6.218444508811404
GlcNAc(b1-Sp0,19.557401651783053,2.960033468842345,12.283182419979775,15.34194413155756
GlcNAc(b1-Sp8,2.7463399332869907,2.679466743433601,7.297691167759839,5.99756940018205
GlcN[Gc](b1-Sp8,14.475287461624616,9.926329080111476,10.895017120072216,12.273980874054947
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,5.59075866609354,9.80357753254733,1.40706190576913,12.558137226615255
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,8.19438156111653,7.1628803168371675,5.363954121960778,4.543787191319597
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,13.716148924777189,1.6970740250992746,9.649777496743994,4.338922341626619
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,4.823660456109379,9.006605076461014,6.739400076354473,11.146968116039442
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,4.980748909551652,3.6744409882094122,9.266671810670033,5.209705739210872
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,4.709725718128198,15.130024075630756,6.821647911062256,12.237149665669715
(3S)Gal(b1-4)Glc(b1-Sp8,5.249712603800309,4.300711865397018,4.473255334671459,4.7435051037357105
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,6.926545848882157,7.570907939826865,8.356440052837485,7.253268648225667
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,11.29143660844359,6.367861099039983,28.06796367788969,10.202345646100225
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,11.497233404461564,5.839679538796061,5.090680333380488,6.383504255174684
(3S)Gal(b1-3)GalNAc(a1-Sp8,14.61890067971369,9.24642309558134,6.469463436277641,14.097226377790301
(3S)Gal(b1-3)GlcNAc(b1-Sp0,3.478625526818517,8.708585306657637,1.8209755929171592,8.605588629634813
(3S)Gal(b1-3)GlcNAc(b1-Sp8,11.2697604493914,12.713118088907224,6.287970576161015,3.5382824929618004
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,17.045511073862425,10.453120216590836,9.580065681881678,12.352657749245706
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,12.86441911747281,6.781864537807183,5.722602644703425,7.69663396443536
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,2.3893144581656944,10.290775970903908,16.78376329532006,12.106462481219134
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,4.874551403890076,7.805144227740658,3.3353516130237333,11.508775376316107
(3S)Gal(b1-4)GlcNAc(b1-Sp0,5.556108377872658,4.026127643592539,5.533327261844058,4.954902792437002
(3S)Gal(b1-4)GlcNAc(b1-Sp8,1.7441598197030537,17.133475782514186,6.180145282744852,4.5050646095070945
(3S)Gal(b1-Sp8,4.5976564148668935,8.423835188321291,10.619381146556208,9.938580966910383
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,2.2035726067759445,11.474289166218533,5.473461787190384,4.433327419576255
(4S)Gal(b1-4)GlcNAc(b1-Sp8,6.585335374400714,7.4127746928303875,10.537015804415402,2.626979612121117
(6P)Man(a1-Sp8,1.9504086005672423,4.928334817494995,5.174860887663235,7.208376712547697
(6S)Gal(b1-4)Glc(b1-Sp0,2.9729263040254845,9.408678172260258,4.171894119282031,6.472248429191098
(6S)Gal(b1-4)Glc(b1-Sp8,5.336125900797947,6.578034942835639,4.4490281728148116,5.579738701991338
(6S)Gal(b1-4)GlcNAc(b1-Sp8,7.340913012471039,8.001137622603009,10.813593897497721,0.7927066733666336
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,19.85322374695523,6.003849695195572,10.001618528476607,8.459247374471335
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,5.758113325850173,4.438398062364398,8.148137634453652,9.818416081867106
(6S)GlcNAc(b1-Sp8,6.625095986474463,7.583305330790777,19.31322789219434,4.052498257762326
"Neu5,9Ac2(a1-Sp8",6.177752730834514,9.307709855947381,4.89176548454986,4.857008411477861
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",8.390620182630517,8.034706716230117,6.983488307190517,4.5967624761890855
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,3.6082699704983257,2.4350783551732618,8.862488432103408,4.132278463108055
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,2.2676156545293606,3.393365437020697,10.675924442876127,10.129810190184537
