IUPAC,DBA (0.1ug/ml),DBA (10ug/ml),DBA (100 ug/ml)
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,-3.893025,5.4681,-3.350075
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,2.479175,24.172625,3.49805
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,16.25705,8.3399,10.5187
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,-6.0332,5.2673,-10.12555
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,-0.51255,-0.03825,4.276375
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,-1.079025,2.587,-16.6901
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,7.229225,-14.197625,2.716975
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,-7.448225,-12.6341,-20.2179
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,22.27275,13.224775,-0.5988
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,16.5659,53.27765,-7.466
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,46.2172,14.81295,43.0909
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,11.032,4.117525,-4.4138
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,35.562725,-2.47855,3874.687925
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,9.44815,-5.523925,704.8301
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-1.868775,9.249725,2387.502925
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,31.670775,1.84985,121.029225
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,17.9981,-3.917975,995.756175
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,31.1824,9.309275,24.40765
Fuc(a1-2)Gal(b1-Sp8,22.76075,6.8199,338.550125
Fuc(a1-3)GlcNAc(b1-Sp8,17.799225,1.002275,46.4708
Fuc(a1-4)GlcNAc(b1-Sp8,-0.289125,-1.62305,67.23895
Fuc(b1-3)GlcNAc(b1-Sp8,11.407225,2.95995,17.041075
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,-2.879225,22.663375,-4.333225
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,37.743575,101.982575,71.498675
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,7.588325,2.463625,3.556975
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,4.67055,4.587,4749.62645
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,2.30295,86.28475,947.204725
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,-6.50765,109.3354,1463.17195
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,7.172125,0.62345,6.983825
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,-13.109875,13.29085,505.68505
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,12.4804,-3.09365,22.0016
GalNAc(a1-3)GalNAc(b1-Sp8,1598.47715,18817.14837,28979.22148
GalNAc(a1-3)Gal(b1-Sp8,1.33465,20.935825,120.200675
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,8.319075,147.208675,74.158125
GalNAc(b1-3)GalNAc(a1-Sp8,13.6038,-9.3234,2.974375
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,-3.5644,-10.96425,2.677975
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,2.82555,-13.761125,9.7417
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,6.1960000000000015,36.861775,19.173525
GalNAc(b1-4)GlcNAc(b1-Sp0,14.342325,191.18595,1038.9719
GalNAc(b1-4)GlcNAc(b1-Sp8,12.004925,20.4762,113.5806
Gal(a1-2)Gal(b1-Sp8,2.313075,-5.6403,12.691175
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,7.92955,10.8094,-2.2325
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,7.9176,13.231275,15.101075
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,30.09725,38.6744,26.93195
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,10.79965,10.93815,22.4457
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,3.020875,1.149925,6.642175
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,19.999475,3.433775,28.7039
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,13.3427,18.924375,14.49375
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,64.27265,30.403425,56.626475
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,26.7006,15.269725,10.108775
Gal(a1-3)GalNAc(a1-Sp8,34.603925,70.01095,55.4053
Gal(a1-3)GalNAc(a1-Sp16,0.2217,-3.76205,-6.5935
Gal(a1-3)GalNAc(b1-Sp8,-13.418425,15.662825,-12.2823
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,0.097775,2.486375,6.773375
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,7.28735,2.26285,0.914125
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,9.929975,7.878975,-0.7529
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,-7.811725,5.02325,-7.549425
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,17.053575,10.563775,18.639075
Gal(a1-3)Gal(b1-Sp8,-13.652975,6.196675,-5.4431
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,32.556225,20.20715,8.8813
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,8.49275,37.985825,7.967275
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,-1.711075,5.968725,12.703325
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,27.221275,47.430825,49.3844
Gal(a1-4)GlcNAc(b1-Sp8,3.79775,-13.619875,0.873275
Gal(a1-6)Glc(b1-Sp8,-0.023425,7.024775,14.150375
Gal(b1-2)Gal(b1-Sp8,11.054725,5.926625,-1.266525
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,9.36255,9.96275,27.491175
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,4.2124,-0.748875,40.802725
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,7.46825,3.90695,31.787525
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,5.0815,-3.399525,49.562975
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,14.6007,-7.657525,3.50445
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,-2.49865,-15.439325,8.821825
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,35.27325,18.619425,21.361475
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,32.1221,29.853975,-7.67605
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,-3.420075,-16.532425,-8.671325
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,-2.2012,14.227375,-8.8755
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,2.703425,4.314625,2.949975
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,-6.144225,9.496025,-12.962825
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,-4.321175,-9.92195,-0.795475
Gal(b1-3)GalNAc(a1-Sp8,-11.311325,14.655225,-21.2391
Gal(b1-3)GalNAc(a1-Sp14,30.2918,7.80615,2.94185
Gal(b1-3)GalNAc(a1-Sp16,12.099525,-2.715425,-14.201075
Gal(b1-3)GalNAc(b1-Sp8,-7.776475,-7.26135,-4.87365
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,6.7837,12.4795,28.71945
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,6.286175,-0.087525,-5.15345
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,13.76515,11.234025,19.4471
Gal(b1-3)Gal(b1-Sp8,-2.521925,-9.048975,-5.68625
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,0.7044,-8.743825,-3.336475
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,1.582825,-4.7812,-6.67495
Gal(b1-3)GlcNAc(b1-Sp0,9.992,-8.99665,0.649575
Gal(b1-3)GlcNAc(b1-Sp8,-1.82055,4.266075,1.5207
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,10.669525,-11.35945,17.45815
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,18.6281,-11.79405,3.9164
