IUPAC,CA 0.1ug/ml,CA 1ug/ml,CA 10ug/ml,CA 100ug/ml
Gal(a1-Sp8,11.56594890486725,7.161020858555473,11.714017327223823,24.14474102661905
Glc(a1-Sp8,8.556536252674514,3.9369232448491203,3.3335559197349376,11.937613689057267
Man(a1-Sp8,10.05188293683494,5.929450086643782,7.4361054683662475,24.551284161169672
GalNAc(a1-Sp8,11.586004343459676,8.004716175428483,14.210607643206766,30.473802820838362
GalNAc(a1-Sp15,12.460539663373368,15.426076641923578,15.188504511279788,13.746679381187539
Fuc(a1-Sp8,8.786643328133533,8.493532885034575,9.597826088364995,9.00946013569442
Fuc(a1-Sp9,3.2242054695692066,10.581715901339756,3.5444250586895816,9.334030376843296
Rha(a1-Sp8,6.143019520561535,6.687013327026746,9.361294779525263,5.500047143131292
Neu5Ac(a1-Sp8,6.204417904472039,8.989148916471446,12.896540304638547,8.706480376660062
Neu5Ac(a1-Sp11,3.2723617509631584,11.624503873714346,4.345018055486073,4.520037849767784
Neu5Ac(b1-Sp8,4.318569973478875,4.5603430971072045,10.019160257726194,30.086906865390247
Gal(b1-Sp8,25.231799770048784,6.0664627271582185,14.093385700982823,18.24827680328109
Glc(b1-Sp8,5.390946532227313,8.3808860261013,4.461134169972912,24.5887647175663
Man(b1-Sp8,16.091287386113624,2.9367397312609533,15.941680587143235,27.609977345080036
GalNAc(b1-Sp8,17.628870464737663,8.639716025956337,2.378346224445312,8.113616086554757
GlcNAc(b1-Sp0,4.2605804628008235,8.446740591247853,9.553184831379532,13.037675727003643
GlcNAc(b1-Sp8,7.616186968337018,13.489782391221144,4.90878765777933,4.6787175895217334
GlcN[Gc](b1-Sp8,6.113957830789068,10.111800193626914,3.161459408116237,22.36040619256875
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,14.471279873597915,6.5629180610330105,7.2394161304049,10.066506901933092
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,8.585606813149559,9.078053932928944,4.125505449739865,46.85013809452248
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,9.283553114828036,2.4963075378112642,2.285928268596064,9.28869445813924
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,8.035341516233144,3.0171949854127984,2.1874188442106246,8.04299385194967
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,6.0110172866163,4.939979723558264,14.0757676423881,7.059109600603566
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,6.990517759734723,17.042031928343153,11.767490928365595,60.650603103424864
(3S)Gal(b1-4)Glc(b1-Sp8,2.5839439216051083,1.6134593363329806,5.812360281546567,15.696882673612823
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,4.04731999836518,1.907237465332153,6.314798825708272,21.581359952977948
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,9.9006182976536,5.093855133066377,4.241282779615932,8.6524629905305
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,10.019452647184217,3.433420530122496,12.052953268528562,3.3148858928324865
(3S)Gal(b1-3)GalNAc(a1-Sp8,4.2714226299130535,10.01099926897077,3.9075225197687633,13.128524847921787
(3S)Gal(b1-3)GlcNAc(b1-Sp0,13.19243544359165,18.998495486463295,3.6108595332921474,4.520152794615097
(3S)Gal(b1-3)GlcNAc(b1-Sp8,8.754404647185709,16.38734118702604,3.347113642130087,6.296639902559142
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,5.0833039461718865,9.126962617979764,3.2908284320466543,8.941901762069419
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,5.336533477829967,13.015394846968725,3.8471993305736913,7.399045081799407
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,11.137279677244672,3.0638866308443378,11.39157718883415,16.009495628818748
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,8.662704091679467,4.642883900479673,5.0967484473763625,8.269990989515447
(3S)Gal(b1-4)GlcNAc(b1-Sp0,5.881791577048037,5.788951281248315,26.107141520456963,9.958528688976433
(3S)Gal(b1-4)GlcNAc(b1-Sp8,10.433633893767148,2.2677748043695525,18.53431061724894,5.056564019420678
(3S)Gal(b1-Sp8,16.248009713397714,4.810048174741426,4.0422770258028216,10.957202778385847
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,4.211123553162488,3.44360348895843,6.2120682677618095,4.614753755077296
(4S)Gal(b1-4)GlcNAc(b1-Sp8,4.957808162888114,8.40837644277023,11.875207074791017,5.6810129838348375
(6P)Man(a1-Sp8,10.041795191597961,2.5037118462727834,2.305603275175499,7.783532293888163
(6S)Gal(b1-4)Glc(b1-Sp0,3.4405057583636385,1.190052882228345,10.956327616914603,29.88998343470044
(6S)Gal(b1-4)Glc(b1-Sp8,7.879751405977218,15.346880208150885,12.868444481625069,17.479670136475686
(6S)Gal(b1-4)GlcNAc(b1-Sp8,9.245875407805727,3.558544163465353,11.793684234792805,15.858726388017391
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,11.959451756247015,6.129933483054013,3.004464825749616,6.9925075823460245
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,20.24119562912889,3.545279583239287,9.24321312761423,11.567872729100618
(6S)GlcNAc(b1-Sp8,12.743561311338107,7.821284723698954,8.08331862020998,5.479543034779455
