IUPAC,CA 0.1ug/ml,CA 1ug/ml,CA 10ug/ml,CA 100ug/ml
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,29.187225,887.6676249999997,11413.851600000002,39482.233525
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,225.204675,3565.551675,18253.6297,38043.30207499999
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,464.2896,5146.007825,20165.143300000003,37710.44357500001
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,91.56842500000002,1025.292025,13166.316325,37080.561175
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,9.158899999999996,0.8203749999999994,1.570549999999999,11.312150000000004
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,7.868550000000001,3.23375,10.071275000000002,3.7001000000000026
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,15.002874999999998,12.992025,15.297925,9.597899999999996
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,2.9184750000000013,11.153100000000002,8.5363,-9.19385
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,20.122075,6.528224999999997,6.002225,18.358125
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,8.781775000000003,12.721050000000002,3.6475,5.390874999999999
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,7.247074999999999,5.676075000000001,5.656825,-6.6282
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,6.9909250000000025,-0.4755749999999997,-1.5361000000000002,35.755799999999994
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,0.3544999999999998,10.900825,6.757974999999997,-2.646075
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,4.673699999999998,5.807125,8.330974999999999,-73.55067500000001
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,-0.2854499999999991,1.911625,3.172675,-3.135024999999999
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,9.211600000000008,2.0379749999999985,12.866425,-77.92122499999998
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.353199999999998,10.483625,9.038724999999998,-5.426300000000002
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,12.61709999999999,8.027375,11.499924999999998,-98.393925
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,4.558300000000003,3.3885249999999987,2.412375,18.643600000000006
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,9.538199999999998,4.9953,0.8060249999999995,5.392700000000001
