IUPAC,HPA (0.1ug/ml),HPA (1ug/ml),HPA (10ug/ml),HPA (100ug/ml)
Gal(a1-Sp8,10.547899999999998,0.03957500000000103,51.929825,6.5342
Glc(a1-Sp8,2.354725,13.38395,19.278075,21.527125000000005
Man(a1-Sp8,39.41785,9.438600000000003,39.79559999999999,47.914625
GalNAc(a1-Sp8,13.143900000000002,-9.153775,28.950375000000008,5207.8698749999985
GalNAc(a1-Sp15,52.55182500000001,3.7126250000000014,57.192250000000016,68.29202500000002
Fuc(a1-Sp8,14.613549999999998,-3.1111249999999977,11.128850000000002,7.174874999999997
Fuc(a1-Sp9,3.605175000000002,-4.973799999999997,14.815674999999995,-2.9128250000000016
Rha(a1-Sp8,17.864375,-7.999125000000001,37.259575,0.2333500000000015
Neu5Ac(a1-Sp8,-0.23727500000000035,-1.3409749999999951,5.382099999999998,-3.0855500000000013
Neu5Ac(a1-Sp11,5.085625,-5.040325000000001,4.392400000000002,8.969050000000003
Neu5Ac(b1-Sp8,4.982100000000001,0.01282499999999942,3.812249999999997,-2.7310750000000006
Gal(b1-Sp8,3.779675000000001,1.0188999999999968,10.637300000000003,-1.454675
Glc(b1-Sp8,5.711224999999999,2.066275000000001,-0.8456500000000027,21.334625000000013
Man(b1-Sp8,4.274750000000003,5.7090250000000005,21.196200000000005,20.522150000000003
GalNAc(b1-Sp8,11.147474999999998,5.964499999999999,19.116125,1545.5448500000002
GlcNAc(b1-Sp0,25.650725000000005,11.517125,11.626475,7.3629
GlcNAc(b1-Sp8,19.834675,5.897124999999999,20.1404,0.7659999999999982
GlcN[Gc](b1-Sp8,24.913625000000003,2.326549999999996,42.384675,-8.14255
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,6.89875,-4.3541500000000015,11.668125,12.88915
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,46.02919999999999,-7.767525000000001,42.9211,10.174525000000003
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,18.241875,-4.642775,10.7163,-1.1769750000000023
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,1.027899999999999,-7.891624999999999,4.230100000000002,-10.1164
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,1.6334999999999995,-2.2189750000000004,7.98615,-11.07895
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,65.86212499999999,5.343000000000004,105.67735,50.19137500000001
(3S)Gal(b1-4)Glc(b1-Sp8,5.43375,3.5414249999999976,14.264025000000002,3.4238750000000007
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,6.247874999999999,-3.131400000000002,5.4388,5.107424999999999
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,11.052699999999993,-5.441474999999999,6.031850000000002,4.7011249999999976
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,8.184724999999998,-1.094850000000001,2.039300000000001,11.39235
(3S)Gal(b1-3)GalNAc(a1-Sp8,16.6597,4.729825000000004,41.952,6823.5419
(3S)Gal(b1-3)GlcNAc(b1-Sp0,12.231675000000005,3.611349999999996,-0.5450499999999989,-5.448924999999997
(3S)Gal(b1-3)GlcNAc(b1-Sp8,0.046899999999997284,-6.670200000000001,1.822825,-0.8223500000000001
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,14.649200000000008,-2.1289,29.141575,7.37285
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,7.866699999999998,-0.648575000000001,5.557124999999999,-2.404774999999997
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,20.676025,-7.011375,9.550425,-0.7037000000000013
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,5.717625,-2.9777000000000005,0.0471749999999993,-0.70505
(3S)Gal(b1-4)GlcNAc(b1-Sp0,6.658774999999998,-3.08375,9.479925,6.6975
(3S)Gal(b1-4)GlcNAc(b1-Sp8,-1.44,-3.89465,3.742899999999999,9.093124999999992
(3S)Gal(b1-Sp8,10.8276,-0.04082499999999989,15.466750000000005,7.636950000000002
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,9.946875,-7.9679249999999975,8.338399999999995,1.3107250000000017
(4S)Gal(b1-4)GlcNAc(b1-Sp8,-5.287650000000003,3.678775,18.336649999999995,8.602175
(6P)Man(a1-Sp8,6.328149999999997,3.4854000000000043,11.944350000000002,12.311675
(6S)Gal(b1-4)Glc(b1-Sp0,9.3601,1.1159750000000024,6.695125000000001,17.837925000000006
(6S)Gal(b1-4)Glc(b1-Sp8,16.3078,1.0227000000000004,14.691075,3.2654500000000013
(6S)Gal(b1-4)GlcNAc(b1-Sp8,12.405749999999998,-8.440775,26.449525,-10.604774999999997
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,11.057750000000002,-2.4036750000000024,4.072925000000003,-9.28395
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,-0.5074749999999995,-9.612300000000003,1.8517,-12.257025000000002
(6S)GlcNAc(b1-Sp8,-3.9585250000000034,-7.718875000000002,-3.507325,4.966124999999998
"Neu5,9Ac2(a1-Sp8",0.8884749999999997,-6.858975000000001,-0.05547500000000305,-21.925975
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",-0.3756000000000004,4.303425000000002,6.009224999999998,2.193225
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,32.619575,8.841025,16.53505,13.969449999999998
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,14.86935,-0.12717499999999934,16.816799999999994,18.86257499999999
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,13.590674999999996,4.396825,27.175825000000003,16.347900000000006
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,1.8737000000000013,-2.8944750000000026,13.800774999999994,31.62945
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,4.62055,0.2072250000000002,2.7142250000000026,-3.3969499999999986
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,12.320449999999996,-3.9185500000000015,5.189624999999999,-0.5617000000000001
