IUPAC,WFL (0.1ug/ml),WFL (1ug/ml),WFL (10ug/ml),WFL (100ug/ml)
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,24.59715000000001,15.55735,20.186399999999995,20.629600000000003
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,15.4681,9.728824999999997,-0.033124999999998295,7.849425
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,-0.8630500000000012,5.7101500000000005,-5.356274999999998,2.3903
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,124.49980000000002,2322.1649,18938.07085,32552.928300000003
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,4.2329750000000015,2.8631999999999915,8.243275000000004,13.12315
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,8.296675000000002,13.021374999999995,3.5565999999999995,-1.5020499999999988
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,0.4760750000000016,30.313425,433.96975,627.2357999999998
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,32.959175,20.185775,-8.643674999999995,11.113474999999996
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,6.6289750000000005,-0.05675000000000096,9.367199999999997,23.1212
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,6.7981500000000015,12.399399999999995,3.6932999999999936,6.766074999999997
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,3.297775000000001,3.939824999999999,11.293424999999996,10.933550000000006
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,3.20805,3.5947999999999984,4.3935749999999985,1.8642500000000024
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,9.9837,0.7529500000000011,2.0806000000000004,3.827399999999999
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,14.545425,5.590924999999998,121.15357499999998,614.332875
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,1.9363499999999991,3.5996250000000005,12.211325000000002,12.580925
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,4.3254499999999965,2.1610499999999995,4.68735,8.452000000000002
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,4.814325,-5.914299999999999,-5.518600000000002,-10.738450000000002
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,1.3520999999999992,-0.5325250000000006,-6.3614,-7.225399999999999
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,4.383074999999995,2.7438750000000014,-4.523250000000003,-7.078199999999999
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.9119,9.896324999999996,-11.596325000000006,-9.366625
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,2.549599999999999,1.2052000000000014,11.974125,-4.125099999999998
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,16.777549999999994,13.014975000000002,7.348999999999997,2.789175
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,11.158075000000002,3.831399999999999,1.664675,9.051775
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,5.678825,20.134325,84.416,27.81147499999999
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-4.1920249999999974,9.778025,54.771225,16.021599999999996
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,7.168399999999999,4.612349999999998,7.973449999999998,5.172275000000001
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,4.460550000000001,13.2146,-2.9266750000000012,-1.7064500000000002
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,1.993325000000001,16.059349999999995,-0.36545000000000094,18.473125
Fuc(a1-2)Gal(b1-Sp8,4.4551750000000006,2.169225000000001,-7.652674999999999,21.37695
Fuc(a1-3)GlcNAc(b1-Sp8,7.6380250000000025,4.903449999999999,-0.11620000000000096,-4.879324999999998
Fuc(a1-4)GlcNAc(b1-Sp8,5.0341000000000005,-0.7438749999999992,8.229199999999997,-7.1032249999999975
Fuc(b1-3)GlcNAc(b1-Sp8,10.493325,3.161525000000001,6.218949999999998,0.2041250000000021
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,0.4237000000000002,6.3996999999999975,16.711474999999993,2.255775
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,25.569800000000008,13.191925,22.11762500000001,29.394075
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,10.397375000000002,5.373349999999998,4.712824999999999,15.712475
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,-1.51675,6.9736499999999975,50.01770000000001,21.007425000000005
