IUPAC,UDA 0.1ug/ml,UDA 1ug/ml,UDA 10ug/ml,UDA 100ug/ml
Gal(a1-Sp8,4.837624999999999,23.345074999999994,3.1671999999999936,9.8395
Glc(a1-Sp8,10.4041,25.562975,22.92060000000001,20.709275
Man(a1-Sp8,15.753275000000002,17.25565,36.529175,19.045475000000007
GalNAc(a1-Sp8,-2.19465,12.583950000000005,-6.84875,5.2792
GalNAc(a1-Sp15,0.13642500000000002,7.616724999999999,20.744725,20.62102499999999
Fuc(a1-Sp8,4.50595,-4.400724999999998,2.139775000000002,-0.2775999999999996
Fuc(a1-Sp9,1.6503249999999987,1.4322250000000007,-2.673600000000002,16.2598
Rha(a1-Sp8,-0.1312749999999987,10.806725000000005,-2.4899250000000013,18.482825
Neu5Ac(a1-Sp8,-5.923375,-5.602224999999976,-7.927575000000001,-1.2937000000000047
Neu5Ac(a1-Sp11,4.12945,6.1489249999999975,-3.2089000000000034,0.23967500000000186
Neu5Ac(b1-Sp8,3.9566,0.7856500000000004,13.2604,12.23625
Gal(b1-Sp8,16.927300000000002,7.415899999999999,7.948924999999999,41.983525
Glc(b1-Sp8,6.9026250000000005,55.13285,42.92054999999996,37.6245
Man(b1-Sp8,35.08485,36.003449999999994,2.5961750000000023,48.78932500000001
GalNAc(b1-Sp8,0.9272250000000009,6.3596999999999975,9.5144,19.84465
GlcNAc(b1-Sp0,20.186775000000004,2.7047999999999988,7.034575000000002,38.31915000000001
GlcNAc(b1-Sp8,4.795749999999998,6.941774999999998,6.352725,8.40215
GlcN[Gc](b1-Sp8,11.309700000000005,13.75625,8.236324999999997,29.353375
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,0.5116500000000013,3.1335500000000014,3.1497499999999987,33.09452500000001
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,5.940750000000001,5.851875,3.759725000000003,16.755674999999997
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,1.2075,-5.157325000000003,-4.843149999999998,1.3254749999999973
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,0.8786749999999994,-4.1,-1.5655,9.318900000000006
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,2.3412000000000006,2.5055750000000003,-0.957725,16.618375
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,20.9702,-1.6532999999999998,9.28865,29.614125
(3S)Gal(b1-4)Glc(b1-Sp8,14.82,6.890874999999999,8.431750000000001,19.367025
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,20.582875,10.480250000000002,17.910375,14.074349999999995
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,12.64625,6.278800000000002,7.385800000000002,39.76682500000001
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,4.585224999999999,6.2961750000000025,4.901975,5.6380250000000025
(3S)Gal(b1-3)GalNAc(a1-Sp8,10.231500000000004,42.41414999999999,21.87045,39.56452499999999
(3S)Gal(b1-3)GlcNAc(b1-Sp0,3.715075,8.781625000000005,0.5632499999999991,13.887874999999996
(3S)Gal(b1-3)GlcNAc(b1-Sp8,7.550524999999999,-0.7685749999999985,-1.3380500000000026,16.52365
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,36.006675,18.282975,10.195375,33.87445000000001
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,-7.242175000000002,-7.883474999999999,-2.4846250000000007,12.6467
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,5.822449999999999,27.05315,502.5404500000001,4535.052674999999
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,13.03345,122.49909999999996,753.2181,7023.356175000001
(3S)Gal(b1-4)GlcNAc(b1-Sp0,0.3043999999999976,12.765475,227.95695,2765.715525
(3S)Gal(b1-4)GlcNAc(b1-Sp8,0.4715250000000015,28.042075,384.556325,3987.81385
(3S)Gal(b1-Sp8,45.16525000000002,11.4601,4.224575,53.99177500000001
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,7.604149999999999,0.6113749999999979,8.451825,14.289074999999995
(4S)Gal(b1-4)GlcNAc(b1-Sp8,7.838849999999997,-8.039975,145.935575,2662.0182
(6P)Man(a1-Sp8,12.690925000000005,18.041575,7.0404500000000025,22.55785
(6S)Gal(b1-4)Glc(b1-Sp0,13.98005,5.2667500000000045,28.890725000000003,19.6549
(6S)Gal(b1-4)Glc(b1-Sp8,3.8349500000000014,0.2276250000000033,7.135325000000003,20.7567
(6S)Gal(b1-4)GlcNAc(b1-Sp8,-0.7148999999999983,-4.6628250000000016,2.4962,8.753000000000002
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,8.772825,2.4127249999999982,30.625424999999986,14.390274999999995
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,3.612350000000001,9.051375000000002,-3.8863749999999992,8.692000000000002
(6S)GlcNAc(b1-Sp8,-2.093600000000001,2.761325,4.553375000000003,-1.3705249999999989
"Neu5,9Ac2(a1-Sp8",8.1544,3.2828000000000013,0.8906250000000009,3.807675
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",-0.011874999999999858,1.88335,0.11349999999999838,11.405400000000006
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,1498.5057,6455.430825,11622.982974999995,18325.430075
