IUPAC,ABA 1ug/ml,ABA 10ug/ml,ABA 100ug/ml
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,64.25805,84.33265,56.66997500000001
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,32.23860000000001,22.40955,53.70575
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,21.26235,30.02005,68.138925
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,51.22194999999999,9.916600000000004,17.83645
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,8.471375000000002,10.921324999999996,6.577250000000001
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,32.266675000000006,7.44455,433.18005000000005
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,63.830625,29.043675,22.03735
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,10.74045,-4.818674999999999,12.068375000000017
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,16.723874999999996,19.067025,27.68835
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,26.211299999999994,-17.684275000000007,31.5329
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,19.193625,18.632725,40.48695000000001
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,29.416349999999994,8.852124999999997,27.2039
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,3.65625,-2.714375,6.516
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,45.463774999999984,34.82085,33.200225
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,44.93407500000002,22.65765000000001,44.668375
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,16.655900000000006,-2.5847250000000024,38.70955
