IUPAC,CAA 0.1ug/ml,CAA 1ug/ml,CAA 10ug/ml,CAA 100ug/ml
Gal(a1-Sp8,3.0787250000000017,12.179099999999998,4.464550000000001,58.67755000000001
Glc(a1-Sp8,19.15025,8.2539,5.908050000000001,29.389025000000004
Man(a1-Sp8,21.82747500000001,11.319699999999996,6.141724999999999,11.432125
GalNAc(a1-Sp8,-3.384100000000001,2.477525000000001,6.650625,6.032975
GalNAc(a1-Sp15,14.305699999999995,4.696475,23.963125,40.80435000000001
Fuc(a1-Sp8,15.323574999999995,6.0172750000000015,12.772325000000002,6.5964250000000035
Fuc(a1-Sp9,-2.6492500000000003,4.739025000000003,3.30635,2.7169000000000025
Rha(a1-Sp8,7.208299999999999,5.075175,3.1358250000000005,0.29012500000000063
Neu5Ac(a1-Sp8,7.469725,-1.6033999999999988,-3.7101749999999987,-8.203250000000002
Neu5Ac(a1-Sp11,3.0966999999999976,4.873700000000001,3.8985,5.929975
Neu5Ac(b1-Sp8,11.973150000000004,5.167299999999999,6.3308500000000025,2.8999000000000006
Gal(b1-Sp8,3.2486749999999995,5.367649999999999,3.350674999999998,3.6144250000000007
Glc(b1-Sp8,12.977449999999996,8.395899999999997,22.977475,10.610024999999997
Man(b1-Sp8,14.564200000000005,6.410849999999997,6.82565,10.52154999999999
GalNAc(b1-Sp8,7.339525000000003,7.990924999999998,9.972424999999996,0.7759999999999998
GlcNAc(b1-Sp0,7.596950000000002,10.04825,8.206025000000004,9.685075
GlcNAc(b1-Sp8,17.354075,5.457350000000003,2.565324999999998,7.99967500000001
GlcN[Gc](b1-Sp8,17.489475,8.762550000000001,5.013874999999999,38.65702499999999
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,9.569825000000002,4.071475000000001,-4.986875,19.163575
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,0.8945500000000006,5.153150000000002,3.09155,10.713574999999992
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,4.897475000000001,3.3017999999999987,4.108925,1.7867499999999996
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,0.5742500000000009,7.169625000000001,-1.5989750000000011,0.6407500000000006
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,12.304375,4.217775000000001,7.263950000000002,11.428849999999995
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,12.486349999999998,7.2515,27.013050000000003,39.498025
(3S)Gal(b1-4)Glc(b1-Sp8,7.496899999999999,8.522075000000003,11.644625,18.291600000000006
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,5.1690999999999985,6.979675,4.309025,25.22005
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,4.763974999999999,8.000174999999999,15.69855,35.95907500000001
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,1.9606,9.532125000000002,7.208274999999999,16.624775
(3S)Gal(b1-3)GalNAc(a1-Sp8,8.410350000000001,2.0953500000000007,9.808700000000002,17.2513
(3S)Gal(b1-3)GlcNAc(b1-Sp0,-1.8661250000000005,6.459049999999998,1.475,1.0040500000000012
(3S)Gal(b1-3)GlcNAc(b1-Sp8,13.999425000000002,4.2851,14.950975,113.83755000000002
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,13.255924999999998,10.790874999999994,27.448350000000005,33.3425
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,20.216550000000012,0.20952500000000107,5.8283749999999985,1.362849999999998
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,10.211675000000003,7.858349999999998,7.524224999999999,41.969775
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,1.0173499999999969,1.4022249999999996,4.433175,6.613849999999998
(3S)Gal(b1-4)GlcNAc(b1-Sp0,24.2467,0.0033749999999992397,25.35445,90.66662500000004
(3S)Gal(b1-4)GlcNAc(b1-Sp8,9.096199999999996,3.945924999999999,7.486600000000003,23.9804
(3S)Gal(b1-Sp8,8.823800000000002,10.45875,10.343725000000003,3.2204250000000005
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,-1.4251250000000009,1.4087999999999994,4.676875,-4.099325
(4S)Gal(b1-4)GlcNAc(b1-Sp8,-1.6083249999999998,2.40675,5.456175,7.716224999999998
(6P)Man(a1-Sp8,22.42255,4.99755,18.758849999999992,10.643474999999997
(6S)Gal(b1-4)Glc(b1-Sp0,1.5919,12.236150000000002,14.596175000000002,11.620924999999993
(6S)Gal(b1-4)Glc(b1-Sp8,24.40545,6.928325000000001,-0.3724250000000007,13.044200000000002
(6S)Gal(b1-4)GlcNAc(b1-Sp8,9.883175,2.2013,0.9066,0.28292499999999965
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,3.0003249999999992,-2.336650000000001,15.682100000000002,9.958099999999998
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,5.2227000000000015,-0.881524999999999,6.4094750000000005,21.76540000000001
(6S)GlcNAc(b1-Sp8,-2.1227499999999995,6.926875,4.48675,12.220874999999996
"Neu5,9Ac2(a1-Sp8",8.312524999999999,3.5360500000000012,1.7864500000000003,8.656375000000004
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",1.90875,5.054524999999999,3.28465,18.830975
