IUPAC,UEA I (0.01ug/ml),UEA I (0.1 ug/ml),UEA I (0.5ug/ml),UEA I (1ug/ml),UEA I (10ug/ml),UEA I (50 ug/ml),UEA I (100 ug/ml)
Gal(a1-Sp8,8.955775,8.609700000000004,-5.9374249999999975,-1.2828750000000009,13.575125000000005,-17.104875,-36.76505
Glc(a1-Sp8,16.601350000000004,25.76515,0.7443000000000008,10.917775,15.165150000000004,-13.161425,-9.589299999999998
Man(a1-Sp8,21.6091,20.71285000000001,-4.500450000000002,11.173075,8.503774999999997,-3.270975,-24.47115
GalNAc(a1-Sp8,8.469249999999997,-3.1736499999999954,6.823149999999997,-9.50565,-0.8080250000000007,-26.643425,-19.871
GalNAc(a1-Sp15,25.04825000000001,10.247049999999994,-9.977025,-11.914274999999995,-4.481824999999997,-10.963624999999993,-16.4222
Fuc(a1-Sp8,23.017325,5.289500000000004,-12.440400000000004,3.9038000000000017,256.82197500000007,1107.103725,4550.822375
Fuc(a1-Sp9,3.676124999999997,9.930475000000003,-5.108900000000004,3.835424999999997,251.25992499999995,883.2061249999997,3739.454949999999
Rha(a1-Sp8,0.937925,-1.6408999999999985,-7.375325000000003,-5.159325000000004,-7.870575000000002,-16.683275,-27.89317500000001
Neu5Ac(a1-Sp8,4.218774999999997,-1.3872249999999973,0.7936999999999976,0.6391250000000017,-7.306799999999999,-29.91340000000001,-2.555025000000004
Neu5Ac(a1-Sp11,7.998400000000002,-10.155450000000002,-3.891875,0.9827250000000021,-9.086025,-28.58615,-28.16095
Neu5Ac(b1-Sp8,4.339575000000004,-9.837975,-6.185475,6.626724999999999,-15.805500000000002,-22.140075,3.2449249999999985
Gal(b1-Sp8,8.999574999999998,24.213550000000005,-2.1950750000000046,-0.7489249999999998,13.159149999999993,-12.105275,-6.351575
Glc(b1-Sp8,4.205674999999999,3.265875000000001,-5.053274999999998,-7.747399999999999,10.020625,-23.086825000000005,-14.691400000000005
Man(b1-Sp8,17.280275000000003,-1.2063249999999996,5.12115,-2.975925000000002,5.435025000000002,-4.921775000000002,-11.417524999999998
GalNAc(b1-Sp8,32.586524999999995,10.633174999999998,1.2531500000000015,11.046849999999996,17.051299999999998,-15.012949999999998,-15.513324999999998
