IUPAC,TJA-I 0.1ug/ml,TJA-I 1ug/ml,TJA-I 10ug/ml,TJA-I 100ug/ml
Gal(a1-Sp8,9.976228367808474,8.539766287346508,11.24205999164891,27.44800716705133
Glc(a1-Sp8,16.961533051854893,22.162636225112447,8.27692865963382,80.09677584907261
Man(a1-Sp8,16.234259292824756,35.325741590375685,31.25162433969099,30.379332235296125
GalNAc(a1-Sp8,25.89008170471207,7.325077916479758,6.637800082607693,10.626820182130329
GalNAc(a1-Sp15,24.375085786789203,12.587796450895144,22.57412648343231,14.984679260498506
Fuc(a1-Sp8,8.703360264097235,12.872975077657854,13.393175172794795,16.778031537896982
Fuc(a1-Sp9,6.528759799214039,6.711536900181662,8.094715314893207,6.549434541686278
Rha(a1-Sp8,69.16480538457886,5.597584665058688,11.193010346491532,47.579223235813075
Neu5Ac(a1-Sp8,7.053566411102463,39.15238852356263,17.2451838506436,4.085770695454409
Neu5Ac(a1-Sp11,29.07180756574996,8.781817878245134,9.709816271305037,24.82179896287404
Neu5Ac(b1-Sp8,2.380503345933365,6.143161126203674,17.060081287882735,26.45502880607012
Gal(b1-Sp8,31.46219776487068,4.8034898746466865,15.657766767646013,16.735889625069234
Glc(b1-Sp8,8.603598348946793,21.127244058245434,16.80116265051817,32.73586609122342
Man(b1-Sp8,12.001578211774195,11.781875020944964,18.08784162626005,25.361710724830843
GalNAc(b1-Sp8,5.156620552584112,10.582796829564142,12.704722430491461,19.63557324254463
GlcNAc(b1-Sp0,18.890442928105188,27.141125884900212,7.156964834108522,7.2863331248761
GlcNAc(b1-Sp8,7.0986746636255935,13.630425413390448,11.056321925034574,29.853803561843918
GlcN[Gc](b1-Sp8,17.65867264497815,6.115155831415907,25.52587814765963,18.96573096947932
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,10.008464570052695,13.45659452347312,7.462734374208961,23.41900967946061
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,18.9588538694546,8.896959997100131,1.8992466425313617,7.961415934943143
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,1.820526635344839,26.29816958630392,4.523490320077335,32.124083964371664
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,18.38621291556982,15.646230713364579,31.39862465824206,21.72714468115475
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,15.935444168791369,24.02485150094585,8.123798404020535,8.071692040293241
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,11.18180540655226,28.66965829401937,31.38420621342309,28.25912662360898
(3S)Gal(b1-4)Glc(b1-Sp8,1.1462571391998293,6.007399056926946,15.585689087642741,25.31857337542277
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,8.975136086387025,9.900371631534856,13.836627427833225,23.75970430126044
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,11.921787862844507,9.920356840692108,6.230419097393577,6.081293908919954
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,14.263348882245966,11.966114771964765,8.401237582791016,9.707190611946745
(3S)Gal(b1-3)GalNAc(a1-Sp8,1.5944779678628345,16.643940056043427,24.48460038200883,12.001484706311693
(3S)Gal(b1-3)GlcNAc(b1-Sp0,9.110676953031543,6.665575125161112,7.131196498659952,14.985353069664393
(3S)Gal(b1-3)GlcNAc(b1-Sp8,6.441935712902343,21.68139735739296,4.161374132322958,11.281544188149367
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,6.671274144856683,37.83845355511375,26.56645772454433,29.200767728035284
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,19.053515686328502,3.9805839831194,25.835770967336487,38.29078647746086
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,5.614300341686983,4.109954536143502,14.375750094835634,12.678051921693944
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,8.183117550176094,3.0595229001701867,9.398438387794364,30.76418321104104
(3S)Gal(b1-4)GlcNAc(b1-Sp0,4.388574543345488,3.2891079300979382,11.167778951482136,44.33626847093325
(3S)Gal(b1-4)GlcNAc(b1-Sp8,3.0996518266841435,4.045870484415762,22.049471114518838,7.573571488186166
(3S)Gal(b1-Sp8,9.660224262536566,14.859793902227139,15.615508528489663,13.891960465079553
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,11.949749277251243,15.613768273012555,6.5516278562405095,16.118254410450273
(4S)Gal(b1-4)GlcNAc(b1-Sp8,7.870830817010449,18.82953350139084,8.728151471101995,9.224888007043768
(6P)Man(a1-Sp8,12.411862593905873,17.024961393984622,16.239516017290455,17.349960052403244
(6S)Gal(b1-4)Glc(b1-Sp0,13.198680079967597,11.78892529237362,3.41541794746019,78.0515889554414
(6S)Gal(b1-4)Glc(b1-Sp8,3.944571186664862,11.670765820916236,19.719829757040642,89.38618519842188
(6S)Gal(b1-4)GlcNAc(b1-Sp8,6.056807037265313,4.924444690436327,6.860968701769957,124.41931723614842
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,33.16188669009449,3.554984551771447,10.302432966173576,41.60154496610262
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,9.099309249012622,3.110968917663215,11.85234540291498,8.739582745760801
(6S)GlcNAc(b1-Sp8,7.597471148294463,12.610284506009373,9.525209257325177,15.80604183455912
