IUPAC,VGA(EY Lab) (1ug/ml),VGA(EY Lab) (10ug/ml),VGA(EY Lab) (100ug/ml)
Gal(a1-Sp8,17.948205077295754,13.232689128316537,39.03670948098078
Glc(a1-Sp8,15.907883022158144,24.845546906219877,21.57443790090449
Man(a1-Sp8,9.104737794641132,15.682398742326768,11.788240056655304
GalNAc(a1-Sp8,10.406977804458892,2.0432958384270377,66.08807063953877
GalNAc(a1-Sp15,13.981445790046186,11.552955637519796,35.28515521305188
Fuc(a1-Sp8,2.6884548268165767,10.08990395279689,5.243990845641005
Fuc(a1-Sp9,5.228743818149191,10.607143680047262,28.90274651567141
Rha(a1-Sp8,27.162823369006272,1.4440308791712215,13.560520214473947
Neu5Ac(a1-Sp8,5.055578657285447,12.047714757129988,4.025367621617515
Neu5Ac(a1-Sp11,4.210497816470164,5.087508730868849,134.56244155835847
Neu5Ac(b1-Sp8,6.369816177619778,3.4406375857777687,444.9498632722644
Gal(b1-Sp8,16.02130785638822,21.619126138522148,36.27705269551709
Glc(b1-Sp8,12.687912846090988,22.693174699069534,32.23480733951778
Man(b1-Sp8,3.0847999193626636,49.36945355480428,40.30112349513334
GalNAc(b1-Sp8,16.404296755118743,5.919160056052427,67.94034909492295
GlcNAc(b1-Sp0,14.032198956536824,16.10297231310627,16.71170860851263
GlcNAc(b1-Sp8,5.000040976748758,12.552373729133198,13.492037433859515
GlcN[Gc](b1-Sp8,11.568318405887707,9.767306669019185,37.60867348971284
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,4.468755843632542,9.51804222323757,39.607613805965364
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,4.203555975897072,5.523510349406439,113.59958840491743
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,5.4521409259727225,1.7597604181156778,15.941671330692813
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,5.288333110410755,0.9078838582109484,32.10569793752868
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,6.09486992396064,8.138885864989957,6.6835865147389235
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,6.9463064513931885,10.788351330640538,54.1610168992653
(3S)Gal(b1-4)Glc(b1-Sp8,7.496992592144308,15.650389325082793,20.416872223298594
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,7.305730332816354,29.36101182070933,42.46271843700072
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,21.39969692735156,11.492489023270807,24.24531030563776
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,5.51203842542242,6.235305510291116,9.84844744600217
(3S)Gal(b1-3)GalNAc(a1-Sp8,7.56550083911613,10.802629837836175,28.959435005825835
(3S)Gal(b1-3)GlcNAc(b1-Sp0,4.377444037620583,12.35674362200657,4.116287782598131
(3S)Gal(b1-3)GlcNAc(b1-Sp8,7.002634999948236,11.740920393329489,17.252363818039544
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,8.387075352389948,25.01945824000461,55.347459457887524
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,9.300277438290037,3.8804202968235266,163.0031468223927
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,18.822122696001454,20.85089474696866,46.58505777531214
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,6.6496413760442765,9.345883855963915,215.10469964623417
(3S)Gal(b1-4)GlcNAc(b1-Sp0,2.7531545791449403,12.522395964830372,23.022290390745944
(3S)Gal(b1-4)GlcNAc(b1-Sp8,16.135847542325347,9.771575351838957,32.17822143908049
(3S)Gal(b1-Sp8,3.802254242770553,15.115536136124986,9.014117075408262
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,5.096985208924979,5.903789480494712,3.0531939619301185
(4S)Gal(b1-4)GlcNAc(b1-Sp8,6.785934576018253,2.380494199915919,4.17678482836978
(6P)Man(a1-Sp8,21.161903352959506,8.522037634421709,19.79606523445169
(6S)Gal(b1-4)Glc(b1-Sp0,14.742141824347188,3.1934116500486844,53.83888756992154
(6S)Gal(b1-4)Glc(b1-Sp8,5.672142588343487,10.670664939293466,55.79232796656859
(6S)Gal(b1-4)GlcNAc(b1-Sp8,3.830643624227308,7.162458087835484,80.45295771983254
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,3.0645904091466027,6.317013753546855,77.32867432289699
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,5.990617799526186,2.1442974410825686,11.583873699961838
(6S)GlcNAc(b1-Sp8,5.726938279962512,14.889418408694365,14.191791497992778
"Neu5,9Ac2(a1-Sp8",3.3771570706734813,6.342864855620585,13.34168398841266
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",3.6644564026150785,10.552072815763099,19.277971584751878
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,5.5413279834350195,16.273893068424034,17.845241647635337
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,14.270187270991487,1.829743787164512,27.51375877514017
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,5.151052861309034,9.76796298906958,19.639981250669944
