IUPAC,MPL (0.1ug/ml),MPL (0.5ug/ml),MPL (1ug/ml),MPL (10ug/ml),MPL (100ug/ml)
Gal(a1-Sp8,19.641421493788762,12.745546586782119,61.913437322792426,191.1510319895092,423.0599400654488
Glc(a1-Sp8,26.584385402885772,4.7156409188819035,11.404719518105946,6.761735363240714,24.68385244775419
Man(a1-Sp8,11.386712214792302,3.506696645467539,7.958555267289403,9.274444760559348,9.353676280969523
GalNAc(a1-Sp8,9.041460113093821,9.487342043085622,427.4681568250048,3594.0023322282145,895.4200770692297
GalNAc(a1-Sp15,8.095144703256807,8.248253045493936,7.998538873444311,975.9748469380662,769.0810124085957
Fuc(a1-Sp8,5.038365705927532,6.413390090207102,15.539440187793126,8.444508431469929,87.12000936933681
Fuc(a1-Sp9,5.28907879849287,8.546807182802244,20.11880046596135,13.554952982427954,47.652284634798214
Rha(a1-Sp8,4.519562329381757,5.1868692049411305,4.834521196130319,8.040507705984727,3.725371157683482
Neu5Ac(a1-Sp8,9.672675356341008,6.805652980427375,8.600352605368379,13.828364541375342,113.05340870463242
Neu5Ac(a1-Sp11,10.086607601625364,2.443626530384708,18.755359066388646,16.475945929040524,8.983264900682457
Neu5Ac(b1-Sp8,17.536928361698155,3.0178044601994984,18.120381705025792,8.586029535239199,151.46404591630517
Gal(b1-Sp8,13.26488377342598,3.824582286123991,10.366361484950572,18.18939917009817,172.07855330234108
Glc(b1-Sp8,4.1512234590138055,3.732711503273016,12.08591001028333,16.417251839655357,9.23168681999666
Man(b1-Sp8,11.1511877041566,7.1329073072158495,2.61610983125071,4.6784376573096935,5.8245223981599175
GalNAc(b1-Sp8,4.31679809465304,17.11224468080776,4.757364617796986,224.76070767548165,209.24005595026424
GlcNAc(b1-Sp0,9.347373113474179,8.500574818750003,10.179906331387992,16.94200463197906,5.630044637182423
GlcNAc(b1-Sp8,12.189429061656936,6.722970403710453,5.413349443967202,14.383499277152044,4.03461112076905
GlcN[Gc](b1-Sp8,4.155489748513406,7.094764024499567,17.04922031323329,5.2717115677295086,14.167616114340944
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,6.903128388636553,7.778950179812182,7.0676762194161125,8.278766437298088,11.08076994241224
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,7.495357715279503,15.05895013228568,17.765884631412717,14.15046737187509,28.29310412336957
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,11.385390510357261,9.255660047190943,16.16699935846682,14.461474536246294,12.024473078233692
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,10.57279976890386,8.028152848310333,3.89858172844091,1.2869155722113617,9.26039800382072
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,5.671610147333231,10.377824099813347,4.7518074294595145,8.138400956934559,25.83146964015017
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,19.565542697707965,13.274868290872035,7.4456688685436525,4.094927942793039,11.802706021219675
(3S)Gal(b1-4)Glc(b1-Sp8,8.556572285822178,9.058210615605411,5.6030260047585045,11.916653602242254,25.341117147352318
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,3.2531878328546027,8.475958731415973,6.379959794217623,6.100116650455687,7.1764111431713085
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,5.749986228026985,10.239584015110188,8.297151058194606,5.989191443133207,28.575117830888647
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,3.0347751904657896,7.755348828389348,5.448597436038011,12.253962761898705,37.434655542158154
(3S)Gal(b1-3)GalNAc(a1-Sp8,8.026213378881314,9.815344916464566,639.5759709599721,3881.204756516117,1171.3205017478872
(3S)Gal(b1-3)GlcNAc(b1-Sp0,4.866918962666903,3.377206244812419,6.036032790045126,6.968641161422116,1.2285271913962676
(3S)Gal(b1-3)GlcNAc(b1-Sp8,2.396206099928252,4.033587611543854,6.9289956698884865,4.136130749363861,9.210222991147766
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,6.140393162425907,6.597049474007296,4.857797833723978,17.691039855060342,49.076238460344804
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,21.80452264391878,4.240128592389625,6.048520997731584,5.832764366347804,47.190845499481256
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,6.256001657342068,12.087014952522392,16.101945033338886,23.84995133083784,12.954710065712268
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,11.180528839721012,6.4473312522831225,3.2321051162516383,16.801420678819593,41.73547616439935
(3S)Gal(b1-4)GlcNAc(b1-Sp0,15.979680651038267,14.928034530372713,9.754236545556322,17.262428159131222,2.864283346086102
(3S)Gal(b1-4)GlcNAc(b1-Sp8,4.9978588884808115,6.247308803263482,4.991285984176158,6.5577068822366,5.28432569105715
(3S)Gal(b1-Sp8,7.236794778998044,10.88145667220922,4.939767082228337,6.539284904521293,3.91673507007642
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,9.035616299354832,4.770015987045187,6.396580341088513,3.1653234205475096,18.33517906927828
(4S)Gal(b1-4)GlcNAc(b1-Sp8,9.127494558201613,3.7924952195091812,1.5518375825130657,6.634483394294291,4.806828818115612
(6P)Man(a1-Sp8,10.144779520193296,8.258981288673958,8.096985632320214,14.572627621074377,4.816845317822997
