IUPAC,ConA 0.1ug/ml,ConA 0.5ug/ml,ConA 1ug/ml,ConA 10ug/ml,ConA 50ug/ml,ConA 100ug/ml 
Gal(a1-Sp8,12.79211712067892,1.1391777912161078,1.902674252203987,24.931758744888693,9.526723851531225,726.6673726785707
Glc(a1-Sp8,3.9208794260131663,4.659127259476823,13.073214304319599,50.400543052894704,38.27817894809653,258.18039930290865
Man(a1-Sp8,6.188785939638464,12.22801922989438,21.175246739589586,173.44574709845867,58.405885788591604,706.6711511037422
GalNAc(a1-Sp8,6.531421939618763,2.517315312490669,3.9123432083599226,9.602507561179015,16.464135473279452,24.15847444485061
GalNAc(a1-Sp15,17.29439664997501,11.309831201326569,8.031577795593257,60.30662205404292,95.09511728695644,54.71512745852376
Fuc(a1-Sp8,3.974887310247511,9.766977095422103,5.607332620402797,27.070265274220475,44.1155701198851,341.0558327165951
Fuc(a1-Sp9,7.764501803507207,5.5923320421806135,11.000614325686543,9.287107502832466,18.45965527871979,32.37441826456757
Rha(a1-Sp8,10.835074926790616,4.028584789559068,13.558401300638875,22.722135728110302,43.716313771825114,1075.3188044801916
Neu5Ac(a1-Sp8,8.83576903929891,8.975440787829491,9.461961550510196,25.001601520485984,20.547596707218585,64.8650602200445
Neu5Ac(a1-Sp11,5.6204062723851775,3.2410391249052664,7.575696635678685,19.1601985447916,43.836761563888,137.0237870562504
Neu5Ac(b1-Sp8,4.8588096542946255,5.193411690706474,15.230359029035835,7.506713963956968,28.33789703830075,21.77355685543046
Gal(b1-Sp8,11.412193090141205,14.921738150541756,7.666997629015768,20.208335126439763,30.659811646192303,138.2864199226373
Glc(b1-Sp8,10.873141501999323,3.855027429539252,1.7892603190052156,30.60203508127907,12.658742838416721,15.304077332963676
Man(b1-Sp8,13.674696373838312,4.191768944809176,7.452361327067182,59.93956658837718,12.398110472836848,16.031371983499525
GalNAc(b1-Sp8,11.50284596741173,3.2445461453286004,4.006037939993413,12.720039071317096,14.527948693122553,160.08945970969646
GlcNAc(b1-Sp0,7.685946388485067,7.308212794007844,12.907860305869189,48.92354519325709,24.43340973631187,22.80430206934648
GlcNAc(b1-Sp8,8.835326084531339,2.9771687975603016,10.657494425676855,4.423541070228811,15.327216581188743,25.65974036202757
GlcN[Gc](b1-Sp8,11.931253938291652,12.077859709505649,6.2612777040047245,13.519686879633404,27.04955737991228,18.82893101521788
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,5.4377113194185975,8.450568020553408,7.173020068457912,12.80722876903899,121.96766563321886,3.959121724469546
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,5.762776917641357,19.262184513769466,7.494750284921661,16.30413944910413,21.255474725193345,7.644734554580689
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,4.7052761668861285,3.0387936239841427,8.463863438761289,10.161411022917378,12.458216885353146,31.64172258525917
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,9.912747848898091,6.456428392178866,4.669298779974001,59.398735874231136,14.735417181375176,36.20291391231513
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,5.789815928565142,1.7527599006043777,1.7975847286474904,35.36925947683949,25.949683840463265,22.10748372405076
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,30.922699960425515,11.679657112654484,30.49477222962431,16.25751399494503,135.24001353623504,112.67060038851831
(3S)Gal(b1-4)Glc(b1-Sp8,10.767058821857221,7.143791369900629,8.006568588509063,74.65371646191957,11.413722552078864,307.3610688385823
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,12.325735345575394,5.828219560609107,11.58090899954892,37.9261884737864,8.68380571461422,173.75686596042752
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,3.226292223797057,5.853250229288562,5.707652897864412,30.65473263890095,24.976494271798128,238.76281719959385
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,3.999581178906944,5.33099577213301,10.308904672620008,19.09396710383938,17.03763545123469,141.30991543840491
(3S)Gal(b1-3)GalNAc(a1-Sp8,2.6328858088606824,1.9119688497724023,4.942421458067561,178.44522977934525,6.128427026774522,29.220904851492854
(3S)Gal(b1-3)GlcNAc(b1-Sp0,11.863271187577224,6.130559842502155,6.793812398732149,17.479100282027293,25.319390362510056,12.701283784556336
(3S)Gal(b1-3)GlcNAc(b1-Sp8,10.086354228031725,7.150908044146093,3.667802777663129,3.5298538396322665,15.467094153610955,19.82518206532628
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,8.419210338812471,4.654798657568335,11.537099521796346,19.83314656383349,18.830579611366176,18.828071931559887
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,1.8875798091294889,16.25611283609954,6.215162508468032,7.019281086407642,55.14093701014399,31.710114891256193
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,2.086510289135105,4.533506381746179,6.270108744604569,84.6257813598395,55.30621298847596,410.93532068566833
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,5.082176754436358,11.44580048256419,8.641759284235281,13.280619159606252,62.12382315512457,16.157204625878197
(3S)Gal(b1-4)GlcNAc(b1-Sp0,6.977529568073022,1.7055742481150784,19.31428438522466,14.451210862386825,17.462657124919453,3.058635179700288
