IUPAC,MNA-M (10ug/ml),MNA-M (50ug/ml),MNA-M (100ug/ml)
Gal(a1-Sp8,-3.154325000000004,10.958349999999996,18.04025
Glc(a1-Sp8,7.554875000000001,-10.063074999999998,17.71485
Man(a1-Sp8,11.800974999999998,4.990475000000002,19.62175
GalNAc(a1-Sp8,-0.64025,-7.9398249999999955,26.70375
GalNAc(a1-Sp15,6.227799999999998,-6.537524999999999,10.908075000000002
Fuc(a1-Sp8,6.3419500000000015,0.3242750000000001,13.00610000000006
Fuc(a1-Sp9,9.528774999999998,-1.0505250000000004,24.37155
Rha(a1-Sp8,13.759600000000004,2.0608999999999984,7.29375
Neu5Ac(a1-Sp8,6.3823249999999945,-0.6115000000000004,12.898600000000002
Neu5Ac(a1-Sp11,11.727475000000005,-6.769300000000002,13.709775
Neu5Ac(b1-Sp8,-5.939650000000004,2.295525000000003,-2.9148500000000004
Gal(b1-Sp8,1.414524999999994,-10.7624,1.9929000000000008
Glc(b1-Sp8,1.8983999999999952,8.899650000000008,28.460425
Man(b1-Sp8,-1.0934750000000015,8.545924999999997,51.35512500000002
GalNAc(b1-Sp8,-2.642450000000002,-6.439300000000001,6.337175000000004
GlcNAc(b1-Sp0,4.761975000000001,-8.988024999999997,4.826775
GlcNAc(b1-Sp8,7.374650000000001,-7.470250000000003,9.727450000000003
GlcN[Gc](b1-Sp8,15.7963,0.1695499999999992,17.141875
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,-1.889725000000002,2.9887,12.449150000000005
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,25.996724999999994,7.083725000000015,18.0627
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,-6.926850000000003,14.496049999999993,5.378274999999999
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,-3.22,-10.862275,14.132675000000004
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,14.50085,0.09867500000000272,7.221375000000003
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,62.124875,90.2757,47.282
(3S)Gal(b1-4)Glc(b1-Sp8,10.960824999999994,2.6658249999999963,15.181875
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,12.217700000000002,18.801675000000003,17.121700000000004
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,10.780774999999995,9.005799999999997,26.9445
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,12.194275,9.786425,2.492749999999999
(3S)Gal(b1-3)GalNAc(a1-Sp8,15.769874999999995,4.565625000000012,10.077725
(3S)Gal(b1-3)GlcNAc(b1-Sp0,15.888175,8.29505,4.940799999999996
(3S)Gal(b1-3)GlcNAc(b1-Sp8,13.878800000000002,1.4601500000000005,3.9444750000000006
